# The C. difficile dataset; GCA_025534045.1 is used as the reference genome for Unikseq and Neptune	# The C. difficile dataset; GCA_025534045.1 is used as the reference genome for Unikseq and Neptune	# The C. difficile dataset; GCA_025534045.1 is used as the reference genome for Unikseq and Neptune	
GenBank accession	Is target	Is sampled (100 genomes)	Is sampled (1000 genomes)
GCA_900165295.1	TRUE	FALSE	FALSE
GCA_900011945.1	TRUE	FALSE	TRUE
GCA_000452065.2	TRUE	FALSE	TRUE
GCA_002412385.1	TRUE	FALSE	FALSE
GCA_900166035.1	TRUE	FALSE	FALSE
GCA_001939005.1	TRUE	FALSE	FALSE
GCA_004316545.1	TRUE	FALSE	TRUE
GCA_028597265.1	TRUE	FALSE	FALSE
GCA_046248645.1	TRUE	FALSE	TRUE
GCA_000530435.1	TRUE	FALSE	FALSE
GCA_002301635.1	TRUE	FALSE	FALSE
GCA_000164655.1	TRUE	FALSE	FALSE
GCA_003482065.1	TRUE	FALSE	FALSE
GCA_900096375.1	TRUE	FALSE	TRUE
GCA_019931025.1	TRUE	FALSE	TRUE
GCA_900096465.1	TRUE	FALSE	FALSE
GCA_900164535.1	TRUE	FALSE	FALSE
GCA_018884905.1	TRUE	FALSE	FALSE
GCA_006380905.1	TRUE	FALSE	FALSE
GCA_000826625.2	TRUE	FALSE	FALSE
GCA_020658275.1	TRUE	FALSE	FALSE
GCA_028596715.1	TRUE	FALSE	FALSE
GCA_000531505.1	TRUE	FALSE	TRUE
GCA_004317365.1	TRUE	FALSE	FALSE
GCA_021284685.1	TRUE	FALSE	TRUE
GCA_030251765.1	TRUE	FALSE	FALSE
GCA_036442175.1	TRUE	TRUE	TRUE
GCA_004314765.1	TRUE	FALSE	FALSE
GCA_004317685.1	TRUE	FALSE	FALSE
GCA_006454555.1	TRUE	FALSE	TRUE
GCA_004314285.1	TRUE	FALSE	FALSE
GCA_000450225.2	TRUE	FALSE	FALSE
GCA_028599755.1	TRUE	FALSE	TRUE
GCA_007002465.1	TRUE	FALSE	FALSE
GCA_007114335.1	TRUE	FALSE	FALSE
GCA_037943445.1	TRUE	FALSE	FALSE
GCA_900683845.1	TRUE	FALSE	FALSE
GCA_025758205.1	TRUE	FALSE	FALSE
GCA_019427125.1	TRUE	FALSE	TRUE
GCA_003326845.1	TRUE	FALSE	TRUE
GCA_019427305.1	TRUE	FALSE	FALSE
GCA_024260055.1	TRUE	FALSE	FALSE
GCA_004314885.1	TRUE	FALSE	FALSE
GCA_900002445.1	TRUE	FALSE	FALSE
GCA_007114465.1	TRUE	FALSE	FALSE
GCA_000450845.2	TRUE	FALSE	FALSE
GCA_000451245.2	TRUE	FALSE	FALSE
GCA_038752975.1	TRUE	FALSE	TRUE
GCA_030251025.1	TRUE	FALSE	FALSE
GCA_900002525.1	TRUE	FALSE	FALSE
GCA_002939425.1	TRUE	FALSE	FALSE
GCA_004318325.1	TRUE	FALSE	TRUE
GCA_019427025.1	TRUE	FALSE	FALSE
GCA_000450745.2	TRUE	FALSE	FALSE
GCA_003456975.1	TRUE	FALSE	FALSE
GCA_007114075.1	TRUE	FALSE	FALSE
GCA_004684755.1	TRUE	FALSE	FALSE
GCA_900689035.1	TRUE	FALSE	FALSE
GCA_900008715.1	TRUE	FALSE	FALSE
GCA_030251365.1	TRUE	FALSE	FALSE
GCA_004315925.1	TRUE	FALSE	TRUE
GCA_036442435.1	TRUE	FALSE	FALSE
GCA_000451645.2	TRUE	FALSE	FALSE
GCA_015352275.1	TRUE	FALSE	FALSE
GCA_900096275.1	TRUE	FALSE	FALSE
GCA_900002555.1	TRUE	FALSE	FALSE
GCA_004318225.1	TRUE	FALSE	FALSE
GCA_003327385.1	TRUE	FALSE	FALSE
GCA_020657835.1	TRUE	FALSE	FALSE
GCA_900166205.1	TRUE	FALSE	FALSE
GCA_900010345.1	TRUE	FALSE	FALSE
GCA_038753485.1	TRUE	FALSE	FALSE
GCA_037922005.1	TRUE	FALSE	FALSE
GCA_004319345.1	TRUE	FALSE	FALSE
GCA_038755115.1	TRUE	FALSE	FALSE
GCA_900013385.1	TRUE	FALSE	FALSE
GCA_032081865.1	TRUE	FALSE	FALSE
GCA_032547995.1	TRUE	FALSE	FALSE
GCA_033840595.1	TRUE	FALSE	FALSE
GCA_900164565.1	TRUE	FALSE	TRUE
GCA_901002525.1	TRUE	FALSE	TRUE
GCA_043107255.1	TRUE	FALSE	FALSE
GCA_017310995.1	TRUE	FALSE	FALSE
GCA_016094205.1	TRUE	FALSE	TRUE
GCA_002303655.1	TRUE	FALSE	FALSE
GCA_901004485.1	TRUE	FALSE	FALSE
GCA_012030125.1	TRUE	FALSE	TRUE
GCA_032471975.1	TRUE	FALSE	FALSE
GCA_016767115.1	TRUE	FALSE	FALSE
GCA_000530415.1	TRUE	FALSE	FALSE
GCA_016093735.1	TRUE	FALSE	FALSE
GCA_036697995.1	TRUE	FALSE	FALSE
GCA_028597535.1	TRUE	FALSE	FALSE
GCA_007002095.1	TRUE	FALSE	FALSE
GCA_000450185.2	TRUE	FALSE	FALSE
GCA_004319365.1	TRUE	FALSE	FALSE
GCA_900164835.1	TRUE	FALSE	TRUE
GCA_019426925.1	TRUE	FALSE	FALSE
GCA_901004695.1	TRUE	FALSE	FALSE
GCA_034188525.1	TRUE	FALSE	FALSE
GCA_900096195.1	TRUE	FALSE	TRUE
GCA_900164495.1	TRUE	FALSE	TRUE
GCA_002234355.1	TRUE	TRUE	TRUE
GCA_000451205.2	TRUE	FALSE	FALSE
GCA_034188545.1	TRUE	FALSE	FALSE
GCA_038752285.1	TRUE	FALSE	TRUE
GCA_002165155.1	TRUE	FALSE	FALSE
GCA_004316985.1	TRUE	FALSE	FALSE
GCA_021283945.1	TRUE	TRUE	TRUE
GCA_019426725.1	TRUE	FALSE	FALSE
GCA_024451525.1	TRUE	FALSE	TRUE
GCA_036688825.1	TRUE	FALSE	TRUE
GCA_007001495.1	TRUE	FALSE	FALSE
GCA_024260215.1	TRUE	FALSE	TRUE
GCA_004316685.1	TRUE	FALSE	FALSE
GCA_007114325.1	TRUE	FALSE	FALSE
GCA_901002495.1	TRUE	FALSE	FALSE
GCA_046248825.1	TRUE	FALSE	TRUE
GCA_037933165.1	TRUE	FALSE	TRUE
GCA_000448945.2	TRUE	FALSE	FALSE
GCA_900164465.1	TRUE	FALSE	FALSE
GCA_007000645.1	TRUE	FALSE	FALSE
GCA_004315305.1	TRUE	TRUE	TRUE
GCA_000449185.2	TRUE	FALSE	FALSE
GCA_032081725.1	TRUE	FALSE	FALSE
GCA_900164955.1	TRUE	FALSE	FALSE
GCA_036442205.1	TRUE	FALSE	FALSE
GCA_001971945.1	TRUE	FALSE	TRUE
GCA_038756755.1	TRUE	FALSE	TRUE
GCA_901006065.1	TRUE	FALSE	FALSE
GCA_024260515.1	TRUE	TRUE	TRUE
GCA_036442155.1	TRUE	FALSE	TRUE
GCA_000450905.2	TRUE	FALSE	FALSE
GCA_000451185.2	TRUE	FALSE	FALSE
GCA_030251385.1	TRUE	FALSE	FALSE
GCA_900010895.1	TRUE	FALSE	FALSE
GCA_030251645.1	TRUE	FALSE	FALSE
GCA_038753285.1	TRUE	FALSE	FALSE
GCA_038753155.1	TRUE	FALSE	FALSE
GCA_028599875.1	TRUE	FALSE	FALSE
GCA_009362915.1	TRUE	FALSE	FALSE
GCA_000449545.2	TRUE	FALSE	FALSE
GCA_019427345.1	TRUE	FALSE	FALSE
GCA_004316965.1	TRUE	FALSE	FALSE
GCA_000828225.1	TRUE	FALSE	FALSE
GCA_002946535.2	TRUE	FALSE	FALSE
GCA_000452045.2	TRUE	FALSE	FALSE
GCA_004319085.1	TRUE	FALSE	TRUE
GCA_003932635.1	TRUE	FALSE	FALSE
GCA_023656865.1	TRUE	FALSE	FALSE
GCA_901005845.1	TRUE	FALSE	FALSE
GCA_038754795.1	TRUE	FALSE	FALSE
GCA_002303085.1	TRUE	FALSE	FALSE
GCA_030251075.1	TRUE	FALSE	FALSE
GCA_007001015.1	TRUE	FALSE	FALSE
GCA_016767135.1	TRUE	FALSE	FALSE
GCA_000449865.2	TRUE	FALSE	TRUE
GCA_016093825.1	TRUE	FALSE	FALSE
GCA_002946135.1	TRUE	FALSE	TRUE
GCA_000449225.2	TRUE	FALSE	FALSE
GCA_003863195.1	TRUE	FALSE	FALSE
GCA_900164655.1	TRUE	FALSE	FALSE
GCA_039503115.1	TRUE	FALSE	TRUE
GCA_900164385.1	TRUE	FALSE	TRUE
GCA_040253655.1	TRUE	FALSE	TRUE
GCA_901006165.1	TRUE	FALSE	FALSE
GCA_900096115.1	TRUE	FALSE	FALSE
GCA_038754855.1	TRUE	FALSE	FALSE
GCA_004318865.1	TRUE	FALSE	TRUE
GCA_900164295.1	TRUE	FALSE	FALSE
GCA_003863105.1	TRUE	FALSE	FALSE
GCA_020658135.1	TRUE	FALSE	TRUE
GCA_002302795.1	TRUE	FALSE	FALSE
GCA_900692085.1	TRUE	FALSE	FALSE
GCA_016094285.1	TRUE	FALSE	FALSE
GCA_900164975.1	TRUE	FALSE	FALSE
GCA_900688895.1	TRUE	FALSE	FALSE
GCA_024972555.1	TRUE	TRUE	TRUE
GCA_017311025.1	TRUE	FALSE	FALSE
GCA_004684665.1	TRUE	FALSE	FALSE
GCA_031272305.1	TRUE	FALSE	TRUE
GCA_003095675.1	TRUE	FALSE	TRUE
GCA_901004505.1	TRUE	FALSE	FALSE
GCA_032081505.1	TRUE	FALSE	FALSE
GCA_034188215.1	TRUE	FALSE	FALSE
GCA_036442095.1	TRUE	FALSE	FALSE
GCA_022342385.1	TRUE	FALSE	FALSE
GCA_004315645.1	TRUE	TRUE	TRUE
GCA_049201055.1	TRUE	FALSE	FALSE
GCA_000451705.1	TRUE	FALSE	TRUE
GCA_000242355.2	TRUE	FALSE	FALSE
GCA_007114935.1	TRUE	FALSE	FALSE
GCA_030251865.1	TRUE	FALSE	TRUE
GCA_027625435.1	TRUE	FALSE	FALSE
GCA_004318105.1	TRUE	FALSE	FALSE
GCA_004315505.1	TRUE	FALSE	FALSE
GCA_036765175.1	TRUE	FALSE	FALSE
GCA_901002035.1	TRUE	FALSE	FALSE
GCA_900164545.1	TRUE	FALSE	FALSE
GCA_900243325.1	TRUE	FALSE	FALSE
GCA_901005015.1	TRUE	FALSE	FALSE
GCA_900688245.1	TRUE	FALSE	FALSE
GCA_037930425.1	TRUE	FALSE	FALSE
GCA_900166085.1	TRUE	FALSE	FALSE
GCA_038752455.1	TRUE	FALSE	FALSE
GCA_028596415.1	TRUE	FALSE	TRUE
GCA_049703785.1	TRUE	FALSE	FALSE
GCA_007002515.1	TRUE	FALSE	TRUE
GCA_021283865.1	TRUE	FALSE	TRUE
GCA_008245165.1	TRUE	FALSE	FALSE
GCA_033840785.1	TRUE	FALSE	FALSE
GCA_002301305.1	TRUE	FALSE	FALSE
GCA_900166395.1	TRUE	FALSE	FALSE
GCA_901002025.1	TRUE	FALSE	TRUE
GCA_025533595.1	TRUE	FALSE	FALSE
GCA_901002605.1	TRUE	FALSE	FALSE
GCA_030251425.1	TRUE	FALSE	FALSE
GCA_046946395.1	TRUE	FALSE	FALSE
GCA_034187815.1	TRUE	FALSE	FALSE
GCA_900014675.1	TRUE	FALSE	FALSE
GCA_024262385.1	TRUE	FALSE	FALSE
GCA_900010815.1	TRUE	FALSE	TRUE
GCA_000450965.2	TRUE	FALSE	FALSE
GCA_900692345.1	TRUE	FALSE	FALSE
GCA_003862895.1	TRUE	FALSE	FALSE
GCA_004315665.1	TRUE	FALSE	FALSE
GCA_901005945.1	TRUE	FALSE	FALSE
GCA_004313945.1	TRUE	FALSE	FALSE
GCA_021284145.1	TRUE	FALSE	FALSE
GCA_900690455.1	TRUE	FALSE	TRUE
GCA_032550185.1	TRUE	FALSE	FALSE
GCA_024260085.1	TRUE	FALSE	FALSE
GCA_019427945.1	TRUE	FALSE	TRUE
GCA_018599345.1	TRUE	FALSE	FALSE
GCA_019427145.1	TRUE	FALSE	TRUE
GCA_900008455.1	TRUE	FALSE	FALSE
GCA_025758185.1	TRUE	FALSE	FALSE
GCA_024919135.1	TRUE	FALSE	TRUE
GCA_001972185.1	TRUE	FALSE	FALSE
GCA_901006085.1	TRUE	FALSE	TRUE
GCA_028597435.1	TRUE	FALSE	TRUE
GCA_900014805.1	TRUE	FALSE	TRUE
GCA_002301925.1	TRUE	FALSE	FALSE
GCA_004317165.1	TRUE	FALSE	FALSE
GCA_003482125.1	TRUE	FALSE	FALSE
GCA_041520845.1	TRUE	FALSE	FALSE
GCA_901002655.1	TRUE	FALSE	FALSE
GCA_025533735.1	TRUE	FALSE	FALSE
GCA_007001945.1	TRUE	FALSE	TRUE
GCA_007000915.1	TRUE	FALSE	TRUE
GCA_901002175.1	TRUE	FALSE	FALSE
GCA_000531255.1	TRUE	FALSE	FALSE
GCA_049244735.1	TRUE	FALSE	FALSE
GCA_900164665.1	TRUE	FALSE	FALSE
GCA_036442485.1	TRUE	FALSE	FALSE
GCA_020297505.1	TRUE	FALSE	TRUE
GCA_036443085.1	TRUE	FALSE	FALSE
GCA_004317325.1	TRUE	FALSE	FALSE
GCA_020658145.1	TRUE	FALSE	FALSE
GCA_900688965.1	TRUE	FALSE	FALSE
GCA_007000415.1	TRUE	FALSE	TRUE
GCA_020658395.1	TRUE	FALSE	FALSE
GCA_012952655.1	TRUE	FALSE	TRUE
GCA_036688925.1	TRUE	FALSE	TRUE
GCA_002304585.1	TRUE	FALSE	FALSE
GCA_901005885.1	TRUE	FALSE	FALSE
GCA_038752865.1	TRUE	FALSE	FALSE
GCA_025534155.1	TRUE	FALSE	FALSE
GCA_004316105.1	TRUE	FALSE	FALSE
GCA_002301405.1	TRUE	FALSE	FALSE
GCA_002303245.1	TRUE	FALSE	FALSE
GCA_037917245.1	TRUE	FALSE	TRUE
GCA_025533985.1	TRUE	FALSE	FALSE
GCA_900166475.1	TRUE	FALSE	FALSE
GCA_018884705.1	TRUE	FALSE	FALSE
GCA_034188785.1	TRUE	FALSE	FALSE
GCA_000939295.1	TRUE	FALSE	TRUE
GCA_002302115.1	TRUE	FALSE	FALSE
GCA_025533195.1	TRUE	FALSE	TRUE
GCA_004315325.1	TRUE	FALSE	FALSE
GCA_007114685.1	TRUE	FALSE	TRUE
GCA_022970155.1	TRUE	FALSE	TRUE
GCA_036630125.1	TRUE	FALSE	TRUE
GCA_900164355.1	TRUE	FALSE	TRUE
GCA_036443335.1	TRUE	TRUE	TRUE
GCA_030035795.1	TRUE	FALSE	FALSE
GCA_900243095.1	TRUE	FALSE	TRUE
GCA_021284415.1	TRUE	FALSE	FALSE
GCA_034318145.1	TRUE	FALSE	FALSE
GCA_036443275.1	TRUE	FALSE	FALSE
GCA_030503935.1	TRUE	FALSE	TRUE
GCA_019427265.1	TRUE	FALSE	FALSE
GCA_003327215.1	TRUE	FALSE	TRUE
GCA_900166025.1	TRUE	FALSE	FALSE
GCA_963969235.1	TRUE	FALSE	FALSE
GCA_900165835.1	TRUE	FALSE	FALSE
GCA_034272075.1	TRUE	FALSE	FALSE
GCA_900012035.1	TRUE	FALSE	TRUE
GCA_002301435.1	TRUE	FALSE	TRUE
GCA_900165635.1	TRUE	FALSE	FALSE
GCA_016093715.1	TRUE	FALSE	TRUE
GCA_024451245.1	TRUE	FALSE	FALSE
GCA_004314845.1	TRUE	FALSE	FALSE
GCA_004314925.1	TRUE	FALSE	FALSE
GCA_003327185.1	TRUE	FALSE	FALSE
GCA_901004705.1	TRUE	FALSE	FALSE
GCA_032081125.1	TRUE	FALSE	FALSE
GCA_043107555.1	TRUE	FALSE	FALSE
GCA_037921675.1	TRUE	FALSE	TRUE
GCA_004319205.1	TRUE	FALSE	FALSE
GCA_002303425.1	TRUE	FALSE	FALSE
GCA_001896375.1	TRUE	FALSE	TRUE
GCA_000451985.1	TRUE	FALSE	FALSE
GCA_004315605.1	TRUE	FALSE	FALSE
GCA_004319105.1	TRUE	FALSE	FALSE
GCA_020658365.1	TRUE	FALSE	FALSE
GCA_000450465.2	TRUE	FALSE	FALSE
GCA_000451225.1	TRUE	FALSE	TRUE
GCA_004314445.1	TRUE	FALSE	FALSE
GCA_038754015.1	TRUE	FALSE	FALSE
GCA_004316785.1	TRUE	FALSE	FALSE
GCA_007001005.1	TRUE	FALSE	FALSE
GCA_900687935.1	TRUE	TRUE	TRUE
GCA_041537325.1	TRUE	FALSE	FALSE
GCA_007001605.1	TRUE	FALSE	FALSE
GCA_000473685.2	TRUE	FALSE	FALSE
GCA_018598965.1	TRUE	TRUE	TRUE
GCA_049201105.1	TRUE	FALSE	FALSE
GCA_900165515.1	TRUE	FALSE	TRUE
GCA_900164885.1	TRUE	FALSE	FALSE
GCA_007002685.1	TRUE	FALSE	TRUE
GCA_901005925.1	TRUE	FALSE	FALSE
GCA_900164215.1	TRUE	FALSE	FALSE
GCA_900166505.1	TRUE	FALSE	FALSE
GCA_002303075.1	TRUE	FALSE	FALSE
GCA_019427085.1	TRUE	FALSE	TRUE
GCA_002302225.1	TRUE	FALSE	FALSE
GCA_004317865.1	TRUE	FALSE	FALSE
GCA_901004995.1	TRUE	FALSE	FALSE
GCA_900165085.1	TRUE	FALSE	FALSE
GCA_002301325.1	TRUE	FALSE	FALSE
GCA_900690415.1	TRUE	FALSE	FALSE
GCA_004318925.1	TRUE	FALSE	FALSE
GCA_004318665.1	TRUE	FALSE	TRUE
