signature_id,length,conservation,divergence,fraction_nontarget_hit,score
RJLJ01000038.1_37,627,0.9984,0.0053,1.0000,1.0037
RJLJ01000059.1_67,229,1.0000,0.0212,1.0000,1.0212
RJLJ01000119.1_155,264,0.6970,0.0275,1.0000,0.7244
RJLJ01000145.1_188,160,1.0000,0.0153,1.0000,1.0153
RJLJ01000146.1_189,1262,0.9945,0.0044,1.0000,0.9988
RJLJ01000147.1_190,282,0.9965,0.0106,1.0000,1.0071
RJLJ01000148.1_191,336,0.9940,0.0132,1.0000,1.0073
RJLJ01000153.1_195,1385,0.9964,0.0028,1.0000,0.9992
RJLJ01000154.1_196,293,0.9932,0.0084,1.0000,1.0015
RJLJ01000155.1_197,345,0.9971,0.0084,1.0000,1.0055
RJLJ01000156.1_198,639,0.9984,0.0121,1.0000,1.0106
RJLJ01000157.1_199,527,0.9981,0.0035,1.0000,1.0016
RJLJ01000157.1_200,250,0.9960,0.0238,1.0000,1.0198
RJLJ01000158.1_201,218,0.9908,0.0222,1.0000,1.0131
RJLJ01000158.1_202,614,0.9967,0.0072,1.0000,1.0040
RJLJ01000158.1_203,313,1.0000,0.0097,1.0000,1.0097
RJLJ01000159.1_204,622,0.9936,0.0088,1.0000,1.0023
RJLJ01000171.1_221,1131,0.9938,0.0031,1.0000,0.9969
RJLJ01000172.1_222,585,1.0000,0.0119,1.0000,1.0119
RJLJ01000179.1_230,208,0.9904,0.0149,1.0000,1.0053
RJLJ01000180.1_231,138,1.0000,0.0388,1.0000,1.0388
RJLJ01000186.1_237,409,0.9927,0.0075,1.0000,1.0001
RJLJ01000188.1_239,588,0.9966,0.0036,1.0000,1.0002
RJLJ01000192.1_243,236,1.0000,0.0233,1.0000,1.0233
RJLJ01000192.1_244,588,0.9983,0.0680,1.0000,1.0663
RJLJ01000192.1_245,327,0.9939,0.0148,1.0000,1.0087
RJLJ01000193.1_246,325,0.9969,0.0091,1.0000,1.0060
RJLJ01000193.1_247,604,0.9950,0.0045,1.0000,0.9995
RJLJ01000202.1_254,224,0.9955,0.0170,1.0000,1.0125
RJLJ01000203.1_255,320,0.9969,0.0042,1.0000,1.0011
RJLJ01000204.1_256,131,0.9924,0.0218,1.0000,1.0141
RJLJ01000204.1_258,466,0.9936,0.0227,1.0000,1.0163
RJLJ01000207.1_263,1053,0.9972,0.0028,1.0000,1.0000
RJLJ01000208.1_264,197,1.0000,0.0173,1.0000,1.0173
RJLJ01000208.1_265,450,0.9933,0.0159,1.0000,1.0092
RJLJ01000215.1_273,206,0.9951,0.0398,1.0000,1.0350
RJLJ01000216.1_274,128,1.0000,0.0270,1.0000,1.0270
RJLJ01000227.1_293,117,1.0000,0.0496,1.0000,1.0496
RJLJ01000232.1_298,1387,0.4737,0.0045,1.0000,0.4782
RJLJ01000233.1_299,359,0.9889,0.0085,1.0000,0.9974
RJLJ01000234.1_300,248,1.0000,0.0103,1.0000,1.0103
RJLJ01000235.1_301,1543,0.9942,0.0034,1.0000,0.9975
RJLJ01000237.1_303,160,0.9938,0.0053,1.0000,0.9991
RJLJ01000240.1_306,483,0.9917,0.0306,1.0000,1.0224
RJLJ01000245.1_310,109,0.9908,0.0197,1.0000,1.0106
RJLJ01000245.1_311,324,0.9938,0.0364,1.0000,1.0302
RJLJ01000245.1_312,113,1.0000,0.0128,1.0000,1.0128
RJLJ01000251.1_322,136,1.0000,0.0301,1.0000,1.0301
RJLJ01000266.1_343,116,1.0000,0.0491,1.0000,1.0491
RJLJ01000284.1_365,322,0.7795,0.0174,1.0000,0.7969
RJLJ01000312.1_392,197,0.9949,0.0515,1.0000,1.0464
RJLJ01000314.1_395,563,0.9947,0.0036,1.0000,0.9983
RJLJ01000317.1_398,237,0.9958,0.0042,1.0000,1.0000
RJLJ01000318.1_399,579,0.9965,0.0096,1.0000,1.0061
RJLJ01000318.1_400,1093,0.9973,0.0056,1.0000,1.0028
RJLJ01000319.1_401,120,1.0000,0.0150,1.0000,1.0150
RJLJ01000320.1_402,804,0.9938,0.0116,1.0000,1.0054
RJLJ01000320.1_403,147,1.0000,0.0276,1.0000,1.0276
RJLJ01000320.1_404,134,0.9925,0.0216,1.0000,1.0142
RJLJ01000322.1_407,224,1.0000,0.0147,1.0000,1.0147
RJLJ01000323.1_408,582,0.9897,0.0077,1.0000,0.9974
RJLJ01000325.1_410,419,1.0000,0.0081,1.0000,1.0081
RJLJ01000331.1_417,163,1.0000,0.0307,1.0000,1.0307
RJLJ01000332.1_418,1066,0.9916,0.0070,1.0000,0.9986
RJLJ01000333.1_420,576,0.9965,0.0063,1.0000,1.0029
RJLJ01000334.1_421,196,1.0000,0.0135,1.0000,1.0135
RJLJ01000334.1_422,202,1.0000,0.0188,1.0000,1.0188
RJLJ01000337.1_431,205,1.0000,0.0383,1.0000,1.0383
RJLJ01000338.1_432,366,0.9945,0.0089,1.0000,1.0034
RJLJ01000339.1_433,463,0.9957,0.0106,1.0000,1.0063
RJLJ01000340.1_434,569,0.9965,0.0073,1.0000,1.0038
RJLJ01000340.1_435,146,1.0000,0.0219,1.0000,1.0219
RJLJ01000341.1_436,153,1.0000,0.0389,1.0000,1.0389
RJLJ01000341.1_437,105,0.9905,0.0300,1.0000,1.0205
RJLJ01000342.1_438,801,0.9925,0.0032,1.0000,0.9957
RJLJ01000343.1_439,620,0.4258,0.0173,1.0000,0.4431
RJLJ01000344.1_440,161,1.0000,0.0413,1.0000,1.0413
RJLJ01000344.1_441,708,0.7938,0.0054,1.0000,0.7992
RJLJ01000351.1_452,1099,0.9964,0.0043,1.0000,1.0007
RJLJ01000352.1_453,183,1.0000,0.0746,1.0000,1.0746
RJLJ01000375.1_482,156,0.9936,0.0179,1.0000,1.0115
RJLJ01000375.1_483,356,0.9972,0.0059,1.0000,1.0031
RJLJ01000376.1_484,981,0.9980,0.0053,1.0000,1.0033
RJLJ01000377.1_485,788,0.9987,0.0058,1.0000,1.0045
RJLJ01000378.1_486,1112,0.9973,0.0049,1.0000,1.0022
RJLJ01000379.1_487,895,0.9944,0.0039,1.0000,0.9983
RJLJ01000380.1_488,256,0.4531,0.0143,1.0000,0.4674
RJLJ01000381.1_489,293,0.9966,0.0406,1.0000,1.0372
RJLJ01000383.1_491,554,0.9982,0.0088,1.0000,1.0069
RJLJ01000405.1_535,157,1.0000,0.0166,1.0000,1.0166
RJLJ01000406.1_536,276,1.0000,0.0107,1.0000,1.0107
RJLJ01000410.1_542,225,0.4356,0.0260,1.0000,0.4616
RJLJ01000416.1_547,302,1.0000,0.0119,1.0000,1.0119
RJLJ01000417.1_548,168,0.9940,0.0220,1.0000,1.0161
RJLJ01000423.1_555,135,0.9926,0.0381,1.0000,1.0307
RJLJ01000426.1_559,292,1.0000,0.0197,1.0000,1.0197
RJLJ01000429.1_562,914,0.9967,0.0057,1.0000,1.0025
RJLJ01000434.1_565,1015,0.9961,0.0052,1.0000,1.0012
RJLJ01000436.1_568,168,0.9940,0.0152,1.0000,1.0092
