GenBank accession	Is target	Is sampled (100 genomes)	Is sampled (1000 genomes)
GCA_002131765.1	TRUE	FALSE	FALSE
GCA_001395535.1	TRUE	FALSE	FALSE
GCA_001389875.1	TRUE	FALSE	FALSE
GCA_025916905.1	TRUE	FALSE	TRUE
GCA_001395055.1	TRUE	FALSE	TRUE
GCA_001853295.1	TRUE	FALSE	FALSE
GCA_000803885.1	TRUE	FALSE	FALSE
GCA_004105795.1	TRUE	FALSE	FALSE
GCA_001395015.1	TRUE	FALSE	FALSE
GCA_001377195.1	TRUE	FALSE	FALSE
GCA_003394645.1	TRUE	FALSE	FALSE
GCA_001393095.1	TRUE	FALSE	FALSE
GCA_003392915.1	TRUE	FALSE	FALSE
GCA_001379655.1	TRUE	FALSE	TRUE
GCA_002128935.1	TRUE	FALSE	FALSE
GCA_040062835.1	TRUE	FALSE	FALSE
GCA_004106755.1	TRUE	FALSE	FALSE
GCA_900123165.1	TRUE	FALSE	TRUE
GCA_000673015.1	TRUE	FALSE	FALSE
GCA_000667145.1	TRUE	FALSE	FALSE
GCA_018305045.1	TRUE	FALSE	FALSE
GCA_004108565.1	TRUE	FALSE	FALSE
GCA_001380235.1	TRUE	FALSE	FALSE
GCA_001208685.1	TRUE	FALSE	FALSE
GCA_965122365.1	TRUE	FALSE	FALSE
GCA_000660905.1	TRUE	FALSE	FALSE
GCA_001325065.1	TRUE	FALSE	TRUE
GCA_003398285.1	TRUE	FALSE	FALSE
GCA_020683605.1	TRUE	FALSE	FALSE
GCA_001395775.1	TRUE	FALSE	TRUE
GCA_004113165.1	TRUE	FALSE	FALSE
GCA_900123375.1	TRUE	FALSE	FALSE
GCA_000669775.1	TRUE	FALSE	FALSE
GCA_000674475.1	TRUE	FALSE	FALSE
GCA_004111145.1	TRUE	FALSE	FALSE
GCA_001997745.1	TRUE	FALSE	FALSE
GCA_000669235.1	TRUE	FALSE	FALSE
GCA_004107795.1	TRUE	FALSE	FALSE
GCA_000650895.1	TRUE	FALSE	FALSE
GCA_000658335.1	TRUE	FALSE	FALSE
GCA_000668615.1	TRUE	FALSE	FALSE
GCA_001943905.1	TRUE	FALSE	FALSE
GCA_001323425.1	TRUE	FALSE	FALSE
GCA_018305025.1	TRUE	FALSE	FALSE
GCA_001840705.1	TRUE	FALSE	FALSE
GCA_030572755.1	TRUE	FALSE	TRUE
GCA_000660605.1	TRUE	FALSE	FALSE
GCA_900121785.1	TRUE	FALSE	FALSE
GCA_001383975.1	TRUE	FALSE	TRUE
