GenBank accession	Is target	Is sampled (100 genomes)	Is sampled (1000 genomes)
GCA_005518965.1	TRUE	FALSE	FALSE
GCA_047338585.1	TRUE	FALSE	FALSE
GCA_001364435.1	TRUE	FALSE	FALSE
GCA_001367495.1	TRUE	FALSE	FALSE
GCA_001240825.1	TRUE	FALSE	FALSE
GCA_001363075.1	TRUE	FALSE	FALSE
GCA_046159485.1	TRUE	FALSE	TRUE
GCA_020715045.1	TRUE	FALSE	FALSE
GCA_001220965.1	TRUE	FALSE	FALSE
GCA_031184215.1	TRUE	FALSE	TRUE
GCA_001080125.1	TRUE	FALSE	FALSE
GCA_002048605.1	TRUE	FALSE	FALSE
GCA_003590405.1	TRUE	FALSE	FALSE
GCA_001361535.1	TRUE	FALSE	FALSE
GCA_007280655.1	TRUE	FALSE	FALSE
GCA_040280985.1	TRUE	FALSE	FALSE
GCA_012928185.1	TRUE	FALSE	FALSE
GCA_001099765.1	TRUE	FALSE	FALSE
GCA_000698655.1	TRUE	FALSE	FALSE
GCA_015022925.1	TRUE	FALSE	FALSE
GCA_001954765.1	TRUE	FALSE	FALSE
GCA_001218585.1	TRUE	FALSE	FALSE
GCA_018310435.1	TRUE	FALSE	FALSE
GCA_003064215.1	TRUE	FALSE	FALSE
GCA_031000895.1	TRUE	FALSE	FALSE
GCA_002062265.1	TRUE	FALSE	FALSE
GCA_038020145.1	TRUE	FALSE	FALSE
GCA_003118035.1	TRUE	FALSE	TRUE
GCA_001355675.1	TRUE	FALSE	FALSE
GCA_025629165.1	TRUE	FALSE	FALSE
GCA_001102865.1	TRUE	FALSE	FALSE
GCA_003596725.1	TRUE	FALSE	FALSE
GCA_046038415.1	TRUE	FALSE	FALSE
GCA_001104165.2	TRUE	FALSE	FALSE
GCA_016652505.1	TRUE	FALSE	FALSE
GCA_001588195.1	TRUE	FALSE	TRUE
GCA_008727915.1	TRUE	FALSE	FALSE
GCA_040907485.1	TRUE	FALSE	FALSE
GCA_001242365.1	TRUE	FALSE	FALSE
GCA_015022965.1	TRUE	FALSE	FALSE
