fasta_header,length,conservation,f_tar_hits,divergence,f_neg_hits,avg_repeats_tar,avg_pident_tar,avg_repeats_neg,avg_pident_neg,rep_ratio,n_nodes
0-NC_002655.2-3251076:3251523,447,0.9899328859060402,1.0,0.19486230039342745,1.0,1.0,0.9899328859060402,1.0689655172413792,0.7485921468795804,0.75,5
1-NC_002695.1-1856139:1856730,591,0.998730964467005,1.0,0.18285780967384327,1.0,3.75,0.5154751833051325,3.7586206896551726,0.3340169593714142,1.0,6
0-NC_002655.2-3249342:3249641,299,0.9832775919732442,1.0,0.16214969438357743,1.0,1.0,0.9832775919732442,1.0,0.8333525544919849,0.75,5
0-NC_002655.2-4856623:4856825,202,0.9913366336633663,1.0,0.14919767838852852,1.0,1.0,0.9913366336633663,1.9655172413793103,0.6891999544782065,0.75,3
1-NC_002695.1-2144739:2145117,378,0.9861111111111112,1.0,0.1410326582740376,1.0,2.75,0.40575396825396826,2.0689655172413794,0.434622635772061,0.75,5
0-NC_002655.2-3139360:3139918,558,0.9973118279569892,1.0,0.12884686688913607,1.0,2.0,0.5201612903225806,1.9310344827586208,0.4973736250154493,1.0,7
0-NC_002655.2-2949438:2949965,527,0.9838709677419355,1.0,0.12791991101223582,1.0,2.0,0.5166034155597723,3.0689655172413794,0.2721956858382953,0.5,7
0-NC_002655.2-3158115:3158419,304,0.9958881578947368,1.0,0.10923321234119782,1.0,3.0,0.5984100877192983,3.5172413793103448,0.5458919388989716,0.75,3
0-NC_002655.2-3057935:3058240,305,0.9991803278688525,1.0,0.10537026568682872,1.0,1.0,0.9991803278688525,1.0344827586206897,0.8896551724137932,1.0,3
0-NC_002655.2-3260235:3260645,410,0.9841463414634146,1.0,0.11858704793944491,0.8620689655172413,1.25,0.8655487804878049,1.6,0.6136585365853658,0.75,4
1-NC_002695.1-2066066:2066734,668,0.9898952095808383,1.0,0.10969440429485855,1.0,8.25,0.28992431803060553,8.586206896551724,0.20003069320382968,0.75,7
0-NC_002655.2-3140349:3141074,725,0.9986206896551724,1.0,0.08171224732461356,1.0,1.0,0.9986206896551724,1.4137931034482758,0.7562068965517241,1.0,7
0-NC_002655.2-3259655:3260008,353,0.9922096317280453,1.0,0.08625573898603106,1.0,4.0,0.39996458923512745,2.896551724137931,0.2634072482172512,0.75,5
0-NC_002655.2-4346349:4347077,728,0.9945054945054945,1.0,0.0801439939370974,1.0,1.75,0.6351304945054945,2.1379310344827585,0.3063976253631426,0.75,8
0-NC_002655.2-5209417:5209634,217,0.9861751152073732,1.0,0.08596853646909265,1.0,22.25,0.24939390903626527,20.724137931034484,0.25807698440468596,0.75,3
0-NC_002655.2-1305943:1306298,355,0.9964788732394366,1.0,0.07226809130645945,1.0,4.5,0.31201877934272304,5.137931034482759,0.24092836713769203,0.75,5
0-NC_002655.2-3137341:3137573,232,0.9989224137931034,1.0,0.06881688466111771,1.0,209.0,0.20205357011814093,209.41379310344828,0.1991084687667662,0.75,4
0-NC_002655.2-5133804:5134364,560,0.996875,1.0,0.06644088669950739,0.9655172413793104,1.75,0.6352678571428572,2.0714285714285716,0.4151626275510204,0.75,7
0-NC_002655.2-1608560:1608870,310,0.9967741935483871,1.0,0.064293659621802,1.0,1.75,0.6455645161290322,1.6896551724137931,0.6281979977753059,1.0,4
1-NC_002695.1-1893894:1894104,210,0.9976190476190476,1.0,0.06223316912972086,1.0,5.75,0.26638321995464853,5.068965517241379,0.27998025647040425,1.0,4
0-NC_002655.2-3059103:3059452,349,0.995702005730659,1.0,0.06274083588578204,1.0,3.5,0.4908667621776504,3.6206896551724137,0.5081628956295492,0.75,3
0-NC_002655.2-1313789:1314103,314,0.9936305732484076,1.0,0.06413353832637822,0.7586206896551724,1.0,0.9936305732484076,1.0,0.8736247828604516,0.75,4
0-NC_002655.2-2104484:2105952,1468,0.9313692098092643,1.0,0.12559898524852015,1.0,2.5,0.42877213896457766,3.8620689655172415,0.1924598327539228,0.5,14
