signature_id,length,conservation,divergence,fraction_nontarget_hit,score
0-CM002100.1-4292567:4293163,596,0.9998,0.3293,1.0000,1.3291
0-CM002100.1-724045:725092,1047,0.9948,0.3032,1.0000,1.2981
0-CM002100.1-29501:31186,1685,0.9873,0.3060,1.0000,1.2933
1-AWPL01000048.1-91593:92337,744,0.9948,0.2972,1.0000,1.2921
0-CM002100.1-13227:13991,764,0.9896,0.3001,1.0000,1.2897
0-CM002100.1-2453467:2454222,755,0.9915,0.2977,1.0000,1.2893
0-CM002100.1-1068063:1070123,2060,0.9919,0.2958,1.0000,1.2877
0-CM002100.1-1884818:1888067,3249,0.9892,0.2980,1.0000,1.2872
0-CM002100.1-3950428:3950989,561,0.9860,0.2992,1.0000,1.2852
0-CM002100.1-1563225:1563686,461,0.9940,0.2909,1.0000,1.2849
0-CM002100.1-2615119:2616415,1296,0.9944,0.2895,1.0000,1.2839
0-CM002100.1-5278:6117,839,0.9952,0.2847,1.0000,1.2799
0-CM002100.1-1881417:1883588,2171,0.9845,0.2919,1.0000,1.2764
0-CM002100.1-3866379:3868188,1809,0.9935,0.2713,1.0000,1.2648
0-CM002100.1-2054503:2055183,680,0.9915,0.2796,1.0000,1.2712
0-CM002100.1-1390267:1390672,405,0.9999,0.2704,1.0000,1.2702
0-CM002100.1-155705:156282,577,0.9999,0.2673,1.0000,1.2673
0-CM002100.1-25392:25833,441,0.9993,0.2676,1.0000,1.2669
0-CM002100.1-3037346:3038193,847,0.9967,0.2687,1.0000,1.2653
0-CM002100.1-2418770:2419151,381,0.9964,0.2652,1.0000,1.2616
0-CM002100.1-3196569:3197241,672,0.9890,0.2722,1.0000,1.2613
0-CM002100.1-4091156:4091577,421,0.9964,0.2609,0.9000,1.2574
0-CM002100.1-23385:23791,406,0.9998,0.2590,1.0000,1.2588
0-CM002100.1-3692966:3694128,1162,0.9934,0.2650,1.0000,1.2584
0-CM002100.1-3614204:3614476,272,0.9992,0.2581,1.0000,1.2573
0-CM002100.1-3585336:3586967,1631,0.9918,0.2643,1.0000,1.2560
0-CM002100.1-799295:800328,1033,0.9951,0.2596,1.0000,1.2546
0-CM002100.1-3857476:3864451,6975,0.9886,0.2643,1.0000,1.2528
0-CM002100.1-3273600:3279827,6227,0.9972,0.2556,1.0000,1.2527
0-CM002100.1-2318287:2318890,603,0.9969,0.2546,1.0000,1.2515
0-CM002100.1-554201:555468,1267,0.9922,0.2578,1.0000,1.2500
0-CM002100.1-4366476:4366889,413,0.9955,0.2544,1.0000,1.2499
1-AWPL01000064.1-29803:31454,1651,0.9884,0.2611,1.0000,1.2496
0-CM002100.1-1716588:1717476,888,0.9955,0.2537,1.0000,1.2492
0-CM002100.1-31390:32377,987,0.9995,0.0575,1.0000,1.0570
0-CM002100.1-954496:954871,375,0.9992,0.2496,1.0000,1.2488
0-CM002100.1-1877884:1880369,2485,0.9966,0.2521,1.0000,1.2487
0-CM002100.1-3569574:3572463,2889,0.9974,0.2502,1.0000,1.2476
0-CM002100.1-3338441:3340183,1742,0.9903,0.2573,1.0000,1.2475
0-CM002100.1-500818:501098,280,0.9938,0.2536,1.0000,1.2474
0-CM002100.1-3949:5122,1173,0.9923,0.2551,1.0000,1.2474
0-CM002100.1-332810:333133,323,0.9965,0.2509,1.0000,1.2474
0-CM002100.1-2132155:2134286,2131,0.9946,0.2519,1.0000,1.2465
0-CM002100.1-1849830:1850716,886,0.9940,0.2525,1.0000,1.2465
0-CM002100.1-1356961:1357495,534,0.9969,0.2494,1.0000,1.2463
0-CM002100.1-2189595:2189951,356,0.9998,0.2456,1.0000,1.2454
0-CM002100.1-800362:800922,560,0.9997,0.2454,1.0000,1.2451
0-CM002100.1-853844:854307,463,0.9841,0.2599,1.0000,1.2440
0-CM002100.1-4405136:4405919,783,0.9945,0.2492,1.0000,1.2437
0-CM002100.1-474738:475190,452,0.9989,0.2444,1.0000,1.2433
0-CM002100.1-4311898:4312367,469,0.9963,0.2466,1.0000,1.2429
0-CM002100.1-3359702:3360965,1263,0.9952,0.2476,1.0000,1.2428
0-CM002100.1-1202923:1204380,1457,0.9903,0.2520,1.0000,1.2424
0-CM002100.1-3574544:3575335,791,1.0000,0.2422,1.0000,1.2422
0-CM002100.1-575476:575930,454,0.9961,0.2458,1.0000,1.2419
0-CM002100.1-2317630:2318032,402,0.9948,0.2470,1.0000,1.2418
0-CM002100.1-3184526:3185149,623,0.9948,0.2470,1.0000,1.2418
0-CM002100.1-3025743:3027026,1283,0.9932,0.2486,1.0000,1.2417
0-CM002100.1-969181:969466,285,0.9989,0.2423,1.0000,1.2411
0-CM002100.1-4320589:4321034,445,1.0000,0.2407,1.0000,1.2406
0-CM002100.1-3781010:3783224,2214,0.9936,0.2468,1.0000,1.2404
0-CM002100.1-1589524:1590903,1379,0.9936,0.2465,1.0000,1.2401
0-CM002100.1-572725:575120,2395,0.9925,0.2474,1.0000,1.2399
0-CM002100.1-4322840:4324762,1922,0.9901,0.2492,1.0000,1.2393
0-CM002100.1-2291379:2291749,370,0.9926,0.2466,1.0000,1.2393
0-CM002100.1-3588954:3590637,1683,0.9933,0.2452,1.0000,1.2384
0-CM002100.1-2134623:2135166,543,0.9952,0.2427,1.0000,1.2379
0-CM002100.1-4166454:4167058,604,0.9951,0.2427,1.0000,1.2378
0-CM002100.1-384340:385097,757,0.9971,0.2404,1.0000,1.2375
0-CM002100.1-726131:730071,3940,0.9603,0.2767,1.0000,1.2371
0-CM002100.1-354848:355245,397,0.9999,0.2345,1.0000,1.2344
0-CM002100.1-748601:749070,469,0.9964,0.2380,1.0000,1.2344
0-CM002100.1-1480745:1481400,655,0.9998,0.2346,1.0000,1.2344
0-CM002100.1-2937832:2938452,620,0.9945,0.2398,1.0000,1.2343
0-CM002100.1-639986:640422,436,0.9932,0.2411,1.0000,1.2342
0-CM002100.1-4364132:4364467,335,1.0000,0.2339,1.0000,1.2339
0-CM002100.1-2461572:2462413,841,0.9967,0.2368,1.0000,1.2335
0-CM002100.1-3661906:3662836,930,0.9931,0.2400,1.0000,1.2331
0-CM002100.1-1501770:1503292,1522,0.9953,0.2376,1.0000,1.2329
0-CM002100.1-128393:129028,635,0.9999,0.2328,1.0000,1.2327
0-CM002100.1-352602:354732,2130,0.9797,0.2528,1.0000,1.2325
0-CM002100.1-3187804:3188894,1090,0.9919,0.2403,1.0000,1.2322
0-CM002100.1-355325:358842,3517,0.9913,0.2401,1.0000,1.2314
0-CM002100.1-3640432:3640907,475,1.0000,0.2314,1.0000,1.2314
0-CM002100.1-1209870:1210928,1058,0.9962,0.2344,1.0000,1.2306
0-CM002100.1-4198964:4200638,1674,0.9940,0.2365,1.0000,1.2306
0-CM002100.1-2553855:2554417,562,1.0000,0.2303,1.0000,1.2303
0-CM002100.1-3013366:3015403,2037,0.9904,0.2399,1.0000,1.2303
0-CM002100.1-1914967:1915367,400,0.9988,0.2315,1.0000,1.2303
0-CM002100.1-1430860:1431642,782,0.9958,0.2340,1.0000,1.2298
0-CM002100.1-2156305:2156527,222,0.9999,0.2293,1.0000,1.2292
0-CM002100.1-2343056:2343749,693,0.9762,0.2530,0.9500,1.2291
0-CM002100.1-1647675:1648185,510,0.9921,0.2366,1.0000,1.2287
0-CM002100.1-797913:799067,1154,0.9930,0.2353,1.0000,1.2283
0-CM002100.1-3394091:3394418,327,1.0000,0.2280,1.0000,1.2280
0-CM002100.1-641298:641699,401,0.9981,0.2297,1.0000,1.2278
0-CM002100.1-2790321:2791791,1470,0.9954,0.2320,1.0000,1.2273
0-CM002100.1-2130887:2131971,1084,0.9973,0.2296,1.0000,1.2269
0-CM002100.1-15157:15591,434,0.9932,0.2336,1.0000,1.2269
0-CM002100.1-3225546:3227682,2136,0.9953,0.2311,1.0000,1.2264
0-CM002100.1-1557180:1557535,355,0.9992,0.2272,1.0000,1.2263
0-CM002100.1-1958119:1958629,510,1.0000,0.2263,1.0000,1.2263
0-CM002100.1-2709841:2711124,1283,0.9914,0.2348,1.0000,1.2262
0-CM002100.1-3829003:3829520,517,0.9999,0.2261,1.0000,1.2260
0-CM002100.1-167085:167922,837,0.9971,0.2289,1.0000,1.2260
0-CM002100.1-2419332:2419923,591,0.9999,0.2259,1.0000,1.2257
0-CM002100.1-398872:399367,495,0.9994,0.2263,1.0000,1.2257
0-CM002100.1-725262:725845,583,0.9975,0.2280,1.0000,1.2256
0-CM002100.1-714969:715353,384,0.9996,0.2259,1.0000,1.2256
0-CM002100.1-950951:951363,412,1.0000,0.2252,1.0000,1.2252
0-CM002100.1-3832578:3833045,467,0.9977,0.2275,1.0000,1.2252
