signature_id,length,conservation,divergence,fraction_nontarget_hit,score
0-AM408590.1-62301:62770,469,0.9953,0.3097,1.0000,1.3050
0-AM408590.1-330762:331026,264,0.9985,0.2768,1.0000,1.2752
0-AM408590.1-3616582:3616943,361,0.9979,0.2537,1.0000,1.2517
0-AM408590.1-3063142:3063497,355,0.9983,0.2527,1.0000,1.2510
0-AM408590.1-755258:755943,685,0.9933,0.2557,1.0000,1.2490
0-AM408590.1-60969:61236,267,0.9954,0.2509,1.0000,1.2464
0-AM408590.1-996422:996693,271,0.9998,0.2341,1.0000,1.2339
0-AM408590.1-744104:744440,336,0.9935,0.2365,1.0000,1.2300
0-AM408590.1-4347321:4347781,460,0.9964,0.2325,1.0000,1.2289
0-AM408590.1-582980:583275,295,0.9999,0.2225,1.0000,1.2224
0-AM408590.1-3062453:3062857,404,0.9953,0.2223,1.0000,1.2177
0-AM408590.1-341531:341842,311,0.9969,0.2133,1.0000,1.2102
0-AM408590.1-4002511:4002846,335,0.9962,0.2138,1.0000,1.2100
0-AM408590.1-95489:95712,223,0.9964,0.2118,1.0000,1.2082
0-AM408590.1-360148:360511,363,0.9982,0.2081,1.0000,1.2063
0-AM408590.1-3847191:3847481,290,0.9993,0.2067,1.0000,1.2060
0-AM408590.1-1885216:1885427,211,0.9976,0.2075,1.0000,1.2051
0-AM408590.1-3442878:3443233,355,0.9977,0.2052,1.0000,1.2029
0-AM408590.1-4251730:4252022,292,0.9995,0.1992,1.0000,1.1987
0-AM408590.1-3560588:3560840,252,0.9993,0.1989,1.0000,1.1982
0-AM408590.1-184383:184602,219,1.0000,0.1991,1.0000,1.1991
0-AM408590.1-2356190:2356416,226,0.9993,0.1964,1.0000,1.1957
0-AM408590.1-10761:11158,397,0.9977,0.1973,1.0000,1.1950
0-AM408590.1-373296:373586,290,0.9991,0.1948,1.0000,1.1939
0-AM408590.1-3611722:3612034,312,0.9992,0.1938,1.0000,1.1929
0-AM408590.1-1000408:1000833,425,0.9946,0.1955,1.0000,1.1901
0-AM408590.1-1808049:1808308,259,0.9987,0.1893,1.0000,1.1881
