marker,length,identity,coverage,found
NC_011750.1_57,1385,100.0,68.4,0
NC_011750.1_77,4185,99.8,77.5,0
NC_011750.1_81,705,100.0,14.3,0
NC_011750.1_93,259,0.0,0.0,0
NC_011750.1_94,521,0.0,0.0,0
NC_011750.1_95,107,0.0,0.0,0
NC_011750.1_108,396,100.0,97.0,1
NC_011750.1_139,1415,99.4,67.0,0
NC_011750.1_148,149,100.0,100.0,1
NC_011750.1_149,3556,99.5,100.0,1
NC_011750.1_155,1291,99.2,94.8,1
NC_011750.1_175,168,0.0,0.0,0
NC_011750.1_176,2346,100.0,15.4,0
NC_011750.1_177,3062,99.2,3.9,0
NC_011750.1_289,393,0.0,0.0,0
NC_011750.1_341,779,99.9,90.0,0
NC_011750.1_345,498,99.8,100.0,1
NC_011750.1_357,255,100.0,100.0,1
