signature_id,length,conservation,divergence,fraction_nontarget_hit,score
APAF01000024.1_13,117,0.8974,0.0313,1.0000,0.9288
APAF01000024.1_14,156,0.9359,0.0114,1.0000,0.9473
APAF01000036.1_31,896,0.9676,0.0015,1.0000,0.9691
APAF01000048.1_52,182,0.8681,0.0079,1.0000,0.8761
APAF01000048.1_56,133,0.9248,0.0088,1.0000,0.9336
APAF01000049.1_71,363,0.9449,0.0011,1.0000,0.9460
APAF01000049.1_72,238,0.9370,0.0054,0.9444,0.9423
APAF01000049.1_73,306,0.9085,0.0029,0.3889,0.9114
APAF01000049.1_74,212,0.9528,0.0097,1.0000,0.9625
APAF01000049.1_75,909,0.9439,0.0029,1.0000,0.9468
APAF01000049.1_76,700,0.9586,0.0067,1.0000,0.9652
APAF01000049.1_77,841,0.9620,0.0044,1.0000,0.9664
APAF01000049.1_78,249,0.9157,0.0038,0.9444,0.9195
APAF01000049.1_79,964,0.9253,0.0000,1.0000,0.9253
APAF01000049.1_80,122,0.9262,0.0050,1.0000,0.9312
APAF01000111.1_163,119,0.8655,0.0033,0.7222,0.8688
APAF01000111.1_164,144,0.9653,0.0100,1.0000,0.9753
APAF01000111.1_165,335,0.9075,0.0060,1.0000,0.9134
APAF01000111.1_166,2066,0.9530,0.0015,1.0000,0.9545
APAF01000153.1_224,163,0.9387,0.0095,1.0000,0.9482
APAF01000165.1_251,1181,0.9187,0.0020,1.0000,0.9207
APAF01000165.1_252,125,0.9040,0.0000,1.0000,0.9040
APAF01000165.1_253,128,0.9141,0.0017,1.0000,0.9158
APAF01000165.1_254,120,0.9167,0.0181,1.0000,0.9347
APAF01000165.1_255,152,0.9276,0.0040,1.0000,0.9317
APAF01000165.1_256,303,0.9208,0.0033,1.0000,0.9241
APAF01000165.1_257,347,0.8991,0.0034,1.0000,0.9025
APAF01000178.1_261,907,0.0926,0.0000,0.0000,0.0926
APAF01000192.1_309,136,0.8897,0.0041,0.5556,0.8938
APAF01000192.1_310,155,0.9355,0.0022,1.0000,0.9376
APAF01000192.1_311,423,0.9433,0.0004,1.0000,0.9437
APAF01000217.1_369,250,0.8840,0.0038,1.0000,0.8878
APAF01000223.1_373,1028,0.9572,0.0150,1.0000,0.9722
APAF01000223.1_374,151,0.9669,0.0074,1.0000,0.9742
APAF01000223.1_375,248,0.9395,0.0045,0.9444,0.9440
APAF01000223.1_378,287,0.9582,0.0248,1.0000,0.9830
APAF01000223.1_379,314,0.2771,0.0157,1.0000,0.2928
APAF01000223.1_380,262,0.9275,0.0102,1.0000,0.9377
APAF01000223.1_381,223,0.9193,0.0010,1.0000,0.9203
APAF01000259.1_428,116,0.9310,0.0053,1.0000,0.9363
APAF01000259.1_429,335,0.9164,0.0041,1.0000,0.9206
APAF01000259.1_430,112,0.9911,0.0218,1.0000,1.0129
APAF01000259.1_432,129,0.8992,0.0112,1.0000,0.9104
APAF01000259.1_433,175,0.8514,0.0035,0.6111,0.8549
APAF01000259.1_434,140,0.8643,0.0075,0.8333,0.8718
APAF01000259.1_435,403,0.8883,0.0085,1.0000,0.8969
APAF01000259.1_436,169,0.9231,0.0194,1.0000,0.9425
APAF01000259.1_437,278,0.9137,0.0096,1.0000,0.9233
APAF01000259.1_438,291,0.9656,0.0145,1.0000,0.9801
APAF01000259.1_441,265,0.9170,0.0088,0.6667,0.9258
APAF01000279.1_472,198,0.9242,0.0194,0.7222,0.9436
APAF01000279.1_473,348,0.9109,0.0027,1.0000,0.9136
APAF01000280.1_482,334,0.9251,0.0025,1.0000,0.9276
APAF01000280.1_483,300,0.9233,0.0076,1.0000,0.9309
APAF01000298.1_504,120,0.9833,0.0102,1.0000,0.9935
APAF01000314.1_533,859,0.9476,0.0012,0.5556,0.9488
APAF01000328.1_549,148,0.9324,0.0000,1.0000,0.9324
APAF01000328.1_550,963,0.9595,0.0043,1.0000,0.9638
APAF01000328.1_551,218,0.9404,0.0125,1.0000,0.9529
APAF01000328.1_552,316,0.9525,0.0040,0.9444,0.9566
APAF01000328.1_553,404,0.9455,0.0113,1.0000,0.9568
APAF01000341.1_561,227,0.9119,0.0115,1.0000,0.9234
APAF01000341.1_562,315,0.8794,0.0042,1.0000,0.8836
APAF01000341.1_563,113,0.9292,0.0162,1.0000,0.9454
APAF01000341.1_564,177,0.9153,0.0025,1.0000,0.9178
APAF01000341.1_566,117,0.8803,0.0000,0.6667,0.8803
APAF01000341.1_567,196,0.9031,0.0051,1.0000,0.9082
APAF01000341.1_568,369,0.9079,0.0084,1.0000,0.9163
APAF01000349.1_595,150,0.8400,0.0107,0.9444,0.8507
APAF01000378.1_628,228,0.8728,0.0041,1.0000,0.8769
APAF01000378.1_629,126,0.7857,0.0000,0.0000,0.7857
APAF01000387.1_651,989,0.9302,0.0020,1.0000,0.9323
APAF01000387.1_652,987,0.9574,0.0017,1.0000,0.9591
APAF01000387.1_653,151,0.9735,0.0166,1.0000,0.9901
APAF01000387.1_654,377,0.9390,0.0016,1.0000,0.9406
APAF01000387.1_655,392,0.9439,0.0048,1.0000,0.9487
APAF01000403.1_668,168,0.8750,0.0066,1.0000,0.8816
APAF01000403.1_669,172,0.9012,0.0029,1.0000,0.9041
APAF01000403.1_670,112,0.9554,0.0124,1.0000,0.9678
