marker,length,identity,coverage,found
NC_007606.1_10,377,99.7,100.0,1
NC_007606.1_11,1075,99.6,89.7,0
NC_007606.1_19,749,98.9,100.0,1
NC_007606.1_20,174,100.0,100.0,1
NC_007606.1_22,355,0.0,0.0,0
NC_007606.1_55,1947,98.9,91.1,1
NC_007606.1_62,365,99.7,100.0,1
NC_007606.1_86,141,0.0,0.0,0
NC_007606.1_97,313,99.0,100.0,1
NC_007606.1_145,127,97.6,100.0,1
NC_007606.1_167,862,99.7,100.0,1
NC_007606.1_181,169,0.0,0.0,0
NC_007606.1_184,224,94.6,100.0,0
NC_007606.1_196,1547,99.3,100.0,1
NC_007606.1_197,1273,98.7,100.0,1
NC_007606.1_198,554,98.6,79.1,0
NC_007606.1_199,3505,99.0,61.6,0
NC_007606.1_200,2108,99.2,84.2,0
