marker,length,identity,coverage,found
RJLJ01000038.1_37,627,99.8,100.0,1
RJLJ01000059.1_67,229,100.0,100.0,1
RJLJ01000119.1_155,264,100.0,69.7,0
RJLJ01000145.1_188,160,100.0,100.0,1
RJLJ01000146.1_189,1262,99.4,100.0,1
RJLJ01000147.1_190,282,99.6,100.0,1
RJLJ01000148.1_191,336,99.4,100.0,1
RJLJ01000153.1_195,1385,99.6,100.0,1
RJLJ01000154.1_196,293,99.3,100.0,1
RJLJ01000155.1_197,345,99.7,100.0,1
RJLJ01000156.1_198,639,99.8,100.0,1
RJLJ01000157.1_199,527,99.8,100.0,1
RJLJ01000157.1_200,250,99.6,100.0,1
RJLJ01000158.1_201,218,99.1,100.0,1
RJLJ01000158.1_202,614,99.7,100.0,1
RJLJ01000158.1_203,313,100.0,100.0,1
RJLJ01000159.1_204,622,99.4,85.4,0
RJLJ01000171.1_221,1131,99.4,100.0,1
RJLJ01000172.1_222,585,100.0,100.0,1
RJLJ01000179.1_230,208,100.0,18.3,0
RJLJ01000180.1_231,138,100.0,100.0,1
RJLJ01000186.1_237,409,99.3,100.0,1
RJLJ01000188.1_239,588,99.7,100.0,1
RJLJ01000192.1_243,236,100.0,100.0,1
RJLJ01000192.1_244,588,99.8,100.0,1
RJLJ01000192.1_245,327,99.4,100.0,1
RJLJ01000193.1_246,325,0.0,0.0,0
RJLJ01000193.1_247,604,99.5,95.2,1
RJLJ01000202.1_254,224,99.6,100.0,1
RJLJ01000203.1_255,320,99.7,100.0,1
RJLJ01000204.1_256,131,99.2,100.0,1
RJLJ01000204.1_258,466,99.2,80.7,0
RJLJ01000207.1_263,1053,99.7,100.0,1
RJLJ01000208.1_264,197,100.0,100.0,1
RJLJ01000208.1_265,450,99.3,100.0,1
RJLJ01000215.1_273,206,99.5,100.0,1
RJLJ01000216.1_274,128,100.0,100.0,1
RJLJ01000227.1_293,607,100.0,19.3,0
RJLJ01000232.1_298,1387,100.0,35.8,0
RJLJ01000233.1_299,359,98.9,97.5,1
RJLJ01000234.1_300,248,100.0,100.0,1
RJLJ01000235.1_301,1543,99.7,38.7,0
RJLJ01000237.1_303,160,99.4,100.0,1
RJLJ01000240.1_306,483,99.2,100.0,1
RJLJ01000245.1_310,109,0.0,0.0,0
RJLJ01000245.1_311,324,99.5,64.2,0
RJLJ01000245.1_312,113,100.0,100.0,1
RJLJ01000251.1_322,136,100.0,100.0,1
RJLJ01000266.1_343,116,100.0,100.0,1
RJLJ01000278.1_359,1180,100.0,5.4,0
RJLJ01000284.1_365,809,100.0,31.0,0
RJLJ01000312.1_392,197,99.5,100.0,1
RJLJ01000314.1_395,563,99.4,61.5,0
RJLJ01000317.1_398,237,99.6,100.0,1
RJLJ01000318.1_399,579,99.7,100.0,1
RJLJ01000318.1_400,1093,99.7,100.0,1
RJLJ01000319.1_401,120,100.0,100.0,1
RJLJ01000320.1_402,804,99.4,100.0,1
RJLJ01000320.1_403,147,100.0,100.0,1
RJLJ01000320.1_404,134,99.3,100.0,1
RJLJ01000322.1_407,224,100.0,100.0,1
RJLJ01000323.1_408,582,99.0,100.0,1
RJLJ01000325.1_410,419,100.0,100.0,1
RJLJ01000331.1_417,564,100.0,28.9,0
RJLJ01000332.1_418,1066,99.3,76.5,0
RJLJ01000333.1_420,576,99.7,100.0,1
RJLJ01000334.1_421,196,100.0,100.0,1
RJLJ01000334.1_422,202,100.0,100.0,1
RJLJ01000337.1_431,205,100.0,100.0,1
RJLJ01000338.1_432,366,99.5,100.0,1
RJLJ01000339.1_433,463,99.6,100.0,1
RJLJ01000340.1_434,569,99.6,100.0,1
RJLJ01000340.1_435,146,100.0,100.0,1
RJLJ01000341.1_436,153,100.0,100.0,1
RJLJ01000341.1_437,105,99.0,100.0,1
RJLJ01000342.1_438,801,99.1,87.1,0
RJLJ01000343.1_439,620,100.0,42.6,0
RJLJ01000344.1_440,161,100.0,100.0,1
RJLJ01000344.1_441,708,99.4,73.2,0
RJLJ01000351.1_452,1099,99.6,100.0,1
RJLJ01000352.1_453,596,100.0,30.7,0
RJLJ01000354.1_456,269,100.0,27.5,0
RJLJ01000375.1_482,156,99.4,100.0,1
RJLJ01000375.1_483,356,99.7,100.0,1
RJLJ01000376.1_484,981,99.8,100.0,1
RJLJ01000377.1_485,788,99.9,100.0,1
RJLJ01000378.1_486,1112,99.7,100.0,1
RJLJ01000379.1_487,895,99.4,100.0,1
RJLJ01000380.1_488,443,98.3,26.6,0
RJLJ01000381.1_489,562,99.7,52.1,0
RJLJ01000383.1_491,554,99.8,100.0,1
RJLJ01000405.1_535,504,100.0,31.2,0
RJLJ01000406.1_536,276,100.0,100.0,1
RJLJ01000410.1_542,455,100.0,21.5,0
RJLJ01000416.1_547,302,100.0,100.0,1
RJLJ01000417.1_548,168,0.0,0.0,0
RJLJ01000423.1_555,135,99.3,100.0,1
RJLJ01000424.1_556,1676,100.0,5.7,0
RJLJ01000426.1_559,292,100.0,100.0,1
RJLJ01000429.1_562,914,99.7,100.0,1
RJLJ01000434.1_565,1015,99.6,100.0,1
RJLJ01000436.1_568,168,99.4,100.0,1
RJLJ01000436.1_569,220,98.6,100.0,1
RJLJ01000448.1_583,517,99.6,52.8,0
RJLJ01000468.1_619,270,100.0,23.3,0
RJLJ01000472.1_623,117,99.1,100.0,1
RJLJ01000511.1_684,101,100.0,100.0,1
RJLJ01000513.1_688,197,100.0,100.0,1
RJLJ01000523.1_699,630,100.0,100.0,1
RJLJ01000525.1_701,121,99.2,100.0,1
RJLJ01000549.1_739,190,99.5,100.0,1
RJLJ01000557.1_754,568,100.0,16.2,0
RJLJ01000568.1_767,480,99.8,100.0,1
RJLJ01000589.1_801,112,100.0,100.0,1
RJLJ01000591.1_803,1485,99.2,8.1,0
RJLJ01000603.1_818,399,99.1,57.6,0
RJLJ01000603.1_822,114,100.0,100.0,1
RJLJ01000604.1_823,1508,100.0,8.2,0
RJLJ01000608.1_831,286,100.0,59.1,0
RJLJ01000654.1_903,108,100.0,100.0,1
RJLJ01000694.1_956,188,100.0,100.0,1
RJLJ01000696.1_958,1625,99.8,100.0,1
RJLJ01000696.1_959,640,99.5,100.0,1
RJLJ01000696.1_960,359,99.2,100.0,1
RJLJ01000707.1_973,521,100.0,100.0,1
RJLJ01000721.1_996,423,99.8,100.0,1
RJLJ01000722.1_997,213,99.5,100.0,1
RJLJ01000732.1_1015,398,0.0,0.0,0
RJLJ01000744.1_1028,896,99.3,15.0,0
RJLJ01000749.1_1033,161,100.0,100.0,1
RJLJ01000766.1_1060,609,99.8,100.0,1
RJLJ01000792.1_1095,1072,100.0,4.5,0
RJLJ01000812.1_1127,301,100.0,100.0,1
RJLJ01000826.1_1143,101,99.0,100.0,1
RJLJ01000830.1_1151,124,100.0,100.0,1
RJLJ01000834.1_1158,109,100.0,100.0,1
RJLJ01000837.1_1162,124,100.0,100.0,1
RJLJ01000838.1_1163,607,100.0,97.4,1
RJLJ01000840.1_1164,259,99.2,91.5,1
RJLJ01000841.1_1165,340,99.7,100.0,1
RJLJ01000847.1_1180,215,100.0,98.6,1
RJLJ01000869.1_1215,209,100.0,100.0,1
RJLJ01000869.1_1216,200,99.0,100.0,1
RJLJ01000878.1_1229,1629,99.5,51.7,0
RJLJ01000881.1_1233,490,99.8,100.0,1
RJLJ01000882.1_1234,272,100.0,100.0,1
RJLJ01000883.1_1235,201,99.5,100.0,1
RJLJ01000886.1_1239,746,99.8,56.2,0
RJLJ01000900.1_1257,312,100.0,100.0,1
RJLJ01000906.1_1265,1420,100.0,30.7,0
RJLJ01000907.1_1266,326,99.5,64.1,0
RJLJ01000910.1_1270,326,99.1,33.1,0
RJLJ01000926.1_1291,1097,99.6,100.0,1
RJLJ01000930.1_1298,106,97.2,100.0,1
RJLJ01000937.1_1310,909,100.0,100.0,1
RJLJ01000938.1_1311,926,99.2,28.1,0
RJLJ01000939.1_1312,845,99.1,12.9,0
RJLJ01000943.1_1319,659,99.4,100.0,1
RJLJ01000943.1_1320,914,100.0,100.0,1
RJLJ01000944.1_1321,681,100.0,100.0,1
RJLJ01000947.1_1325,273,99.6,100.0,1
RJLJ01000948.1_1326,398,100.0,100.0,1
RJLJ01000954.1_1337,214,100.0,100.0,1
RJLJ01000965.1_1351,949,0.0,0.0,0
RJLJ01000966.1_1352,119,0.0,0.0,0
RJLJ01000981.1_1377,167,99.4,100.0,1
RJLJ01000982.1_1378,2926,99.1,3.6,0
RJLJ01000990.1_1390,130,0.0,0.0,0
RJLJ01001005.1_1412,487,99.6,100.0,1
RJLJ01001006.1_1413,274,99.6,100.0,1
RJLJ01001007.1_1414,261,98.9,100.0,1
RJLJ01001047.1_1474,420,99.0,100.0,1
RJLJ01001054.1_1485,115,99.1,100.0,1
RJLJ01001061.1_1493,193,100.0,83.9,0
RJLJ01001061.1_1494,1192,99.4,13.4,0
RJLJ01001063.1_1496,386,98.9,23.8,0
RJLJ01001064.1_1497,1216,99.7,59.1,0
