marker,length,identity,coverage,found
JBKVRS010000004.1_1,246,0.0,0.0,0
JBKVRS010000004.1_3,141,0.0,0.0,0
JBKVRS010000004.1_4,197,0.0,0.0,0
JBKVRS010000004.1_5,162,0.0,0.0,0
JBKVRS010000004.1_6,655,0.0,0.0,0
JBKVRS010000004.1_24,157,0.0,0.0,0
JBKVRS010000004.1_25,171,0.0,0.0,0
JBKVRS010000004.1_30,125,0.0,0.0,0
JBKVRS010000005.1_35,124,0.0,0.0,0
JBKVRS010000005.1_45,136,0.0,0.0,0
JBKVRS010000006.1_77,167,0.0,0.0,0
JBKVRS010000006.1_91,172,0.0,0.0,0
JBKVRS010000006.1_92,118,0.0,0.0,0
JBKVRS010000006.1_94,139,0.0,0.0,0
JBKVRS010000006.1_104,110,0.0,0.0,0
JBKVRS010000006.1_118,146,0.0,0.0,0
JBKVRS010000007.1_140,271,0.0,0.0,0
JBKVRS010000007.1_146,478,0.0,0.0,0
JBKVRS010000008.1_152,175,0.0,0.0,0
JBKVRS010000008.1_153,311,0.0,0.0,0
JBKVRS010000008.1_154,230,0.0,0.0,0
JBKVRS010000008.1_155,148,0.0,0.0,0
JBKVRS010000008.1_157,230,0.0,0.0,0
JBKVRS010000008.1_158,265,0.0,0.0,0
JBKVRS010000008.1_159,277,0.0,0.0,0
JBKVRS010000009.1_165,149,0.0,0.0,0
JBKVRS010000009.1_168,247,0.0,0.0,0
JBKVRS010000010.1_194,293,0.0,0.0,0
JBKVRS010000010.1_196,130,0.0,0.0,0
JBKVRS010000011.1_199,208,0.0,0.0,0
JBKVRS010000011.1_200,132,0.0,0.0,0
JBKVRS010000011.1_201,190,0.0,0.0,0
JBKVRS010000011.1_204,126,0.0,0.0,0
JBKVRS010000011.1_210,132,0.0,0.0,0
JBKVRS010000011.1_216,253,0.0,0.0,0
JBKVRS010000011.1_218,134,0.0,0.0,0
JBKVRS010000011.1_219,308,0.0,0.0,0
JBKVRS010000011.1_221,233,0.0,0.0,0
JBKVRS010000011.1_222,199,0.0,0.0,0
JBKVRS010000011.1_224,248,0.0,0.0,0
JBKVRS010000011.1_225,125,0.0,0.0,0
JBKVRS010000012.1_238,158,0.0,0.0,0
JBKVRS010000012.1_239,146,0.0,0.0,0
