marker,length,identity,coverage,found
0-AM408590.1-62301:62770,469,0.0,0.0,0
0-AM408590.1-330762:331026,264,0.0,0.0,0
0-AM408590.1-3616582:3616943,361,0.0,0.0,0
0-AM408590.1-3063142:3063497,355,0.0,0.0,0
0-AM408590.1-755258:755943,685,0.0,0.0,0
0-AM408590.1-60969:61236,267,0.0,0.0,0
0-AM408590.1-996422:996693,271,0.0,0.0,0
0-AM408590.1-744104:744440,336,0.0,0.0,0
0-AM408590.1-4347321:4347781,460,0.0,0.0,0
0-AM408590.1-582980:583275,295,0.0,0.0,0
0-AM408590.1-3062453:3062857,404,0.0,0.0,0
0-AM408590.1-341531:341842,311,0.0,0.0,0
0-AM408590.1-4002511:4002846,335,0.0,0.0,0
0-AM408590.1-95489:95712,223,0.0,0.0,0
0-AM408590.1-360148:360511,363,0.0,0.0,0
0-AM408590.1-3847191:3847481,290,0.0,0.0,0
0-AM408590.1-1885216:1885427,211,0.0,0.0,0
0-AM408590.1-3442878:3443233,355,0.0,0.0,0
0-AM408590.1-4251730:4252022,292,0.0,0.0,0
0-AM408590.1-3560588:3560840,252,0.0,0.0,0
0-AM408590.1-184383:184602,219,0.0,0.0,0
0-AM408590.1-2356190:2356416,226,0.0,0.0,0
0-AM408590.1-10761:11158,397,0.0,0.0,0
0-AM408590.1-373296:373586,290,0.0,0.0,0
0-AM408590.1-3611722:3612034,312,0.0,0.0,0
0-AM408590.1-1000408:1000833,425,0.0,0.0,0
0-AM408590.1-1808049:1808308,259,0.0,0.0,0
0-AM408590.1-3056247:3057574,1327,0.0,0.0,0
0-AM408590.1-231403:231686,283,0.0,0.0,0
0-AM408590.1-1001254:1001570,316,0.0,0.0,0
0-AM408590.1-3180521:3180772,251,0.0,0.0,0
0-AM408590.1-2143808:2144156,348,0.0,0.0,0
0-AM408590.1-2305643:2306086,443,0.0,0.0,0
0-AM408590.1-1158116:1158346,230,0.0,0.0,0
0-AM408590.1-343188:343413,225,0.0,0.0,0
0-AM408590.1-3062003:3062233,230,0.0,0.0,0
0-AM408590.1-2812742:2813027,285,0.0,0.0,0
0-AM408590.1-1032194:1032426,232,0.0,0.0,0
0-AM408590.1-3157591:3158006,415,0.0,0.0,0
0-AM408590.1-327053:327315,262,0.0,0.0,0
0-AM408590.1-3151554:3151918,364,0.0,0.0,0
0-AM408590.1-4010075:4010297,222,0.0,0.0,0
0-AM408590.1-3108919:3109198,279,0.0,0.0,0
0-AM408590.1-2730768:2732213,1445,0.0,0.0,0
0-AM408590.1-1271680:1272126,446,0.0,0.0,0
0-AM408590.1-2416686:2416939,253,0.0,0.0,0
0-AM408590.1-2033338:2033647,309,0.0,0.0,0
0-AM408590.1-3720447:3720677,230,0.0,0.0,0
0-AM408590.1-264690:264984,294,0.0,0.0,0
0-AM408590.1-2763721:2764184,463,0.0,0.0,0
0-AM408590.1-1080388:1080679,291,0.0,0.0,0
0-AM408590.1-825391:825649,258,0.0,0.0,0
0-AM408590.1-2571979:2572194,215,0.0,0.0,0
0-AM408590.1-1229997:1230375,378,0.0,0.0,0
0-AM408590.1-3978803:3979264,461,0.0,0.0,0
0-AM408590.1-1359948:1360205,257,0.0,0.0,0
0-AM408590.1-1875256:1875485,229,0.0,0.0,0
0-AM408590.1-3092308:3092602,294,0.0,0.0,0
0-AM408590.1-434820:435073,253,0.0,0.0,0
0-AM408590.1-1654662:1654945,283,0.0,0.0,0
0-AM408590.1-3832298:3832576,278,0.0,0.0,0
0-AM408590.1-3584485:3584814,329,0.0,0.0,0
0-AM408590.1-1870737:1870967,230,0.0,0.0,0
0-AM408590.1-240617:240863,246,0.0,0.0,0
0-AM408590.1-526586:526810,224,0.0,0.0,0
0-AM408590.1-335342:335587,245,0.0,0.0,0
0-AM408590.1-3615819:3616132,313,0.0,0.0,0
0-AM408590.1-880683:882078,1395,0.0,0.0,0
0-AM408590.1-1320892:1321176,284,0.0,0.0,0
0-AM408590.1-965256:965496,240,0.0,0.0,0
3-GG663497.1-1436290:1438137,1847,0.0,0.0,0
0-AM408590.1-2537674:2537941,267,0.0,0.0,0
0-AM408590.1-125971:126493,522,0.0,0.0,0
0-AM408590.1-3437515:3438409,894,0.0,0.0,0
0-AM408590.1-1049703:1049925,222,0.0,0.0,0
0-AM408590.1-3243995:3244572,577,0.0,0.0,0
0-AM408590.1-4349304:4349658,354,0.0,0.0,0
0-AM408590.1-3577417:3577647,230,0.0,0.0,0
0-AM408590.1-3833118:3833365,247,0.0,0.0,0
0-AM408590.1-3410503:3410778,275,0.0,0.0,0
0-AM408590.1-3407552:3407930,378,0.0,0.0,0
0-AM408590.1-3213896:3214269,373,0.0,0.0,0
0-AM408590.1-882084:882745,661,0.0,0.0,0
0-AM408590.1-2975870:2976102,232,0.0,0.0,0
0-AM408590.1-124368:124808,440,0.0,0.0,0
1-CP001662.1-3486936:3487573,637,0.0,0.0,0
0-AM408590.1-1269545:1269785,240,0.0,0.0,0
0-AM408590.1-1962965:1963198,233,0.0,0.0,0
0-AM408590.1-2325120:2326400,1280,0.0,0.0,0
0-AM408590.1-1474479:1474680,201,0.0,0.0,0
0-AM408590.1-4289711:4290000,289,0.0,0.0,0
0-AM408590.1-3060421:3061081,660,0.0,0.0,0
0-AM408590.1-1967816:1968293,477,0.0,0.0,0
0-AM408590.1-122292:122563,271,0.0,0.0,0
0-AM408590.1-1632272:1632603,331,0.0,0.0,0
0-AM408590.1-127153:127654,501,0.0,0.0,0
0-AM408590.1-3553668:3554055,387,0.0,0.0,0
0-AM408590.1-210239:210573,334,0.0,0.0,0
0-AM408590.1-1201476:1201918,442,0.0,0.0,0
0-AM408590.1-3786379:3788302,1923,0.0,0.0,0
0-AM408590.1-133201:133445,244,0.0,0.0,0
0-AM408590.1-132484:132990,506,0.0,0.0,0
0-AM408590.1-3055407:3055717,310,0.0,0.0,0
0-AM408590.1-257296:257577,281,0.0,0.0,0
3-GG663497.1-2506181:2509991,3810,0.0,0.0,0
0-AM408590.1-4345604:4345841,237,0.0,0.0,0
0-AM408590.1-879907:880531,624,0.0,0.0,0
0-AM408590.1-3065256:3065640,384,0.0,0.0,0
0-AM408590.1-3067422:3067854,432,0.0,0.0,0
0-AM408590.1-3554472:3554742,270,0.0,0.0,0
0-AM408590.1-394066:394361,295,0.0,0.0,0
1-CP001662.1-4370299:4373593,3294,0.0,0.0,0
0-AM408590.1-918515:918752,237,0.0,0.0,0
0-AM408590.1-3071546:3072580,1034,0.0,0.0,0
0-AM408590.1-998671:998910,239,0.0,0.0,0
0-AM408590.1-2764429:2764854,425,0.0,0.0,0
0-AM408590.1-2192419:2192931,512,0.0,0.0,0
0-AM408590.1-3066903:3067153,250,0.0,0.0,0
0-AM408590.1-3069099:3069595,496,0.0,0.0,0
0-AM408590.1-1195692:1195936,244,0.0,0.0,0
0-AM408590.1-3241671:3243752,2081,0.0,0.0,0
0-AM408590.1-3033010:3033242,232,0.0,0.0,0
0-AM408590.1-3149552:3150000,448,0.0,0.0,0
0-AM408590.1-3064520:3064871,351,0.0,0.0,0
0-AM408590.1-504788:505900,1112,0.0,0.0,0
0-AM408590.1-3866559:3867017,458,0.0,0.0,0
0-AM408590.1-4011976:4012221,245,0.0,0.0,0
0-AM408590.1-394620:397594,2974,0.0,0.0,0
0-AM408590.1-2211043:2212828,1785,0.0,0.0,0
0-AM408590.1-1003962:1004293,331,0.0,0.0,0
0-AM408590.1-1647247:1647554,307,0.0,0.0,0
0-AM408590.1-2657410:2657824,414,0.0,0.0,0
0-AM408590.1-2245327:2245976,649,0.0,0.0,0
