marker,length,identity,coverage,found
21-CTAO01000004.1-259446:259815,369,0.0,0.0,0
0-CAAX01002819.1-2395:2968,573,0.0,0.0,0
3-AHUN01000100.1-24193:24480,287,0.0,0.0,0
1-ALEJ01000016.1-231314:231939,625,0.0,0.0,0
1-ALEJ01000016.1-216081:216401,320,0.0,0.0,0
4-CARZ01000044.1-105986:106497,511,0.0,0.0,0
4-CARZ01000073.1-30964:31320,356,0.0,0.0,0
4-CARZ01000028.1-1984:2707,723,0.0,0.0,0
22-CTQJ01000004.1-161723:162588,865,92.5,15.4,0
9-JWRG01000006.1-211555:211999,444,0.0,0.0,0
4-CARZ01000028.1-760:1154,394,0.0,0.0,0
1-ALEJ01000016.1-219852:220235,383,0.0,0.0,0
1-ALEJ01000016.1-216530:217535,1005,0.0,0.0,0
1-ALEJ01000016.1-156696:156936,240,0.0,0.0,0
3-AHUN01000100.1-23801:24116,315,0.0,0.0,0
0-CAAX01000312.1-2780:4056,1276,0.0,0.0,0
11-CCLN01000001.1-2044935:2046546,1611,0.0,0.0,0
3-AHUN01000102.1-3647:4119,472,0.0,0.0,0
1-ALEJ01000016.1-220955:221610,655,0.0,0.0,0
1-ALEJ01000016.1-227901:228428,527,0.0,0.0,0
11-CCLN01000001.1-724951:725518,567,0.0,0.0,0
0-CAAX01000630.1-3935:4198,263,0.0,0.0,0
0-CAAX01001049.1-1141:1645,504,0.0,0.0,0
11-CCLN01000001.1-2874190:2874541,351,0.0,0.0,0
1-ALEJ01000016.1-215086:215559,473,0.0,0.0,0
2-ALFV01000013.1-210248:210466,218,0.0,0.0,0
2-ALFV01000033.1-64102:64720,618,0.0,0.0,0
1-ALEJ01000016.1-212080:212835,755,0.0,0.0,0
0-CAAX01002299.1-3320:3677,357,0.0,0.0,0
4-CARZ01000037.1-197134:197600,466,0.0,0.0,0
1-ALEJ01000016.1-226270:226617,347,0.0,0.0,0
6-APAA01000303.1-33885:34214,329,0.0,0.0,0
9-JWRG01000008.1-212849:213523,674,0.0,0.0,0
0-CAAX01000883.1-364:701,337,0.0,0.0,0
14-CITO01000005.1-232741:233403,662,0.0,0.0,0
9-JWRG01000008.1-209553:210339,786,0.0,0.0,0
0-CAAX01000366.1-6471:6791,320,0.0,0.0,0
3-AHUN01000149.1-4212:4471,259,0.0,0.0,0
0-CAAX01002844.1-6041:6268,227,0.0,0.0,0
2-ALFV01000016.1-61078:61304,226,0.0,0.0,0
5-AOZN01000013.1-51908:52501,593,0.0,0.0,0
1-ALEJ01000016.1-228669:229803,1134,0.0,0.0,0
0-CAAX01001257.1-1060:1798,738,0.0,0.0,0
4-CARZ01000044.1-106704:107096,392,0.0,0.0,0
0-CAAX01000673.1-5068:5889,821,0.0,0.0,0
2-ALFV01000024.1-30530:30784,254,0.0,0.0,0
3-AHUN01000149.1-5585:6165,580,0.0,0.0,0
1-ALEJ01000016.1-157167:157496,329,0.0,0.0,0
0-CAAX01002843.1-2643:3075,432,0.0,0.0,0
0-CAAX01000511.1-4012:4227,215,0.0,0.0,0
1-ALEJ01000029.1-41649:42040,391,0.0,0.0,0
0-CAAX01001231.1-564:923,359,0.0,0.0,0
7-APAF01000387.1-9521:9843,322,0.0,0.0,0
1-ALEJ01000028.1-117214:117536,322,0.0,0.0,0
0-CAAX01001044.1-2883:3932,1049,0.0,0.0,0
0-CAAX01000721.1-3356:3644,288,0.0,0.0,0
6-APAA01000088.1-34853:35583,730,0.0,0.0,0
2-ALFV01000024.1-957279:958037,758,0.0,0.0,0
0-CAAX01000274.1-2499:2881,382,0.0,0.0,0
0-CAAX01000435.1-1385:1636,251,0.0,0.0,0
1-ALEJ01000016.1-100128:100416,288,0.0,0.0,0
3-AHUN01000149.1-2965:3220,255,0.0,0.0,0
3-AHUN01000149.1-6677:7051,374,0.0,0.0,0
3-AHUN01000021.1-5269:5516,247,0.0,0.0,0
4-CARZ01000006.1-17566:18199,633,0.0,0.0,0
0-CAAX01002843.1-3207:3742,535,0.0,0.0,0
1-ALEJ01000016.1-211088:211714,626,0.0,0.0,0
0-CAAX01000685.1-4498:4847,349,0.0,0.0,0
0-CAAX01000559.1-560:815,255,0.0,0.0,0
16-CJDE01000003.1-136224:138025,1801,0.0,0.0,0
0-CAAX01000049.1-1624:1850,226,0.0,0.0,0
0-CAAX01000787.1-2206:2444,238,0.0,0.0,0
2-ALFV01000024.1-634337:635005,668,0.0,0.0,0
5-AOZN01000012.1-487027:487543,516,0.0,0.0,0
2-ALFV01000028.1-27215:27602,387,0.0,0.0,0
0-CAAX01000720.1-3653:3923,270,0.0,0.0,0
4-CARZ01000074.1-1993:2253,260,0.0,0.0,0
3-AHUN01000149.1-8116:9403,1287,0.0,0.0,0
0-CAAX01000677.1-1030:1351,321,0.0,0.0,0
9-JWRG01000012.1-246782:247046,264,0.0,0.0,0
0-CAAX01000511.1-1001:1308,307,0.0,0.0,0
3-AHUN01000080.1-16071:16987,916,0.0,0.0,0
2-ALFV01000028.1-66993:67240,247,0.0,0.0,0
1-ALEJ01000001.1-42779:43104,325,0.0,0.0,0
0-CAAX01000249.1-209:2812,2603,0.0,0.0,0
0-CAAX01000538.1-5238:5680,442,0.0,0.0,0
3-AHUN01000138.1-4715:5049,334,0.0,0.0,0
2-ALFV01000024.1-629727:630105,378,0.0,0.0,0
1-ALEJ01000029.1-57559:60740,3181,0.0,0.0,0
2-ALFV01000024.1-1115392:1116000,608,0.0,0.0,0
0-CAAX01000833.1-6059:6306,247,0.0,0.0,0
4-CARZ01000021.1-37005:37456,451,0.0,0.0,0
5-AOZN01000001.1-223293:223625,332,0.0,0.0,0
0-CAAX01001355.1-1246:1472,226,0.0,0.0,0
0-CAAX01000018.1-2364:2583,219,0.0,0.0,0
5-AOZN01000044.1-284237:284465,228,0.0,0.0,0
7-APAF01000259.1-5926:6417,491,0.0,0.0,0
0-CAAX01001465.1-386:1392,1006,0.0,0.0,0
0-CAAX01001389.1-4447:4809,362,0.0,0.0,0
2-ALFV01000024.1-947978:948202,224,0.0,0.0,0
2-ALFV01000024.1-750398:750845,447,0.0,0.0,0
0-CAAX01002935.1-196:549,353,0.0,0.0,0
4-CARZ01000055.1-17216:17584,368,0.0,0.0,0
9-JWRG01000001.1-393514:393854,340,0.0,0.0,0
2-ALFV01000013.1-14249:14618,369,0.0,0.0,0
2-ALFV01000024.1-1091709:1091960,251,0.0,0.0,0
1-ALEJ01000040.1-85822:86053,231,0.0,0.0,0
1-ALEJ01000016.1-103450:103671,221,0.0,0.0,0
0-CAAX01000499.1-3608:3874,266,0.0,0.0,0
2-ALFV01000013.1-106437:106670,233,0.0,0.0,0
6-APAA01000262.1-37325:37618,293,0.0,0.0,0
3-AHUN01000149.1-7279:7748,469,0.0,0.0,0
0-CAAX01000509.1-11205:11717,512,0.0,0.0,0
0-CAAX01000285.1-1703:2437,734,0.0,0.0,0
3-AHUN01000133.1-22557:23574,1017,0.0,0.0,0
3-AHUN01000006.1-4800:5070,270,0.0,0.0,0
1-ALEJ01000029.1-49543:49879,336,0.0,0.0,0
1-ALEJ01000005.1-104506:104826,320,0.0,0.0,0
1-ALEJ01000007.1-133678:134247,569,0.0,0.0,0
4-CARZ01000017.1-35344:35636,292,0.0,0.0,0
4-CARZ01000096.1-12888:13226,338,0.0,0.0,0
2-ALFV01000024.1-1108088:1108712,624,0.0,0.0,0
2-ALFV01000024.1-955717:956235,518,0.0,0.0,0
2-ALFV01000024.1-943866:944486,620,0.0,0.0,0
9-JWRG01000001.1-218036:218244,208,0.0,0.0,0
2-ALFV01000024.1-953067:953449,382,0.0,0.0,0
0-CAAX01000509.1-9706:9941,235,0.0,0.0,0
0-CAAX01000639.1-13372:13743,371,0.0,0.0,0
0-CAAX01003009.1-2966:3248,282,0.0,0.0,0
0-CAAX01000049.1-3376:3625,249,0.0,0.0,0
4-CARZ01000067.1-4889:5265,376,0.0,0.0,0
0-CAAX01001035.1-1969:2254,285,0.0,0.0,0
0-CAAX01000223.1-1557:1916,359,0.0,0.0,0
1-ALEJ01000019.1-24346:24800,454,0.0,0.0,0
1-ALEJ01000034.1-1010:1289,279,0.0,0.0,0
0-CAAX01000509.1-8662:8993,331,0.0,0.0,0
0-CAAX01000509.1-9186:9598,412,0.0,0.0,0
4-CARZ01000042.1-80529:80986,457,0.0,0.0,0
0-CAAX01000452.1-7062:7484,422,0.0,0.0,0
