signature_id,length,conservation,divergence,fraction_nontarget_hit,score
NC_007606.1_10,377,0.9973,0.0000,0.0000,0.9973
NC_007606.1_11,1075,0.8930,0.0000,0.0000,0.8930
NC_007606.1_19,749,0.9893,0.0000,0.0000,0.9893
NC_007606.1_20,174,1.0000,0.0000,0.0000,1.0000
NC_007606.1_22,355,0.9887,0.0000,0.0000,0.9887
NC_007606.1_55,1947,0.9635,0.0019,0.7241,0.9654
NC_007606.1_62,365,0.9973,0.0000,0.0000,0.9973
NC_007606.1_86,141,1.0000,0.0000,0.0000,1.0000
NC_007606.1_97,313,0.9904,0.0000,0.0000,0.9904
NC_007606.1_145,127,0.9764,0.0858,1.0000,1.0622
NC_007606.1_167,862,0.9962,0.0000,0.0000,0.9962
NC_007606.1_181,169,0.9941,0.0000,0.0000,0.9941
NC_007606.1_184,224,0.9464,0.0000,0.0000,0.9464
NC_007606.1_196,1547,0.9929,0.0000,0.0000,0.9929
NC_007606.1_197,1273,0.9874,0.0066,0.9310,0.9940
NC_007606.1_198,554,0.8917,0.0000,0.0000,0.8917
NC_007606.1_199,3505,0.6097,0.0000,0.0000,0.6097
NC_007606.1_200,2108,0.8349,0.0000,0.0000,0.8349
