marker,length,identity,coverage,found
0-NC_002655.2-3251076:3251523,447,0.0,0.0,0
1-NC_002695.1-1856139:1856730,591,0.0,0.0,0
0-NC_002655.2-3249342:3249641,299,0.0,0.0,0
0-NC_002655.2-4856623:4856825,202,0.0,0.0,0
1-NC_002695.1-2144739:2145117,378,0.0,0.0,0
0-NC_002655.2-3139360:3139918,558,0.0,0.0,0
0-NC_002655.2-2949438:2949965,527,0.0,0.0,0
0-NC_002655.2-3158115:3158419,304,0.0,0.0,0
0-NC_002655.2-3057935:3058240,305,0.0,0.0,0
0-NC_002655.2-3260235:3260645,410,0.0,0.0,0
1-NC_002695.1-2066066:2066734,668,0.0,0.0,0
0-NC_002655.2-3140349:3141074,725,0.0,0.0,0
0-NC_002655.2-3259655:3260008,353,0.0,0.0,0
0-NC_002655.2-4346349:4347077,728,0.0,0.0,0
0-NC_002655.2-5209417:5209634,217,0.0,0.0,0
0-NC_002655.2-1305943:1306298,355,0.0,0.0,0
0-NC_002655.2-3137341:3137573,232,0.0,0.0,0
0-NC_002655.2-5133804:5134364,560,0.0,0.0,0
0-NC_002655.2-1608560:1608870,310,0.0,0.0,0
1-NC_002695.1-1893894:1894104,210,0.0,0.0,0
0-NC_002655.2-3059103:3059452,349,0.0,0.0,0
0-NC_002655.2-1313789:1314103,314,0.0,0.0,0
0-NC_002655.2-2104484:2105952,1468,0.0,0.0,0
0-NC_002655.2-1215643:1216127,484,0.0,0.0,0
0-NC_002655.2-3059508:3059861,353,0.0,0.0,0
0-NC_002655.2-1037285:1037641,356,0.0,0.0,0
0-NC_002655.2-3946522:3946775,253,0.0,0.0,0
0-NC_002655.2-4449809:4450123,314,0.0,0.0,0
0-NC_002655.2-5362811:5363111,300,0.0,0.0,0
1-NC_002695.1-1857933:1858366,433,0.0,0.0,0
0-NC_002655.2-4255888:4256710,822,0.0,0.0,0
0-NC_002655.2-3333308:3333659,351,0.0,0.0,0
0-NC_002655.2-4458775:4459049,274,0.0,0.0,0
0-NC_002655.2-5120413:5120739,326,0.0,0.0,0
0-NC_002655.2-936565:936787,222,0.0,0.0,0
0-NC_002655.2-3252127:3252499,372,0.0,0.0,0
0-NC_002655.2-64261:64629,368,0.0,0.0,0
0-NC_002655.2-4774209:4774620,411,0.0,0.0,0
0-NC_002655.2-3856923:3857194,271,0.0,0.0,0
0-NC_002655.2-36536:36896,360,0.0,0.0,0
0-NC_002655.2-3421469:3421813,344,0.0,0.0,0
