marker,length,identity,coverage,found
0-NC_009800.1-1834564:1834804,240,0.0,0.0,0
1-NC_010468.1-838343:838885,542,0.0,0.0,0
0-NC_009800.1-3779482:3779799,317,0.0,0.0,0
0-NC_009800.1-3103212:3103442,230,0.0,0.0,0
0-NC_009800.1-1857026:1857383,357,0.0,0.0,0
1-NC_010468.1-1554405:1554781,376,0.0,0.0,0
1-NC_010468.1-1552844:1553222,378,0.0,0.0,0
0-NC_009800.1-2971469:2971713,244,0.0,0.0,0
1-NC_010468.1-3235017:3235617,600,0.0,0.0,0
1-NC_010468.1-2907703:2907927,224,0.0,0.0,0
3-NC_012947.1-3060794:3061030,236,0.0,0.0,0
0-NC_009800.1-4152918:4153339,421,0.0,0.0,0
0-NC_009800.1-1855676:1856283,607,0.0,0.0,0
0-NC_009800.1-3226436:3226730,294,0.0,0.0,0
0-NC_009800.1-3693100:3694176,1076,0.0,0.0,0
1-NC_010468.1-2704968:2706769,1801,0.0,0.0,0
2-NC_012759.1-3351855:3353153,1298,0.0,0.0,0
0-NC_009800.1-1430524:1430760,236,0.0,0.0,0
0-NC_009800.1-3317609:3317849,240,0.0,0.0,0
0-NC_009800.1-1882601:1882876,275,0.0,0.0,0
1-NC_010468.1-3260138:3260375,237,0.0,0.0,0
0-NC_009800.1-3777635:3778100,465,0.0,0.0,0
0-NC_009800.1-554379:554946,567,0.0,0.0,0
0-NC_009800.1-3986836:3987132,296,0.0,0.0,0
1-NC_010468.1-4554491:4555162,671,0.0,0.0,0
0-NC_009800.1-858254:858493,239,0.0,0.0,0
1-NC_010468.1-3133813:3134041,228,0.0,0.0,0
1-NC_010468.1-3901709:3902080,371,0.0,0.0,0
0-NC_009800.1-1090906:1091124,218,0.0,0.0,0
0-NC_009800.1-2826309:2826599,290,0.0,0.0,0
0-NC_009800.1-4121798:4122113,315,0.0,0.0,0
0-NC_009800.1-2367636:2367884,248,0.0,0.0,0
0-NC_009800.1-3984726:3985020,294,0.0,0.0,0
0-NC_009800.1-1498880:1499103,223,0.0,0.0,0
0-NC_009800.1-1163923:1164173,250,0.0,0.0,0
0-NC_009800.1-1026565:1026972,407,0.0,0.0,0
1-NC_010468.1-893431:893774,343,0.0,0.0,0
0-NC_009800.1-3777349:3777619,270,0.0,0.0,0
0-NC_009800.1-1269967:1270290,323,0.0,0.0,0
0-NC_009800.1-1456147:1456376,229,0.0,0.0,0
1-NC_010468.1-1607897:1608150,253,0.0,0.0,0
0-NC_009800.1-1841657:1841965,308,0.0,0.0,0
1-NC_010468.1-1725500:1725810,310,0.0,0.0,0
0-NC_009800.1-3881284:3881610,326,0.0,0.0,0
2-NC_012759.1-3076487:3076970,483,0.0,0.0,0
1-NC_010468.1-4551355:4551656,301,0.0,0.0,0
0-NC_009800.1-2597942:2598216,274,0.0,0.0,0
0-NC_009800.1-3363245:3363512,267,0.0,0.0,0
0-NC_009800.1-2534343:2534653,310,0.0,0.0,0
0-NC_009800.1-4154098:4154376,278,0.0,0.0,0
0-NC_009800.1-4121301:4121696,395,0.0,0.0,0
1-NC_010468.1-1264861:1265074,213,0.0,0.0,0
1-NC_010468.1-1329488:1329771,283,0.0,0.0,0
0-NC_009800.1-1122120:1122430,310,0.0,0.0,0
0-NC_009800.1-3703278:3703594,316,0.0,0.0,0
0-NC_009800.1-3245775:3246070,295,0.0,0.0,0
1-NC_010468.1-1666385:1666665,280,0.0,0.0,0
0-NC_009800.1-3784716:3784949,233,0.0,0.0,0
0-NC_009800.1-4105215:4105447,232,0.0,0.0,0
1-NC_010468.1-523914:524370,456,0.0,0.0,0
0-NC_009800.1-1752090:1752328,238,0.0,0.0,0
1-NC_010468.1-2901712:2901973,261,0.0,0.0,0
0-NC_009800.1-273651:273934,283,0.0,0.0,0
0-NC_009800.1-1609036:1609437,401,0.0,0.0,0
0-NC_009800.1-4017003:4017336,333,0.0,0.0,0
0-NC_009800.1-1422448:1422693,245,0.0,0.0,0
1-NC_010468.1-456551:456825,274,0.0,0.0,0
0-NC_009800.1-3598502:3598863,361,0.0,0.0,0
0-NC_009800.1-1702477:1702762,285,0.0,0.0,0
0-NC_009800.1-1630559:1630920,361,0.0,0.0,0
1-NC_010468.1-2929632:2929884,252,0.0,0.0,0
0-NC_009800.1-2366996:2367233,237,0.0,0.0,0
1-NC_010468.1-1537006:1537464,458,0.0,0.0,0
