signature_id,length,conservation,divergence,fraction_nontarget_hit,score
1-NC_011415.1-2729146:2730084,938,0.9984,0.1723,1.0000,1.1707
2-NC_013364.1-3029654:3030713,1059,0.9953,0.1548,1.0000,1.1500
1-NC_011415.1-2708129:2708405,276,0.9840,0.1625,1.0000,1.1464
1-NC_011415.1-2007980:2008266,286,0.9898,0.1209,1.0000,1.1107
1-NC_011415.1-2587516:2587821,305,0.9916,0.1149,1.0000,1.1065
1-NC_011415.1-3457017:3457223,206,0.9972,0.0956,1.0000,1.0928
1-NC_011415.1-1722169:1722403,234,0.9695,0.1197,1.0000,1.0891
1-NC_011415.1-150946:151361,415,0.9571,0.1239,0.7895,1.0810
1-NC_011415.1-99499:99887,388,0.9893,0.0899,1.0000,1.0793
1-NC_011415.1-804218:804631,413,0.9460,0.1230,1.0000,1.0690
1-NC_011415.1-99183:99422,239,0.9848,0.0793,1.0000,1.0640
1-NC_011415.1-3804081:3804367,286,0.9943,0.0670,1.0000,1.0612
0-NC_004741.1-2436454:2436683,229,0.9875,0.0673,1.0000,1.0549
1-NC_011415.1-835036:835806,770,0.9522,0.1021,1.0000,1.0543
1-NC_011415.1-4208964:4209245,281,0.9985,0.0553,1.0000,1.0537
1-NC_011415.1-157799:158953,1154,0.9492,0.1029,1.0000,1.0521
1-NC_011415.1-1722627:1723031,404,0.9463,0.1053,0.6842,1.0515
0-NC_004741.1-921664:922050,386,0.9913,0.0596,0.8947,1.0509
0-NC_004741.1-992524:992769,245,0.9994,0.0427,0.6316,1.0422
1-NC_011415.1-831694:831971,277,0.9278,0.0777,0.6842,1.0055
1-NC_011415.1-982824:983119,295,0.9956,0.0491,1.0000,1.0447
1-NC_011415.1-834273:834617,344,0.9691,0.0748,0.6316,1.0439
1-NC_011415.1-1723175:1723639,464,0.9373,0.1055,0.6842,1.0428
2-NC_013364.1-3915964:3916181,217,0.9974,0.0444,1.0000,1.0418
1-NC_011415.1-4023571:4024651,1080,0.9672,0.0714,0.8947,1.0386
0-NC_004741.1-4077315:4077799,484,0.9996,0.0390,1.0000,1.0386
1-NC_011415.1-3806807:3807143,336,0.9926,0.0453,0.9474,1.0378
2-NC_013364.1-3893258:3893664,406,0.9952,0.0423,1.0000,1.0375
1-NC_011415.1-695585:695853,268,0.9923,0.0440,1.0000,1.0363
1-NC_011415.1-1721148:1721441,293,0.9191,0.1171,1.0000,1.0362
2-NC_013364.1-4219333:4219770,437,0.9256,0.1079,0.8421,1.0335
0-NC_004741.1-3295604:3295838,234,1.0000,0.0333,1.0000,1.0333
1-NC_011415.1-2961743:2961994,251,0.9974,0.0356,1.0000,1.0331
0-NC_004741.1-3212093:3212318,225,0.9997,0.0327,1.0000,1.0324
1-NC_011415.1-944923:945159,236,0.9976,0.0341,1.0000,1.0317
1-NC_011415.1-782966:783258,292,0.9963,0.0351,1.0000,1.0315
1-NC_011415.1-911369:911802,433,0.9969,0.0340,1.0000,1.0309
1-NC_011415.1-2735121:2735346,225,0.9971,0.0323,1.0000,1.0294
1-NC_011415.1-1040663:1040905,242,0.9968,0.0318,1.0000,1.0285
0-NC_004741.1-76859:77091,232,0.9957,0.0322,1.0000,1.0279
1-NC_011415.1-3760084:3760306,222,0.9862,0.0396,0.8421,1.0258
1-NC_011415.1-1851221:1851439,218,0.9971,0.0295,1.0000,1.0265
1-NC_011415.1-431543:431893,350,0.9963,0.0292,1.0000,1.0255
1-NC_011415.1-3466210:3466516,306,0.9956,0.0279,1.0000,1.0234
