marker,length,identity,coverage,found
APAF01000024.1_13,117,0.0,0.0,0
APAF01000024.1_14,156,93.6,100.0,0
APAF01000036.1_31,896,96.8,100.0,1
APAF01000048.1_52,182,0.0,0.0,0
APAF01000048.1_56,133,92.5,100.0,0
APAF01000049.1_71,363,0.0,0.0,0
APAF01000049.1_72,238,0.0,0.0,0
APAF01000049.1_73,306,0.0,0.0,0
APAF01000049.1_74,212,0.0,0.0,0
APAF01000049.1_75,909,93.8,48.2,0
APAF01000049.1_76,700,95.9,100.0,1
APAF01000049.1_77,841,96.2,100.0,1
APAF01000049.1_78,249,92.3,99.2,0
APAF01000049.1_79,964,93.5,67.2,0
APAF01000049.1_80,122,0.0,0.0,0
APAF01000111.1_163,119,86.6,100.0,0
APAF01000111.1_164,144,96.5,100.0,1
APAF01000111.1_165,335,90.7,100.0,0
APAF01000111.1_166,2066,95.2,75.1,0
APAF01000153.1_224,163,0.0,0.0,0
APAF01000165.1_251,1181,93.6,15.9,0
APAF01000165.1_252,125,0.0,0.0,0
APAF01000165.1_253,128,0.0,0.0,0
APAF01000165.1_254,120,0.0,0.0,0
APAF01000165.1_255,152,0.0,0.0,0
APAF01000165.1_256,303,0.0,0.0,0
APAF01000165.1_257,347,0.0,0.0,0
APAF01000178.1_261,907,0.0,0.0,0
APAF01000192.1_309,136,0.0,0.0,0
APAF01000192.1_310,155,0.0,0.0,0
APAF01000192.1_311,423,0.0,0.0,0
APAF01000217.1_369,250,0.0,0.0,0
APAF01000223.1_373,1028,95.7,100.0,1
APAF01000223.1_374,151,96.7,100.0,1
APAF01000223.1_375,248,94.0,100.0,0
APAF01000223.1_378,287,95.8,100.0,1
APAF01000223.1_379,314,0.0,0.0,0
APAF01000223.1_380,262,92.1,43.5,0
APAF01000223.1_381,223,91.9,100.0,0
APAF01000259.1_428,116,0.0,0.0,0
APAF01000259.1_429,335,90.0,74.6,0
APAF01000259.1_430,112,99.1,100.0,1
APAF01000259.1_432,129,0.0,0.0,0
APAF01000259.1_433,175,0.0,0.0,0
APAF01000259.1_434,140,0.0,0.0,0
APAF01000259.1_435,403,0.0,0.0,0
APAF01000259.1_436,169,0.0,0.0,0
APAF01000259.1_437,278,0.0,0.0,0
APAF01000259.1_438,291,96.6,100.0,1
APAF01000259.1_441,265,0.0,0.0,0
APAF01000279.1_472,198,0.0,0.0,0
APAF01000279.1_473,348,91.1,100.0,0
APAF01000280.1_482,334,0.0,0.0,0
APAF01000280.1_483,300,93.5,35.7,0
APAF01000298.1_504,120,0.0,0.0,0
APAF01000314.1_533,859,94.8,100.0,0
APAF01000328.1_549,148,0.0,0.0,0
APAF01000328.1_550,963,93.5,17.4,0
APAF01000328.1_551,218,94.9,99.1,0
APAF01000328.1_552,316,95.3,100.0,1
APAF01000328.1_553,404,94.6,100.0,0
APAF01000341.1_561,227,0.0,0.0,0
APAF01000341.1_562,315,0.0,0.0,0
APAF01000341.1_563,113,0.0,0.0,0
APAF01000341.1_564,177,0.0,0.0,0
APAF01000341.1_566,117,0.0,0.0,0
APAF01000341.1_567,196,0.0,0.0,0
APAF01000341.1_568,369,91.3,99.5,0
APAF01000349.1_595,150,0.0,0.0,0
APAF01000378.1_628,228,0.0,0.0,0
APAF01000378.1_629,126,0.0,0.0,0
APAF01000387.1_651,989,93.0,100.0,0
APAF01000387.1_652,987,97.0,54.6,0
APAF01000387.1_653,151,97.4,100.0,1
APAF01000387.1_654,377,95.0,63.9,0
APAF01000387.1_655,392,95.1,68.4,0
APAF01000403.1_668,168,0.0,0.0,0
APAF01000403.1_669,172,0.0,0.0,0
APAF01000403.1_670,112,0.0,0.0,0
