signature_id,length,conservation,divergence,fraction_nontarget_hit,score
1-NC_011750.1-342584:342820,236,1.0000,0.2281,1.0000,1.2281
0-NC_010498.1-2540375:2541901,1526,0.9984,0.2195,1.0000,1.2179
0-NC_010498.1-4152671:4152933,262,1.0000,0.2153,0.9677,1.2153
0-NC_010498.1-2430232:2431230,998,0.9980,0.2048,1.0000,1.2028
0-NC_010498.1-2542262:2545087,2825,0.9876,0.1916,1.0000,1.1792
0-NC_010498.1-2719620:2719820,200,1.0000,0.1590,1.0000,1.1590
1-NC_011750.1-4669112:4670549,1437,0.9955,0.1553,0.8387,1.1507
0-NC_010498.1-4366460:4366848,388,1.0000,0.1482,0.9677,1.1482
0-NC_010498.1-4367515:4367978,463,0.9989,0.1385,0.9677,1.1374
0-NC_010498.1-2200592:2201184,592,1.0000,0.1314,1.0000,1.1314
1-NC_011750.1-4432509:4434476,1967,0.9982,0.1246,0.9355,1.1228
0-NC_010498.1-638021:638695,674,1.0000,0.1214,0.9355,1.1214
0-NC_010498.1-718870:719289,419,1.0000,0.1179,1.0000,1.1179
0-NC_010498.1-2396008:2396254,246,1.0000,0.1150,1.0000,1.1150
0-NC_010498.1-1627519:1627782,263,0.9962,0.1090,1.0000,1.1052
0-NC_010498.1-4093359:4093593,234,1.0000,0.1024,1.0000,1.1024
1-NC_011750.1-4155515:4156121,606,0.9917,0.1077,0.8387,1.0995
0-NC_010498.1-719326:719943,617,0.9992,0.0977,0.8387,1.0969
0-NC_010498.1-566588:566833,245,1.0000,0.0853,0.9677,1.0853
0-NC_010498.1-637173:637469,296,0.9966,0.0987,1.0000,1.0954
1-NC_011750.1-2565283:2565611,328,0.9909,0.1027,1.0000,1.0935
0-NC_010498.1-5355:5654,299,0.9967,0.0920,1.0000,1.0887
0-NC_010498.1-3864083:3864551,468,0.9989,0.0891,0.9677,1.0880
0-NC_010498.1-296776:297534,758,0.9993,0.0848,1.0000,1.0841
0-NC_010498.1-1442421:1442816,395,1.0000,0.0828,0.9355,1.0828
0-NC_010498.1-788076:788322,246,1.0000,0.0818,0.9677,1.0818
1-NC_011750.1-1732912:1733361,449,0.9967,0.0853,0.9032,1.0819
