signature_id,length,conservation,divergence,fraction_nontarget_hit,score
0-NC_009800.1-1834564:1834804,240,0.9993,0.1644,0.9259,1.1637
1-NC_010468.1-838343:838885,542,1.0000,0.1132,1.0000,1.1132
0-NC_009800.1-3779482:3779799,317,0.9942,0.1018,1.0000,1.0960
0-NC_009800.1-3103212:3103442,230,0.9993,0.0966,1.0000,1.0959
0-NC_009800.1-1857026:1857383,357,1.0000,0.0831,1.0000,1.0831
1-NC_010468.1-1554405:1554781,376,0.9978,0.0837,1.0000,1.0815
1-NC_010468.1-1552844:1553222,378,0.9996,0.0813,1.0000,1.0809
0-NC_009800.1-2971469:2971713,244,0.9973,0.0795,1.0000,1.0768
1-NC_010468.1-3235017:3235617,600,0.8967,0.1792,1.0000,1.0759
1-NC_010468.1-2907703:2907927,224,0.9970,0.0693,0.7407,1.0663
3-NC_012947.1-3060794:3061030,236,0.8799,0.1861,1.0000,1.0661
0-NC_009800.1-4152918:4153339,421,1.0000,0.0604,1.0000,1.0604
0-NC_009800.1-1855676:1856283,607,0.9997,0.0596,1.0000,1.0593
0-NC_009800.1-3226436:3226730,294,1.0000,0.0552,1.0000,1.0552
0-NC_009800.1-3693100:3694176,1076,0.9998,0.0546,1.0000,1.0544
1-NC_010468.1-2704968:2706769,1801,0.9990,0.0550,0.8519,1.0540
2-NC_012759.1-3351855:3353153,1298,0.9947,0.0585,0.8889,1.0532
0-NC_009800.1-1430524:1430760,236,1.0000,0.0519,0.8889,1.0519
0-NC_009800.1-3317609:3317849,240,0.9993,0.0468,0.7778,1.0461
0-NC_009800.1-1882601:1882876,275,0.9994,0.0492,1.0000,1.0486
1-NC_010468.1-3260138:3260375,237,0.9993,0.0474,1.0000,1.0466
0-NC_009800.1-3777635:3778100,465,1.0000,0.0400,0.7407,1.0400
0-NC_009800.1-554379:554946,567,0.9994,0.0459,1.0000,1.0453
0-NC_009800.1-3986836:3987132,296,1.0000,0.0450,1.0000,1.0450
