fasta_header,length,conservation,f_tar_hits,divergence,f_neg_hits,avg_repeats_tar,avg_pident_tar,avg_repeats_neg,avg_pident_neg,rep_ratio,n_nodes
1-NC_011750.1-342584:342820,236,1.0,1.0,0.22813012575177694,1.0,2.5,0.46574858757062143,2.7419354838709675,0.35346273008930207,1.0,4
0-NC_010498.1-2540375:2541901,1526,0.9983617300131061,1.0,0.21950703927620177,1.0,6.0,0.18501529051987767,6.483870967741935,0.15610212369450097,0.5,14
0-NC_010498.1-4152671:4152933,262,1.0,1.0,0.2153410490027087,1.0,1.5,0.7662213740458015,2.096774193548387,0.3960026266108511,1.0,3
0-NC_010498.1-2430232:2431230,998,0.9979959919839679,1.0,0.20482901286443855,1.0,3.0,0.35136940547762185,2.129032258064516,0.3692384769539078,1.0,11
0-NC_010498.1-2542262:2545087,2825,0.9876106194690265,1.0,0.19157293748215815,1.0,5.0,0.20966371681415927,3.935483870967742,0.18306594347701968,0.5,27
0-NC_010498.1-2719620:2719820,200,1.0,1.0,0.15903225806451612,1.0,2.5,0.4770833333333333,2.903225806451613,0.4249523809523809,1.0,4
1-NC_011750.1-4669112:4670549,1437,0.9954766875434934,1.0,0.1553639975755943,1.0,5.5,0.19575504523312456,5.483870967741935,0.11071648032554492,0.5,12
0-NC_010498.1-4366460:4366848,388,1.0,1.0,0.14823744595942798,0.967741935483871,1.0,1.0,1.0666666666666667,0.769458762886598,1.0,4
0-NC_010498.1-4367515:4367978,463,0.9989200863930886,1.0,0.138507629067094,0.967741935483871,1.0,0.9989200863930886,1.0333333333333334,0.8257019438444925,1.0,7
0-NC_010498.1-2200592:2201184,592,1.0,1.0,0.13137532693984308,1.0,7.5,0.43688163610038605,7.258064516129032,0.4526506777514842,1.0,7
1-NC_011750.1-4432509:4434476,1967,0.998220640569395,1.0,0.12462075864670286,1.0,6.0,0.2851623211562205,3.3870967741935485,0.17422170107854876,0.5,22
0-NC_010498.1-638021:638695,674,1.0,1.0,0.12166172106824925,0.967741935483871,4.0,0.2958456973293769,3.2,0.2794906033630069,1.0,8
0-NC_010498.1-718870:719289,419,1.0,1.0,0.11786896604819462,1.0,5.0,0.35656324582338894,4.193548387096774,0.36139810608976825,1.0,4
0-NC_010498.1-2396008:2396254,246,1.0,1.0,0.11500131130343562,1.0,6.5,0.5089430894308943,5.193548387096774,0.565866147140734,1.0,4
0-NC_010498.1-1627519:1627782,263,0.9961977186311787,1.0,0.10903961731877837,1.0,7.0,0.3451928299837045,6.741935483870968,0.33820670212489184,0.5,4
0-NC_010498.1-4093359:4093593,234,1.0,1.0,0.1024262475875379,1.0,3.0,0.6103988603988603,3.5483870967741935,0.4327037956070213,1.0,3
1-NC_011750.1-4155515:4156121,606,0.9917491749174917,1.0,0.10773980623868838,0.8387096774193549,1.0,0.9917491749174917,2.0,0.5349073368875348,0.5,6
0-NC_010498.1-719326:719943,617,0.9991896272285251,1.0,0.09776755371987243,0.8709677419354839,2.0,0.5141815235008104,1.962962962962963,0.4121195750045021,1.0,7
0-NC_010498.1-566588:566833,245,1.0,1.0,0.09585253456221199,1.0,2.5,0.6870748299319727,2.6774193548387095,0.5954421768707483,1.0,3
0-NC_010498.1-637173:637469,296,0.9966216216216216,1.0,0.09873583260680036,1.0,3.0,0.4624155405405405,2.096774193548387,0.504032258064516,1.0,3
1-NC_011750.1-2565283:2565611,328,0.9908536585365854,1.0,0.1026750590086546,1.0,1.0,0.9908536585365854,1.096774193548387,0.8535601888276947,0.5,5
0-NC_010498.1-5355:5654,299,0.9966555183946488,1.0,0.0920271873988564,1.0,3.5,0.37736900780379046,4.870967741935484,0.27066925594274815,1.0,3
0-NC_010498.1-3864083:3864551,468,0.9989316239316239,1.0,0.08905431486076647,0.967741935483871,1.5,0.7601495726495726,1.6333333333333333,0.6357193732193732,1.0,5
0-NC_010498.1-296776:297534,758,0.9993403693931399,1.0,0.08477317218486681,1.0,3.0,0.3548812664907652,2.3870967741935485,0.37912446449343207,1.0,6
0-NC_010498.1-1442421:1442816,395,1.0,1.0,0.08362596978358514,1.0,2.5,0.4542194092827005,2.193548387096774,0.41652375119096235,1.0,5
0-NC_010498.1-788076:788322,246,1.0,1.0,0.08208759506949909,1.0,2.5,0.46680216802168023,6.838709677419355,0.280228704014977,1.0,3
