signature_id,length,conservation,divergence,fraction_nontarget_hit,score
NC_011750.1_57,1385,0.6845,0.0000,0.0000,0.6845
NC_011750.1_77,4185,0.7830,0.0000,0.0000,0.7830
NC_011750.1_81,705,0.1433,0.0000,0.0000,0.1433
NC_011750.1_93,259,0.9691,0.0000,0.0000,0.9691
NC_011750.1_94,521,0.9942,0.0000,0.0000,0.9942
NC_011750.1_95,107,0.9533,0.0000,0.0000,0.9533
NC_011750.1_108,396,1.0000,0.0000,0.0000,1.0000
NC_011750.1_139,1415,0.6678,0.0010,0.7419,0.6689
NC_011750.1_148,149,1.0000,0.0000,0.0000,1.0000
NC_011750.1_149,3556,0.9947,0.0000,0.0000,0.9947
NC_011750.1_155,1291,0.9923,0.0000,0.0000,0.9923
NC_011750.1_175,168,0.9762,0.0000,0.0000,0.9762
NC_011750.1_176,2346,0.1543,0.0000,0.0000,0.1543
NC_011750.1_177,3062,0.0382,0.0000,0.0000,0.0382
NC_011750.1_289,393,0.9924,0.0000,0.0000,0.9924
NC_011750.1_341,779,0.8986,0.0000,0.0000,0.8986
NC_011750.1_345,498,0.9980,0.0097,0.0645,1.0077
NC_011750.1_357,255,1.0000,0.0000,0.0000,1.0000
