marker,length,identity,coverage,found
1-NC_011415.1-2729146:2730084,938,0.0,0.0,0
2-NC_013364.1-3029654:3030713,1059,0.0,0.0,0
1-NC_011415.1-2708129:2708405,276,0.0,0.0,0
1-NC_011415.1-2007980:2008266,286,0.0,0.0,0
1-NC_011415.1-2587516:2587821,305,0.0,0.0,0
1-NC_011415.1-3457017:3457223,206,0.0,0.0,0
1-NC_011415.1-1722169:1722403,234,0.0,0.0,0
1-NC_011415.1-150946:151361,415,0.0,0.0,0
1-NC_011415.1-99499:99887,388,0.0,0.0,0
1-NC_011415.1-804218:804631,413,0.0,0.0,0
1-NC_011415.1-99183:99422,239,0.0,0.0,0
1-NC_011415.1-3804081:3804367,286,0.0,0.0,0
0-NC_004741.1-2436454:2436683,229,0.0,0.0,0
1-NC_011415.1-835036:835806,770,0.0,0.0,0
1-NC_011415.1-4208964:4209245,281,0.0,0.0,0
1-NC_011415.1-157799:158953,1154,0.0,0.0,0
1-NC_011415.1-1722627:1723031,404,0.0,0.0,0
0-NC_004741.1-921664:922050,386,0.0,0.0,0
0-NC_004741.1-992524:992769,245,0.0,0.0,0
1-NC_011415.1-831694:831971,277,0.0,0.0,0
1-NC_011415.1-982824:983119,295,0.0,0.0,0
1-NC_011415.1-834273:834617,344,0.0,0.0,0
1-NC_011415.1-1723175:1723639,464,0.0,0.0,0
2-NC_013364.1-3915964:3916181,217,0.0,0.0,0
1-NC_011415.1-4023571:4024651,1080,0.0,0.0,0
0-NC_004741.1-4077315:4077799,484,0.0,0.0,0
1-NC_011415.1-3806807:3807143,336,0.0,0.0,0
2-NC_013364.1-3893258:3893664,406,0.0,0.0,0
1-NC_011415.1-695585:695853,268,0.0,0.0,0
1-NC_011415.1-1721148:1721441,293,0.0,0.0,0
2-NC_013364.1-4219333:4219770,437,0.0,0.0,0
0-NC_004741.1-3295604:3295838,234,0.0,0.0,0
1-NC_011415.1-2961743:2961994,251,0.0,0.0,0
0-NC_004741.1-3212093:3212318,225,0.0,0.0,0
1-NC_011415.1-944923:945159,236,0.0,0.0,0
1-NC_011415.1-782966:783258,292,0.0,0.0,0
1-NC_011415.1-911369:911802,433,0.0,0.0,0
1-NC_011415.1-2735121:2735346,225,0.0,0.0,0
1-NC_011415.1-1040663:1040905,242,0.0,0.0,0
0-NC_004741.1-76859:77091,232,0.0,0.0,0
1-NC_011415.1-3760084:3760306,222,0.0,0.0,0
1-NC_011415.1-1851221:1851439,218,0.0,0.0,0
1-NC_011415.1-431543:431893,350,0.0,0.0,0
1-NC_011415.1-3466210:3466516,306,0.0,0.0,0
0-NC_004741.1-1079044:1079299,255,0.0,0.0,0
1-NC_011415.1-3684563:3685017,454,0.0,0.0,0
0-NC_004741.1-444948:445206,258,0.0,0.0,0
1-NC_011415.1-278512:278751,239,0.0,0.0,0
1-NC_011415.1-3096162:3096369,207,0.0,0.0,0
0-NC_004741.1-161230:161510,280,0.0,0.0,0
1-NC_011415.1-694141:694595,454,0.0,0.0,0
1-NC_011415.1-2422193:2422544,351,0.0,0.0,0
1-NC_011415.1-2751932:2752159,227,0.0,0.0,0
1-NC_011415.1-285310:285754,444,0.0,0.0,0
1-NC_011415.1-3508975:3511285,2310,0.0,0.0,0
1-NC_011415.1-1081685:1082472,787,0.0,0.0,0
1-NC_011415.1-1399644:1399856,212,0.0,0.0,0
1-NC_011415.1-2730950:2731454,504,0.0,0.0,0
0-NC_004741.1-397785:398027,242,0.0,0.0,0
1-NC_011415.1-4723318:4723582,264,0.0,0.0,0
1-NC_011415.1-2478249:2478506,257,0.0,0.0,0
1-NC_011415.1-3455896:3456171,275,0.0,0.0,0
1-NC_011415.1-1414633:1414878,245,0.0,0.0,0
2-NC_013364.1-3959342:3959542,200,0.0,0.0,0
1-NC_011415.1-1014609:1014880,271,0.0,0.0,0
1-NC_011415.1-726979:727675,696,0.0,0.0,0
0-NC_004741.1-211059:211326,267,0.0,0.0,0
0-NC_004741.1-186631:186874,243,0.0,0.0,0
1-NC_011415.1-4022294:4022616,322,0.0,0.0,0
2-NC_013364.1-154894:155314,420,0.0,0.0,0
1-NC_011415.1-152803:153280,477,0.0,0.0,0
0-NC_004741.1-1740630:1740954,324,0.0,0.0,0
1-NC_011415.1-151699:152321,622,0.0,0.0,0
1-NC_011415.1-1982328:1982547,219,0.0,0.0,0
1-NC_011415.1-3896626:3897248,622,0.0,0.0,0
1-NC_011415.1-2744741:2745269,528,0.0,0.0,0
1-NC_011415.1-3124345:3125048,703,0.0,0.0,0
1-NC_011415.1-3449090:3450364,1274,0.0,0.0,0
2-NC_013364.1-4221436:4221791,355,0.0,0.0,0
0-NC_004741.1-2458650:2458928,278,0.0,0.0,0
1-NC_011415.1-489844:490538,694,0.0,0.0,0
2-NC_013364.1-4581846:4584405,2559,0.0,0.0,0
1-NC_011415.1-4262627:4262925,298,0.0,0.0,0
1-NC_011415.1-3451661:3454569,2908,0.0,0.0,0
1-NC_011415.1-4248462:4249065,603,0.0,0.0,0
1-NC_011415.1-3450907:3451148,241,0.0,0.0,0
