marker,length,identity,coverage,found
1-NC_011750.1-342584:342820,236,0.0,0.0,0
0-NC_010498.1-2540375:2541901,1526,0.0,0.0,0
0-NC_010498.1-4152671:4152933,262,0.0,0.0,0
0-NC_010498.1-2430232:2431230,998,0.0,0.0,0
0-NC_010498.1-2542262:2545087,2825,0.0,0.0,0
0-NC_010498.1-2719620:2719820,200,0.0,0.0,0
1-NC_011750.1-4669112:4670549,1437,99.8,34.7,0
0-NC_010498.1-4366460:4366848,388,0.0,0.0,0
0-NC_010498.1-4367515:4367978,463,0.0,0.0,0
0-NC_010498.1-2200592:2201184,592,0.0,0.0,0
1-NC_011750.1-4432509:4434476,1967,0.0,0.0,0
0-NC_010498.1-638021:638695,674,0.0,0.0,0
0-NC_010498.1-718870:719289,419,0.0,0.0,0
0-NC_010498.1-2396008:2396254,246,0.0,0.0,0
0-NC_010498.1-1627519:1627782,263,0.0,0.0,0
0-NC_010498.1-4093359:4093593,234,0.0,0.0,0
1-NC_011750.1-4155515:4156121,606,0.0,0.0,0
0-NC_010498.1-719326:719943,617,0.0,0.0,0
0-NC_010498.1-566588:566833,245,0.0,0.0,0
0-NC_010498.1-637173:637469,296,0.0,0.0,0
1-NC_011750.1-2565283:2565611,328,0.0,0.0,0
0-NC_010498.1-5355:5654,299,0.0,0.0,0
0-NC_010498.1-3864083:3864551,468,0.0,0.0,0
0-NC_010498.1-296776:297534,758,0.0,0.0,0
0-NC_010498.1-1442421:1442816,395,0.0,0.0,0
0-NC_010498.1-788076:788322,246,0.0,0.0,0
1-NC_011750.1-1732912:1733361,449,0.0,0.0,0
0-NC_010498.1-2431594:2431882,288,0.0,0.0,0
0-NC_010498.1-2970913:2971256,343,0.0,0.0,0
1-NC_011750.1-4509846:4511230,1384,0.0,0.0,0
0-NC_010498.1-750198:752037,1839,0.0,0.0,0
0-NC_010498.1-2131440:2132011,571,0.0,0.0,0
0-NC_010498.1-887298:887600,302,0.0,0.0,0
0-NC_010498.1-2183671:2186088,2417,0.0,0.0,0
0-NC_010498.1-1827038:1828037,999,0.0,0.0,0
0-NC_010498.1-1055226:1055488,262,0.0,0.0,0
