signature_id,length,conservation,divergence,fraction_nontarget_hit,score
0-AE006468.2-4065624:4066076,452,0.9841,0.3029,1.0000,1.2870
12-AMEH02000125.1-16369:16806,437,0.9928,0.2745,1.0000,1.2673
8-ALEJ01000020.1-87477:87764,287,0.9885,0.2578,1.0000,1.2464
15-ALGC01000032.1-73987:74700,713,0.9870,0.2354,1.0000,1.2224
1-CAAX01002819.1-2395:2968,573,0.9868,0.2344,1.0000,1.2212
1-CAAX01000559.1-59:374,315,0.9884,0.2292,1.0000,1.2176
13-AMEC02000025.1-116529:116775,246,0.9911,0.2216,1.0000,1.2127
1-CAAX01001049.1-1265:1645,380,0.9957,0.2080,1.0000,1.2037
2-CAAZ01000339.1-72744:73127,383,0.9920,0.2038,0.9524,1.1958
1-CAAX01000312.1-1938:2141,203,0.9949,0.1968,1.0000,1.1917
0-AE006468.2-4479576:4480201,625,0.9889,0.1986,0.9524,1.1875
12-AMEH02000095.1-4599:4958,359,0.9694,0.2171,0.7619,1.1865
12-AMEH02000055.1-11081:11356,275,0.9812,0.2035,1.0000,1.1846
1-CAAX01000172.1-63:538,475,0.9746,0.2043,0.9524,1.1789
1-CAAX01001021.1-1578:1832,254,0.9956,0.1854,1.0000,1.1811
3-AESO01000060.1-60643:61066,423,0.9643,0.2155,1.0000,1.1798
1-CAAX01000312.1-2780:3452,672,0.9899,0.1896,1.0000,1.1795
2-CAAZ01000349.1-5273:5840,567,0.9892,0.1896,1.0000,1.1788
9-ALFB01000027.1-3662:4134,472,0.9822,0.1959,1.0000,1.1781
1-CAAX01001526.1-603:1005,402,0.9924,0.1791,1.0000,1.1715
9-ALFB01000027.1-98395:99232,837,0.9776,0.1936,1.0000,1.1712
8-ALEJ01000019.1-217499:217720,221,0.9761,0.1950,1.0000,1.1711
0-AE006468.2-3086981:3087298,317,0.9814,0.1879,1.0000,1.1694
2-CAAZ01000339.1-9638:9878,240,0.9833,0.1843,1.0000,1.1676
40-AOYS01000057.1-3851:4578,727,0.9882,0.1769,0.9524,1.1650
22-CATN01000024.1-760:1154,394,0.9905,0.1708,0.9524,1.1613
1-CAAX01000630.1-4085:4324,239,0.9926,0.1684,1.0000,1.1610
1-CAAX01002927.1-4255:4575,320,0.9859,0.1737,0.9524,1.1595
8-ALEJ01000016.1-216530:218015,1485,0.9893,0.1691,0.9524,1.1584
1-CAAX01000312.1-2316:2624,308,0.9852,0.1730,1.0000,1.1582
7-CP010284.2-874239:874596,357,0.9980,0.1586,1.0000,1.1566
1-CAAX01000887.1-199:452,253,0.9840,0.1720,1.0000,1.1560
11-AMBX01000023.1-77995:78384,389,0.9918,0.1624,1.0000,1.1542
13-AMEC02000053.1-154396:154622,226,0.9955,0.1519,1.0000,1.1474
80-LECB01000012.1-320208:320773,565,0.9602,0.1819,0.9524,1.1421
4-AETV01000023.1-657523:657750,227,0.9881,0.1496,0.9524,1.1376
4-AETV01000023.1-670372:670865,493,0.9890,0.1479,0.9524,1.1369
1-CAAX01000673.1-5068:5772,704,0.9435,0.1930,0.8571,1.1365
1-CAAX01000071.1-8820:9368,548,0.9917,0.1442,1.0000,1.1359
0-AE006468.2-3044269:3044505,236,0.9768,0.1584,1.0000,1.1352
0-AE006468.2-3011799:3012190,391,0.9861,0.1479,1.0000,1.1339
2-CAAZ01000045.1-43295:43913,618,0.9853,0.1435,0.9524,1.1288
11-AMBX01000010.1-136893:137409,516,0.9879,0.1406,1.0000,1.1284
3-AESO01000031.1-74044:74436,392,0.9834,0.1446,1.0000,1.1279
1-CAAX01000285.1-1703:2126,423,0.9870,0.1394,1.0000,1.1264
3-AESO01000043.1-33067:33558,491,0.9891,0.1372,0.7619,1.1263
9-ALFB01000035.1-51170:51447,277,0.9909,0.1343,1.0000,1.1252
1-CAAX01000312.1-3676:3920,244,0.9989,0.1247,1.0000,1.1236
8-ALEJ01000016.1-228669:229055,386,0.9941,0.1269,0.9524,1.1210
1-CAAX01002927.1-8153:8574,421,0.9886,0.1317,0.9524,1.1203
2-CAAZ01000104.1-56664:57096,432,0.9933,0.1262,1.0000,1.1195
14-ALFV01000024.1-634273:634888,615,0.9867,0.1323,1.0000,1.1190
1-CAAX01000275.1-1308:1750,442,0.9944,0.1241,0.6667,1.1186
0-AE006468.2-3024768:3025215,447,0.9864,0.1320,1.0000,1.1184
2-CAAZ01000104.1-54861:55454,593,0.9903,0.1266,1.0000,1.1168
1-CAAX01000511.1-4012:4227,215,0.9930,0.1238,1.0000,1.1168
13-AMEC02000025.1-101001:101335,334,0.9882,0.1265,1.0000,1.1147
84-CEXK01000031.1-39994:42597,2603,0.9877,0.1261,0.7619,1.1138
