signature_id,length,conservation,divergence,fraction_nontarget_hit,score
0-NC_002655.2-3251076:3251523,447,0.9899,0.1949,1.0000,1.1848
1-NC_002695.1-1856139:1856730,591,0.9987,0.1829,1.0000,1.1816
0-NC_002655.2-3249342:3249641,299,0.9833,0.1621,1.0000,1.1454
0-NC_002655.2-4856623:4856825,202,0.9913,0.1492,1.0000,1.1405
1-NC_002695.1-2144739:2145117,378,0.9861,0.1407,0.9310,1.1268
0-NC_002655.2-3139360:3139918,558,0.9973,0.1288,1.0000,1.1262
0-NC_002655.2-2949438:2949965,527,0.9839,0.1245,0.8276,1.1084
0-NC_002655.2-3158115:3158419,304,0.9959,0.1092,1.0000,1.1051
0-NC_002655.2-3057935:3058240,305,0.9992,0.1054,1.0000,1.1046
0-NC_002655.2-3260235:3260645,410,0.9841,0.1183,0.8276,1.1025
1-NC_002695.1-2066066:2066734,668,0.9899,0.1097,1.0000,1.0996
0-NC_002655.2-3140349:3141074,725,0.9986,0.0817,1.0000,1.0803
0-NC_002655.2-3259655:3260008,353,0.9922,0.0828,0.8276,1.0750
0-NC_002655.2-4346349:4347077,728,0.9945,0.0782,0.7931,1.0727
0-NC_002655.2-5209417:5209634,217,0.9862,0.0860,1.0000,1.0721
0-NC_002655.2-1305943:1306298,355,0.9965,0.0723,1.0000,1.0687
0-NC_002655.2-3137341:3137573,232,0.9989,0.0688,1.0000,1.0677
0-NC_002655.2-5133804:5134364,560,0.9969,0.0642,0.8276,1.0611
0-NC_002655.2-1608560:1608870,310,0.9968,0.0643,1.0000,1.0611
1-NC_002695.1-1893894:1894104,210,0.9976,0.0622,1.0000,1.0599
0-NC_002655.2-3059103:3059452,349,0.9957,0.0627,1.0000,1.0584
0-NC_002655.2-1313789:1314103,314,0.9936,0.0638,0.7241,1.0574
0-NC_002655.2-2104484:2105952,1468,0.9314,0.1256,1.0000,1.0570
0-NC_002655.2-1215643:1216127,484,0.9979,0.0572,1.0000,1.0551
0-NC_002655.2-3059508:3059861,353,0.9880,0.0669,1.0000,1.0549
0-NC_002655.2-1037285:1037641,356,0.9993,0.0549,1.0000,1.0542
0-NC_002655.2-3946522:3946775,253,0.9980,0.0560,1.0000,1.0540
0-NC_002655.2-4449809:4450123,314,0.9968,0.0564,1.0000,1.0533
0-NC_002655.2-5362811:5363111,300,0.9983,0.0540,1.0000,1.0524
1-NC_002695.1-1857933:1858366,433,0.9988,0.0194,0.4138,1.0183
0-NC_002655.2-4255888:4256710,822,0.9954,0.0549,0.8966,1.0503
0-NC_002655.2-3333308:3333659,351,0.9972,0.0533,1.0000,1.0505
0-NC_002655.2-4458775:4459049,274,0.9927,0.0361,0.3103,1.0288
0-NC_002655.2-5120413:5120739,326,0.9977,0.0514,1.0000,1.0491
0-NC_002655.2-936565:936787,222,1.0000,0.0489,1.0000,1.0489
0-NC_002655.2-3252127:3252499,372,0.9207,0.1240,0.6552,1.0447
0-NC_002655.2-64261:64629,368,0.9925,0.0547,0.4828,1.0472
0-NC_002655.2-4774209:4774620,411,0.9951,0.0519,1.0000,1.0471
0-NC_002655.2-3856923:3857194,271,1.0000,0.0461,1.0000,1.0461
0-NC_002655.2-36536:36896,360,0.9986,0.0466,1.0000,1.0453
0-NC_002655.2-3421469:3421813,344,0.9949,0.0503,1.0000,1.0452
0-NC_002655.2-1185092:1185362,270,0.9954,0.0494,1.0000,1.0448
0-NC_002655.2-4729706:4730121,415,0.9994,0.0440,0.9655,1.0434
0-NC_002655.2-2598413:2598717,304,0.9984,0.0445,1.0000,1.0428
0-NC_002655.2-3966991:3967429,438,0.9977,0.0450,1.0000,1.0427
1-NC_002695.1-1855291:1856098,807,0.9988,0.0433,1.0000,1.0420
0-NC_002655.2-4447204:4447475,271,1.0000,0.0420,1.0000,1.0420
0-NC_002655.2-168184:168453,269,0.9963,0.0456,1.0000,1.0419
0-NC_002655.2-5301:5542,241,1.0000,0.0416,1.0000,1.0416
0-NC_002655.2-779477:779728,251,0.9970,0.0442,1.0000,1.0412
0-NC_002655.2-775547:775822,275,0.9900,0.0509,1.0000,1.0409
1-NC_002695.1-1833882:1834163,281,0.9991,0.0417,1.0000,1.0408
0-NC_002655.2-4132389:4132770,381,0.9967,0.0440,1.0000,1.0407
0-NC_002655.2-3681767:3682366,599,0.9979,0.0426,1.0000,1.0405
0-NC_002655.2-3988129:3988333,204,1.0000,0.0404,1.0000,1.0404
0-NC_002655.2-2334155:2334420,265,0.9991,0.0412,1.0000,1.0403
0-NC_002655.2-4522269:4523531,1262,0.9467,0.0854,0.8276,1.0322
0-NC_002655.2-3888415:3888756,341,0.9868,0.0527,1.0000,1.0395
0-NC_002655.2-4918788:4919121,333,1.0000,0.0395,1.0000,1.0395
0-NC_002655.2-4920512:4920890,378,0.9974,0.0409,1.0000,1.0382
0-NC_002655.2-169977:170258,281,0.9982,0.0398,1.0000,1.0380
0-NC_002655.2-169612:169912,300,0.9958,0.0420,1.0000,1.0378
0-NC_002655.2-467603:467848,245,0.9980,0.0397,1.0000,1.0376
0-NC_002655.2-959783:960169,386,0.9961,0.0412,1.0000,1.0373
1-NC_002695.1-1842270:1842569,299,0.9967,0.0404,1.0000,1.0370
0-NC_002655.2-2931936:2932238,302,0.9834,0.0529,0.9655,1.0363
0-NC_002655.2-4000063:4000348,285,0.9991,0.0373,0.9655,1.0364
0-NC_002655.2-4374596:4374816,220,1.0000,0.0359,1.0000,1.0359
0-NC_002655.2-2443618:2443843,225,1.0000,0.0359,1.0000,1.0359
0-NC_002655.2-4361558:4361795,237,0.9989,0.0368,0.8966,1.0358
0-NC_002655.2-3653938:3654449,511,0.9985,0.0368,1.0000,1.0354
0-NC_002655.2-4963956:4964309,353,0.9922,0.0424,0.9655,1.0346
1-NC_002695.1-3785544:3785798,254,0.9990,0.0358,1.0000,1.0349
0-NC_002655.2-768977:769324,347,0.9950,0.0398,1.0000,1.0348
0-NC_002655.2-1325214:1325530,316,0.9921,0.0420,1.0000,1.0341
0-NC_002655.2-960616:960979,363,0.9979,0.0360,1.0000,1.0339
0-NC_002655.2-819856:820179,323,0.9985,0.0352,1.0000,1.0337
0-NC_002655.2-4376050:4376321,271,0.9991,0.0344,1.0000,1.0334
0-NC_002655.2-5254025:5254246,221,0.9989,0.0339,1.0000,1.0327
1-NC_002695.1-2002170:2002392,222,0.9989,0.0336,1.0000,1.0324
0-NC_002655.2-4716295:4716613,318,0.9992,0.0332,0.8276,1.0324
0-NC_002655.2-3504032:3504272,240,0.9979,0.0342,1.0000,1.0321
2-NC_007606.1-1286332:1286722,390,0.9865,0.0433,0.4138,1.0299
0-NC_002655.2-299052:299274,222,0.9887,0.0419,1.0000,1.0307
0-NC_002655.2-4514061:4514584,523,0.9952,0.0351,1.0000,1.0304
0-NC_002655.2-3244147:3244402,255,0.9971,0.0329,1.0000,1.0299
0-NC_002655.2-3438437:3438772,335,0.9985,0.0301,0.9655,1.0286
0-NC_002655.2-1213725:1214016,291,0.9940,0.0351,1.0000,1.0291
0-NC_002655.2-3700179:3700408,229,0.9989,0.0292,0.9655,1.0281
0-NC_002655.2-856259:857458,1199,0.9948,0.0334,1.0000,1.0282
0-NC_002655.2-970961:971249,288,0.9965,0.0316,1.0000,1.0281
1-NC_002695.1-2138297:2138664,367,0.9925,0.0344,1.0000,1.0269
0-NC_002655.2-3142551:3142826,275,1.0000,0.0267,1.0000,1.0267
0-NC_002655.2-2483054:2483296,242,0.9886,0.0379,1.0000,1.0265
0-NC_002655.2-4313968:4314203,235,0.9989,0.0276,1.0000,1.0265
0-NC_002655.2-4195057:4195389,332,0.9985,0.0279,1.0000,1.0264
0-NC_002655.2-3073554:3073950,396,0.9975,0.0286,1.0000,1.0260
0-NC_002655.2-4855505:4855760,255,1.0000,0.0258,1.0000,1.0258
0-NC_002655.2-142011:142217,206,1.0000,0.0258,1.0000,1.0258
0-NC_002655.2-4181800:4182000,200,0.9950,0.0302,1.0000,1.0252
0-NC_002655.2-4775548:4775774,226,0.9989,0.0259,1.0000,1.0248
1-NC_002695.1-2139392:2139747,355,0.9979,0.0268,0.9655,1.0247
0-NC_002655.2-3371072:3371339,267,1.0000,0.0247,1.0000,1.0247
0-NC_002655.2-2510682:2510927,245,0.9990,0.0255,1.0000,1.0245
0-NC_002655.2-5476183:5476411,228,0.9967,0.0275,1.0000,1.0242
0-NC_002655.2-1776549:1776780,231,0.9989,0.0251,1.0000,1.0240
0-NC_002655.2-4715338:4715616,278,1.0000,0.0239,1.0000,1.0239
0-NC_002655.2-4847512:4847884,372,0.9980,0.0256,0.4138,1.0236
0-NC_002655.2-3260851:3261147,296,0.9907,0.0329,1.0000,1.0236
0-NC_002655.2-4539408:4539705,297,0.9992,0.0244,0.9655,1.0235
1-NC_002695.1-2132101:2132635,534,0.9991,0.0243,0.9655,1.0234
0-NC_002655.2-3318521:3318818,297,0.9992,0.0240,1.0000,1.0232
0-NC_002655.2-1166373:1166683,310,0.9976,0.0251,0.9655,1.0227
0-NC_002655.2-2424722:2425016,294,0.9974,0.0249,1.0000,1.0223
0-NC_002655.2-1761176:1761420,244,0.9990,0.0228,0.9655,1.0217
0-NC_002655.2-563435:563778,343,0.9985,0.0229,1.0000,1.0215
1-NC_002695.1-1830945:1831234,289,1.0000,0.0214,1.0000,1.0214
1-NC_002695.1-3522273:3524769,2496,0.9978,0.0236,1.0000,1.0214
0-NC_002655.2-4174494:4174752,258,0.9981,0.0226,1.0000,1.0206
0-NC_002655.2-1809695:1809937,242,0.9948,0.0237,0.9655,1.0185
0-NC_002655.2-2405587:2405908,321,0.9992,0.0185,0.8276,1.0177
0-NC_002655.2-740783:741177,394,0.9981,0.0186,1.0000,1.0167
0-NC_002655.2-4172852:4173134,282,0.9982,0.0180,1.0000,1.0162
1-NC_002695.1-4267742:4269218,1476,0.9966,0.0191,1.0000,1.0157
0-NC_002655.2-106987:107198,211,0.9929,0.0224,1.0000,1.0153
0-NC_002655.2-2373052:2373277,225,1.0000,0.0146,1.0000,1.0146
0-NC_002655.2-1582903:1583180,277,0.9991,0.0153,1.0000,1.0144
0-NC_002655.2-2517775:2518028,253,1.0000,0.0139,1.0000,1.0139
0-NC_002655.2-2440169:2440472,303,0.9992,0.0146,1.0000,1.0137
0-NC_002655.2-3693142:3693447,305,0.9975,0.0162,0.3103,1.0137
0-NC_002655.2-3604077:3604360,283,0.9973,0.0162,1.0000,1.0136
0-NC_002655.2-3751882:3752290,408,0.9982,0.0150,1.0000,1.0131
0-NC_002655.2-489871:490095,224,0.9955,0.0172,1.0000,1.0128
0-NC_002655.2-3567771:3568352,581,0.9978,0.0147,1.0000,1.0125
0-NC_002655.2-2580388:2580622,234,1.0000,0.0121,1.0000,1.0121
0-NC_002655.2-3699626:3699854,228,0.9967,0.0150,1.0000,1.0117
0-NC_002655.2-5217943:5218357,414,0.9861,0.0256,1.0000,1.0117
1-NC_002695.1-1857321:1857572,251,0.9980,0.0092,0.2414,1.0072
0-NC_002655.2-2442585:2442879,294,0.9983,0.0133,1.0000,1.0116
0-NC_002655.2-4459448:4459826,378,0.9987,0.0096,0.3103,1.0083
0-NC_002655.2-1837317:1837547,230,0.9989,0.0111,1.0000,1.0100
0-NC_002655.2-4697411:4697633,222,0.9955,0.0037,0.1724,0.9992
0-NC_002655.2-5261342:5261601,259,0.9990,0.0108,1.0000,1.0098
0-NC_002655.2-3423424:3423642,218,1.0000,0.0098,1.0000,1.0098
0-NC_002655.2-1610365:1610615,250,0.9950,0.0148,1.0000,1.0098
0-NC_002655.2-1780482:1780814,332,0.9962,0.0092,0.3448,1.0055
0-NC_002655.2-2535236:2535494,258,0.9990,0.0082,0.7586,1.0072
0-NC_002655.2-3153296:3153530,234,1.0000,0.0090,1.0000,1.0090
0-NC_002655.2-5233251:5233546,295,0.9958,0.0131,0.9655,1.0089
0-NC_002655.2-1769169:1769444,275,0.9982,0.0105,1.0000,1.0087
0-NC_002655.2-1035514:1036018,504,0.9955,0.0114,0.2069,1.0069
0-NC_002655.2-488586:488829,243,1.0000,0.0084,1.0000,1.0084
0-NC_002655.2-1782876:1783737,861,0.9985,0.0077,0.3448,1.0063
0-NC_002655.2-74831:75299,468,0.9995,0.0079,1.0000,1.0073
0-NC_002655.2-4377365:4378777,1412,0.9929,0.0141,1.0000,1.0070
0-NC_002655.2-1781281:1782114,833,0.9997,0.0064,0.3448,1.0061
0-NC_002655.2-63264:63489,225,0.9944,0.0084,0.2069,1.0029
0-NC_002655.2-4697831:4698073,242,0.9917,0.0141,1.0000,1.0058
1-NC_002695.1-1858607:1858926,319,0.9992,0.0025,0.2414,1.0017
0-NC_002655.2-4358728:4359111,383,0.9993,0.0032,0.2414,1.0025
0-NC_002655.2-3395550:3395755,205,0.9976,0.0059,0.8276,1.0034
0-NC_002655.2-4457701:4458319,618,0.9984,0.0046,0.3103,1.0030
0-NC_002655.2-852272:854996,2724,0.9976,0.0035,0.2759,1.0011
0-NC_002655.2-1405526:1407029,1503,0.9937,0.0037,0.0690,0.9974
0-NC_002655.2-843290:843702,412,0.9951,0.0049,0.1379,1.0000
0-NC_002655.2-855607:856024,417,0.9934,0.0063,0.1724,0.9997
0-NC_002655.2-851881:852168,287,0.9965,0.0020,0.1379,0.9986
0-NC_002655.2-823970:831671,7701,0.8740,0.1241,1.0000,0.9981
0-NC_002655.2-594501:594971,470,0.9926,0.0036,0.0690,0.9961
0-NC_002655.2-850036:851722,1686,0.9911,0.0019,0.1379,0.9930
0-NC_002655.2-63773:64035,262,0.9800,0.0130,0.1379,0.9930
0-NC_002655.2-4421630:4421954,324,0.9769,0.0102,0.3103,0.9871
0-NC_002655.2-593720:594160,440,0.9847,0.0043,0.0690,0.9890
0-NC_002655.2-5036327:5037145,818,0.9780,0.0077,0.1724,0.9857
0-NC_002655.2-5118657:5119003,346,0.9053,0.0814,1.0000,0.9868
0-NC_002655.2-599043:604714,5671,0.9797,0.0030,0.0690,0.9827
0-NC_002655.2-4758843:4762248,3405,0.9501,0.0316,0.7586,0.9817
1-NC_002695.1-5159229:5169114,9885,0.9782,0.0020,1.0000,0.9802
0-NC_002655.2-3146685:3148285,1600,0.9748,0.0047,0.1379,0.9795
1-NC_002695.1-4345900:4347552,1652,0.9340,0.0218,0.9655,0.9558
0-NC_002655.2-1762191:1762406,215,0.9279,0.0178,1.0000,0.9457
0-NC_002655.2-586601:587182,581,0.9380,0.0034,0.0690,0.9415
0-NC_002655.2-3694167:3695195,1028,0.9297,0.0090,0.2414,0.9387
0-NC_002655.2-1036134:1036824,690,0.9308,0.0072,0.2069,0.9380
0-NC_002655.2-5037398:5039003,1605,0.9132,0.0144,0.1724,0.9276
0-NC_002655.2-741623:742043,420,0.9071,0.0217,1.0000,0.9288
1-NC_002695.1-1838371:1838770,399,0.8835,0.0271,1.0000,0.9106
1-NC_002695.1-1815228:1815884,656,0.8731,0.0294,1.0000,0.9025
0-NC_002655.2-441558:446189,4631,0.8581,0.0338,1.0000,0.8919
0-NC_002655.2-4987580:4988160,580,0.8866,0.0043,0.1034,0.8910
0-NC_002655.2-4360471:4361336,865,0.8743,0.0136,0.2414,0.8879
0-NC_002655.2-596368:598870,2502,0.8767,0.0100,0.0690,0.8867
