marker,length,identity,coverage,found
NC_008253.1_73,117,97.8,38.5,0
NC_008253.1_83,312,97.8,100.0,1
NC_008253.1_84,2734,97.7,81.7,0
NC_008253.1_85,106,0.0,0.0,0
NC_008253.1_86,331,99.4,100.0,1
NC_008253.1_87,5076,98.0,78.3,0
NC_008253.1_141,793,96.0,66.8,0
NC_008253.1_142,1058,97.8,29.7,0
NC_008253.1_203,102,100.0,100.0,1
NC_008253.1_235,215,98.2,26.5,0
NC_008253.1_347,1679,98.2,20.4,0
NC_008253.1_366,1114,99.1,100.0,1
NC_008253.1_403,5108,99.1,43.3,0
NC_008253.1_404,145,97.9,100.0,1
NC_008253.1_447,132,0.0,0.0,0
NC_008253.1_451,520,94.6,100.0,0
NC_008253.1_452,308,89.4,42.9,0
NC_008253.1_453,499,92.6,62.5,0
NC_008253.1_454,13712,98.3,23.7,0
NC_008253.1_460,5489,99.3,79.1,0
NC_008253.1_472,820,97.2,100.0,1
NC_008253.1_473,270,100.0,100.0,1
NC_008253.1_474,309,100.0,100.0,1
NC_008253.1_475,811,99.6,100.0,1
NC_008253.1_485,134,0.0,0.0,0
