signature_id,length,conservation,divergence,fraction_nontarget_hit,score
NC_008253.1_73,117,0.9829,0.0000,0.0000,0.9829
NC_008253.1_83,312,0.9776,0.0000,0.0000,0.9776
NC_008253.1_84,2734,0.9744,0.0000,0.0000,0.9744
NC_008253.1_85,106,0.9811,0.0000,0.0000,0.9811
NC_008253.1_86,331,0.9940,0.0000,0.0000,0.9940
NC_008253.1_87,5076,0.7679,0.0000,0.0000,0.7679
NC_008253.1_141,793,0.6419,0.0001,0.0714,0.6420
NC_008253.1_142,1058,0.2902,0.0000,0.0000,0.2902
NC_008253.1_203,102,1.0000,0.0000,0.0000,1.0000
NC_008253.1_235,215,0.4186,0.0000,0.0000,0.4186
NC_008253.1_347,1679,0.2001,0.0000,0.0000,0.2001
NC_008253.1_366,1114,0.9910,0.0000,0.0000,0.9910
NC_008253.1_403,5108,0.4287,0.0032,0.9643,0.4319
NC_008253.1_404,145,0.9793,0.0000,0.0000,0.9793
NC_008253.1_447,132,0.9924,0.0000,0.0000,0.9924
NC_008253.1_451,520,0.9462,0.0000,0.0000,0.9462
NC_008253.1_452,308,0.9188,0.0000,0.0000,0.9188
NC_008253.1_453,499,0.9238,0.0000,0.0000,0.9238
NC_008253.1_454,13712,0.2328,0.0026,1.0000,0.2354
NC_008253.1_460,5489,0.7861,0.0006,0.4643,0.7867
NC_008253.1_472,820,0.9720,0.0000,0.0000,0.9720
NC_008253.1_473,270,1.0000,0.0000,0.0000,1.0000
NC_008253.1_474,309,1.0000,0.0000,0.0000,1.0000
NC_008253.1_475,811,0.9963,0.0000,0.0000,0.9963
NC_008253.1_485,134,0.9776,0.0000,0.0357,0.9776
