signature_id,length,conservation,divergence,fraction_nontarget_hit,score
5-LYDP01000004.1-88717:89169,452,0.9966,0.2355,0.8571,1.2321
0-JH379329.1-375065:375393,328,0.9980,0.2224,0.8571,1.2204
0-JH379329.1-510795:511249,454,0.9968,0.2230,1.0000,1.2198
0-JH379275.1-11190:11742,552,0.9960,0.2083,0.9524,1.2043
1-AVJJ01000030.1-48640:48978,338,0.9899,0.2082,1.0000,1.1982
1-AVJJ01000126.1-48403:48820,417,0.9965,0.1989,1.0000,1.1954
0-JH379284.1-26152:26518,366,0.9992,0.1918,0.8095,1.1910
0-JH379329.1-207467:207749,282,0.9987,0.1913,0.9048,1.1901
1-AVJJ01000013.1-12155:12609,454,0.9989,0.1916,0.9524,1.1905
0-JH379329.1-375543:375938,395,0.9980,0.1904,0.9048,1.1883
0-JH379329.1-422267:422573,306,0.9959,0.1892,0.7619,1.1851
5-LYDP01000004.1-53751:54043,292,0.9959,0.1882,1.0000,1.1841
0-JH379275.1-90027:90290,263,0.9959,0.1829,0.8095,1.1788
0-JH379297.1-93514:93949,435,0.9957,0.1843,0.9524,1.1800
0-JH379237.1-10086:10477,391,0.9979,0.1820,0.9524,1.1799
0-JH379297.1-245428:245667,239,0.9965,0.1833,0.9048,1.1798
0-JH379237.1-77611:78227,616,0.9979,0.1808,0.9524,1.1787
0-JH379233.1-26746:27016,270,0.9985,0.1769,0.9524,1.1754
0-JH379233.1-29111:29367,256,0.9958,0.1758,0.8095,1.1716
0-JH379243.1-6364:6693,329,0.9963,0.1770,0.9048,1.1734
5-LYDP01000004.1-89433:90480,1047,0.9978,0.1755,0.9524,1.1733
5-LYDP01000004.1-72606:72926,320,0.9966,0.1747,0.8095,1.1713
0-JH379261.1-41097:41416,319,0.9985,0.1697,0.6190,1.1682
0-JH379308.1-1051:1481,430,0.9993,0.1685,0.7619,1.1678
0-JH379272.1-37872:38257,385,0.9974,0.1724,0.6667,1.1698
1-AVJJ01000021.1-72703:72995,292,0.9974,0.1729,0.9524,1.1703
0-JH379297.1-246781:247240,459,0.9980,0.1717,0.9524,1.1697
0-JH379230.1-11460:11705,245,0.9967,0.1625,0.7143,1.1592
0-JH379329.1-497280:497649,369,0.9983,0.1642,0.9048,1.1625
5-LYDP01000038.1-182060:182296,236,0.9984,0.1527,0.6190,1.1511
1-AVJJ01000126.1-46614:47297,683,0.9939,0.1660,1.0000,1.1599
0-JH379297.1-270362:270675,313,0.9983,0.1587,1.0000,1.1570
5-LYDP01000040.1-17973:18770,797,0.9975,0.1582,0.6190,1.1557
0-JH379232.1-4883:5165,282,0.9929,0.1630,1.0000,1.1559
1-AVJJ01000021.1-76348:76671,323,0.9914,0.1617,0.8095,1.1531
1-AVJJ01000015.1-49683:50511,828,0.9976,0.1563,0.8571,1.1539
1-AVJJ01000125.1-14241:14469,228,0.9943,0.1579,0.9524,1.1522
0-JH379272.1-45586:45822,236,0.9981,0.1505,0.7619,1.1486
0-JH379329.1-274658:275053,395,0.9946,0.1552,0.9524,1.1497
1-AVJJ01000017.1-4903:5113,210,0.9811,0.1644,0.7143,1.1455
1-AVJJ01000083.1-34916:35143,227,0.9975,0.1376,0.8095,1.1351
0-JH379273.1-2321:2935,614,0.9973,0.1473,0.8095,1.1446
0-JH379230.1-8912:9182,270,0.9988,0.1444,0.9524,1.1432
0-JH379297.1-92151:92620,469,0.9971,0.1464,0.9048,1.1435
5-LYDP01000004.1-80967:81478,511,0.9961,0.1469,0.8095,1.1429
5-LYDP01000004.1-62387:62675,288,0.9982,0.1257,0.7619,1.1239
5-LYDP01000017.1-465715:466628,913,0.9960,0.1432,0.9048,1.1391
0-JH379297.1-150664:150873,209,0.9990,0.1392,0.9048,1.1382
1-AVJJ01000015.1-2992:3213,221,0.9973,0.1381,0.7143,1.1354
5-LYDP01000017.1-473353:473624,271,0.9923,0.1371,0.6190,1.1294
0-JH379237.1-20745:20969,224,0.9990,0.1354,0.7619,1.1345
0-JH379233.1-33490:33715,225,0.9955,0.1255,0.8095,1.1210
1-AVJJ01000017.1-7993:8301,308,0.9986,0.1322,0.8095,1.1308
1-AVJJ01000095.1-58019:58393,374,0.9853,0.1445,0.9048,1.1299
0-JH379297.1-266005:266263,258,0.9937,0.1340,0.7143,1.1277
0-JH379297.1-127371:127637,266,0.9991,0.1284,0.8571,1.1275
0-JH379308.1-15384:16005,621,0.9978,0.1169,0.5238,1.1147
5-LYDP01000017.1-336500:336960,460,0.9953,0.1277,0.9048,1.1230
0-JH379237.1-80878:81109,231,0.9982,0.1231,0.8095,1.1213
1-AVJJ01000018.1-5902:6194,292,0.9984,0.1202,0.7619,1.1185
1-AVJJ01000013.1-17601:17963,362,0.9977,0.1154,0.8095,1.1131
0-JH379239.1-4013:4257,244,0.9971,0.1237,0.5714,1.1209
5-LYDP01000004.1-29825:30080,255,0.9829,0.1333,0.7619,1.1162
0-JH379240.1-21248:21475,227,0.9970,0.1068,0.5714,1.1038
5-LYDP01000017.1-471141:471453,312,0.9983,0.1128,0.5714,1.1111
0-JH379272.1-28775:29360,585,0.9913,0.1230,0.9048,1.1143
0-JH379329.1-206146:206350,204,0.9988,0.1090,0.6190,1.1078
0-JH379329.1-139146:139416,270,0.9975,0.1146,0.9524,1.1122
5-LYDP01000038.1-192045:192951,906,0.9983,0.1114,0.5714,1.1097
0-JH379272.1-35263:35784,521,0.9930,0.1184,0.6667,1.1113
1-AVJJ01000063.1-5086:5336,250,0.9972,0.1067,0.7619,1.1038
1-AVJJ01000017.1-1170:1615,445,0.9989,0.1111,0.7619,1.1100
0-JH379297.1-197779:198203,424,0.9981,0.1122,1.0000,1.1103
5-LYDP01000004.1-55860:56144,284,0.9966,0.1081,0.7619,1.1047
0-JH379297.1-111770:112105,335,0.9929,0.1134,0.9524,1.1063
5-LYDP01000017.1-470344:470702,358,0.9956,0.1026,0.5714,1.0981
1-AVJJ01000048.1-29002:29256,254,0.9992,0.0973,0.4286,1.0965
1-AVJJ01000124.1-14633:14887,254,0.9994,0.0934,0.4762,1.0927
0-JH379329.1-215128:215428,300,0.9996,0.1002,0.8571,1.0998
1-AVJJ01000126.1-44519:44831,312,0.9976,0.0920,0.3333,1.0896
0-JH379284.1-12948:13242,294,0.9931,0.1016,0.8095,1.0947
1-AVJJ01000017.1-12223:13592,1369,0.9981,0.0925,0.8571,1.0906
1-AVJJ01000017.1-9287:9562,275,0.9869,0.0968,0.7619,1.0837
1-AVJJ01000017.1-2723:3063,340,0.9988,0.0852,0.7619,1.0839
1-AVJJ01000124.1-10980:11301,321,0.9987,0.0846,0.4286,1.0833
0-JH379273.1-1193:1515,322,0.9987,0.0779,0.8095,1.0766
0-JH379297.1-128456:128745,289,0.9991,0.0783,0.3810,1.0774
1-AVJJ01000083.1-30502:30754,252,0.9983,0.0508,0.2381,1.0491
1-AVJJ01000124.1-9238:9723,485,0.9984,0.0730,0.3333,1.0715
0-JH379240.1-37880:38185,305,0.9980,0.0590,0.2381,1.0570
1-AVJJ01000124.1-12392:12881,489,0.9980,0.0609,0.3810,1.0589
1-AVJJ01000064.1-1206:1451,245,0.9930,0.0632,0.3333,1.0561
0-JH379240.1-36190:36494,304,0.9968,0.0575,0.2381,1.0543
0-JH379329.1-232656:232945,289,0.9888,0.0623,0.9048,1.0511
0-JH379240.1-37370:37752,382,0.9989,0.0425,0.2381,1.0414
0-JH379239.1-2357:2739,382,0.9993,0.0443,0.2381,1.0436
0-JH379239.1-7920:8136,216,0.9988,0.0333,0.2381,1.0321
5-LYDP01000038.1-190942:191382,440,0.9978,0.0468,0.4762,1.0445
0-JH379297.1-66920:67171,251,0.9924,0.0359,0.1429,1.0282
1-AVJJ01000116.1-23847:24198,351,0.9972,0.0303,0.1905,1.0274
1-AVJJ01000116.1-18342:18912,570,0.9974,0.0406,0.2857,1.0380
0-JH379239.1-1313:1813,500,0.9967,0.0400,0.2381,1.0367
0-JH379325.1-29696:30105,409,0.9962,0.0310,0.2857,1.0272
5-LYDP01000017.1-135294:136029,735,0.9948,0.0286,0.1429,1.0234
5-LYDP01000017.1-551656:551893,237,0.9788,0.0334,0.2857,1.0121
0-JH379326.1-115543:115745,202,0.9939,0.0000,0.0000,0.9939
5-LYDP01000017.1-503886:504114,228,0.9987,0.0063,0.0952,1.0049
1-AVJJ01000093.1-42253:42469,216,0.9958,0.0060,0.0476,1.0017
0-JH379326.1-70695:71088,393,0.9964,0.0055,0.0476,1.0019
0-JH379326.1-130693:130943,250,0.9836,0.0128,0.0476,0.9964
1-AVJJ01000023.1-7564:8249,685,0.9888,0.0000,0.0000,0.9888
