signature_id,length,conservation,divergence,fraction_nontarget_hit,score
JBKVRS010000004.1_1,246,0.7886,0.0000,0.0000,0.7886
JBKVRS010000004.1_3,141,0.8085,0.0000,0.0000,0.8085
JBKVRS010000004.1_4,197,0.8122,0.0000,0.0000,0.8122
JBKVRS010000004.1_5,162,0.8025,0.0000,0.0000,0.8025
JBKVRS010000004.1_6,655,0.7985,0.0000,0.0000,0.7985
JBKVRS010000004.1_24,157,0.7834,0.0064,0.0476,0.7898
JBKVRS010000004.1_25,171,0.7953,0.0000,0.0000,0.7953
JBKVRS010000004.1_30,125,0.8640,0.0000,0.0000,0.8640
JBKVRS010000005.1_35,124,0.8710,0.0154,0.0476,0.8863
JBKVRS010000005.1_45,136,0.7794,0.0000,0.0000,0.7794
JBKVRS010000006.1_77,167,0.8743,0.0000,0.0000,0.8743
JBKVRS010000006.1_91,172,0.7558,0.0000,0.0000,0.7558
JBKVRS010000006.1_92,118,0.8814,0.0000,0.0000,0.8814
JBKVRS010000006.1_94,139,0.8705,0.0000,0.0000,0.8705
JBKVRS010000006.1_104,110,0.9182,0.0000,0.0000,0.9182
JBKVRS010000006.1_118,146,0.8493,0.0000,0.0000,0.8493
JBKVRS010000007.1_140,271,0.8229,0.0039,0.0952,0.8267
JBKVRS010000007.1_146,478,0.3368,0.0000,0.0000,0.3368
JBKVRS010000008.1_152,175,0.8114,0.0000,0.0000,0.8114
JBKVRS010000008.1_153,311,0.6720,0.0000,0.0000,0.6720
JBKVRS010000008.1_154,230,0.7348,0.0000,0.0000,0.7348
JBKVRS010000008.1_155,148,0.0000,0.0000,0.0000,0.0000
JBKVRS010000008.1_157,230,0.7478,0.0000,0.0000,0.7478
JBKVRS010000008.1_158,265,0.7585,0.0000,0.0000,0.7585
JBKVRS010000008.1_159,277,0.8267,0.0000,0.0000,0.8267
JBKVRS010000009.1_165,149,0.8523,0.0000,0.0000,0.8523
JBKVRS010000009.1_168,247,0.8543,0.0000,0.0000,0.8543
JBKVRS010000010.1_194,293,0.8020,0.0000,0.0000,0.8020
JBKVRS010000010.1_196,130,0.8231,0.0000,0.0000,0.8231
JBKVRS010000011.1_199,208,0.8365,0.0000,0.0000,0.8365
JBKVRS010000011.1_200,132,0.8030,0.0000,0.0000,0.8030
JBKVRS010000011.1_201,190,0.7842,0.0000,0.0000,0.7842
JBKVRS010000011.1_204,126,0.8889,0.0000,0.0000,0.8889
JBKVRS010000011.1_210,132,0.8333,0.0000,0.0000,0.8333
JBKVRS010000011.1_216,253,0.8538,0.0000,0.0000,0.8538
JBKVRS010000011.1_218,134,0.8582,0.0000,0.0000,0.8582
JBKVRS010000011.1_219,308,0.8636,0.0000,0.0000,0.8636
JBKVRS010000011.1_221,233,0.8712,0.0000,0.0000,0.8712
JBKVRS010000011.1_222,199,0.8241,0.0000,0.0000,0.8241
JBKVRS010000011.1_224,248,0.8790,0.0050,0.0952,0.8840
JBKVRS010000011.1_225,125,0.8240,0.0000,0.0000,0.8240
JBKVRS010000012.1_238,158,0.8354,0.0000,0.0000,0.8354
JBKVRS010000012.1_239,146,0.7808,0.0000,0.0000,0.7808
JBKVRS010000012.1_240,116,0.9052,0.0000,0.0000,0.9052
JBKVRS010000012.1_241,203,0.8571,0.0000,0.0000,0.8571
JBKVRS010000013.1_244,120,0.8667,0.0000,0.0000,0.8667
JBKVRS010000014.1_246,135,0.7852,0.0000,0.0000,0.7852
JBKVRS010000014.1_247,272,0.8897,0.0000,0.0000,0.8897
JBKVRS010000014.1_249,171,0.8772,0.0000,0.0000,0.8772
JBKVRS010000014.1_256,219,0.8539,0.0000,0.0000,0.8539
JBKVRS010000014.1_264,161,0.9130,0.0000,0.0000,0.9130
JBKVRS010000014.1_265,368,0.3207,0.0000,0.0000,0.3207
JBKVRS010000014.1_266,154,0.8636,0.0000,0.0000,0.8636
JBKVRS010000019.1_271,113,0.9381,0.0080,0.2381,0.9461
JBKVRS010000019.1_303,153,0.8889,0.0000,0.0000,0.8889
JBKVRS010000020.1_315,117,0.8632,0.0000,0.0000,0.8632
JBKVRS010000021.1_333,191,0.8168,0.0000,0.0000,0.8168
JBKVRS010000021.1_334,136,0.7794,0.0000,0.0000,0.7794
JBKVRS010000021.1_335,160,0.7937,0.0000,0.0000,0.7937
JBKVRS010000021.1_336,188,0.8564,0.0319,0.1905,0.8883
JBKVRS010000021.1_340,183,0.8251,0.0000,0.0000,0.8251
JBKVRS010000022.1_341,176,0.8409,0.0000,0.0000,0.8409
JBKVRS010000022.1_342,192,0.8021,0.0000,0.0000,0.8021
JBKVRS010000022.1_343,322,0.8758,0.0000,0.0000,0.8758
JBKVRS010000022.1_344,224,0.9196,0.0000,0.0000,0.9196
JBKVRS010000022.1_348,127,0.8583,0.0000,0.0000,0.8583
JBKVRS010000022.1_349,132,0.8788,0.0224,0.0952,0.9012
JBKVRS010000022.1_350,150,0.9533,0.0000,0.0000,0.9533
JBKVRS010000023.1_362,125,0.9040,0.0000,0.0000,0.9040
JBKVRS010000026.1_384,139,0.8777,0.0000,0.0000,0.8777
JBKVRS010000026.1_395,112,0.9018,0.0000,0.0000,0.9018
JBKVRS010000026.1_396,161,0.8758,0.0000,0.0000,0.8758
JBKVRS010000026.1_399,137,0.8613,0.0000,0.0000,0.8613
JBKVRS010000026.1_401,178,0.8427,0.0000,0.0000,0.8427
JBKVRS010000026.1_407,277,0.8917,0.0050,0.0476,0.8967
JBKVRS010000026.1_408,134,0.7910,0.0000,0.0000,0.7910
JBKVRS010000027.1_412,136,0.7647,0.0000,0.0000,0.7647
JBKVRS010000027.1_416,406,0.5369,0.0000,0.0000,0.5369
JBKVRS010000030.1_418,131,0.8473,0.0000,0.0000,0.8473
JBKVRS010000035.1_494,254,0.8780,0.0000,0.0000,0.8780
JBKVRS010000035.1_506,306,0.8203,0.0000,0.0000,0.8203
JBKVRS010000037.1_525,145,0.9172,0.0000,0.0000,0.9172
JBKVRS010000039.1_548,174,0.7011,0.0000,0.0000,0.7011
JBKVRS010000042.1_555,123,0.8618,0.0000,0.0000,0.8618
JBKVRS010000042.1_556,183,0.8579,0.0000,0.0000,0.8579
JBKVRS010000042.1_558,302,0.8510,0.0000,0.0000,0.8510
JBKVRS010000042.1_559,258,0.7674,0.0000,0.0000,0.7674
JBKVRS010000042.1_560,150,0.7667,0.0000,0.0000,0.7667
JBKVRS010000042.1_566,156,0.0000,0.0000,0.0000,0.0000
JBKVRS010000043.1_575,128,0.9062,0.0000,0.0000,0.9062
JBKVRS010000046.1_606,111,0.9009,0.0000,0.0000,0.9009
JBKVRS010000046.1_609,173,0.8671,0.0000,0.0000,0.8671
JBKVRS010000046.1_610,464,0.8470,0.0000,0.0000,0.8470
JBKVRS010000046.1_611,217,0.8571,0.0000,0.0000,0.8571
JBKVRS010000047.1_616,180,0.9556,0.0000,0.0000,0.9556
JBKVRS010000048.1_630,158,0.8544,0.0000,0.0000,0.8544
JBKVRS010000048.1_632,257,0.8288,0.0000,0.0000,0.8288
JBKVRS010000048.1_633,124,0.8871,0.0023,0.0476,0.8894
JBKVRS010000049.1_634,275,0.8109,0.0000,0.0000,0.8109
JBKVRS010000049.1_635,199,0.7990,0.0000,0.0000,0.7990
JBKVRS010000050.1_640,182,0.9341,0.0000,0.0000,0.9341
JBKVRS010000051.1_663,225,0.8267,0.0102,0.0476,0.8368
JBKVRS010000052.1_669,319,0.7398,0.0000,0.0000,0.7398
JBKVRS010000052.1_670,136,0.8676,0.0000,0.0000,0.8676
JBKVRS010000053.1_675,143,0.7902,0.0000,0.0000,0.7902
JBKVRS010000053.1_682,141,0.8511,0.0000,0.0000,0.8511
JBKVRS010000053.1_683,229,0.8166,0.0000,0.0000,0.8166
JBKVRS010000053.1_684,148,0.8378,0.0000,0.0000,0.8378
JBKVRS010000057.1_690,114,0.8860,0.0000,0.0000,0.8860
JBKVRS010000057.1_694,129,0.8527,0.0000,0.0000,0.8527
JBKVRS010000061.1_712,193,0.8549,0.0000,0.0000,0.8549
JBKVRS010000063.1_717,123,0.9187,0.0000,0.0000,0.9187
JBKVRS010000064.1_742,193,0.7824,0.0000,0.0000,0.7824
JBKVRS010000066.1_762,139,0.8993,0.0000,0.0000,0.8993
JBKVRS010000066.1_764,213,0.9108,0.0000,0.0000,0.9108
JBKVRS010000066.1_765,416,0.9062,0.0000,0.0000,0.9062
JBKVRS010000066.1_767,274,0.8796,0.0000,0.0000,0.8796
JBKVRS010000066.1_768,137,0.9562,0.0000,0.0000,0.9562
JBKVRS010000066.1_769,237,0.8819,0.0000,0.0000,0.8819
JBKVRS010000066.1_775,171,0.9006,0.0000,0.0000,0.9006
JBKVRS010000066.1_776,366,0.8989,0.0000,0.0000,0.8989
JBKVRS010000066.1_779,149,0.8926,0.0000,0.0000,0.8926
JBKVRS010000066.1_780,241,0.8797,0.0000,0.0000,0.8797
JBKVRS010000067.1_786,200,0.8600,0.0000,0.0000,0.8600
JBKVRS010000069.1_805,134,0.8060,0.0025,0.0476,0.8085
JBKVRS010000072.1_834,125,0.9040,0.0000,0.0000,0.9040
JBKVRS010000073.1_852,183,0.8525,0.0000,0.0000,0.8525
JBKVRS010000073.1_853,125,0.8400,0.0000,0.0000,0.8400
JBKVRS010000073.1_854,126,0.8810,0.0000,0.0000,0.8810
JBKVRS010000074.1_861,303,0.8746,0.0000,0.0000,0.8746
JBKVRS010000074.1_862,207,0.9420,0.0000,0.0000,0.9420
JBKVRS010000074.1_863,439,0.8815,0.0000,0.0000,0.8815
JBKVRS010000075.1_878,153,0.8824,0.0000,0.0000,0.8824
JBKVRS010000076.1_885,192,0.8281,0.0000,0.0000,0.8281
JBKVRS010000076.1_887,304,0.8454,0.0000,0.0000,0.8454
JBKVRS010000077.1_889,360,0.8667,0.0000,0.0000,0.8667
JBKVRS010000077.1_890,256,0.8750,0.0000,0.0000,0.8750
JBKVRS010000077.1_891,166,0.8133,0.0000,0.0000,0.8133
JBKVRS010000079.1_907,130,0.8538,0.0000,0.0000,0.8538
JBKVRS010000079.1_908,137,0.9051,0.0000,0.0000,0.9051
JBKVRS010000079.1_911,125,0.8960,0.0000,0.0000,0.8960
JBKVRS010000081.1_918,139,0.8921,0.0000,0.0000,0.8921
JBKVRS010000081.1_919,122,0.8689,0.0000,0.0000,0.8689
JBKVRS010000081.1_920,142,0.9296,0.0000,0.0000,0.9296
JBKVRS010000082.1_929,115,0.8870,0.0000,0.0000,0.8870
JBKVRS010000083.1_938,276,0.2645,0.0000,0.0000,0.2645
JBKVRS010000085.1_951,392,0.8214,0.0000,0.0000,0.8214
JBKVRS010000085.1_952,261,0.8429,0.0000,0.0000,0.8429
JBKVRS010000085.1_953,621,0.8760,0.0000,0.0000,0.8760
JBKVRS010000087.1_977,202,0.7871,0.0000,0.0000,0.7871
JBKVRS010000088.1_987,158,0.8797,0.0000,0.0000,0.8797
JBKVRS010000089.1_990,149,0.8456,0.0000,0.0000,0.8456
JBKVRS010000089.1_991,202,0.7921,0.0000,0.0000,0.7921
JBKVRS010000089.1_992,190,0.8263,0.0000,0.0000,0.8263
JBKVRS010000089.1_993,257,0.7665,0.0000,0.0000,0.7665
JBKVRS010000089.1_999,364,0.8242,0.0000,0.0000,0.8242
JBKVRS010000090.1_1008,255,0.3490,0.0000,0.0000,0.3490
JBKVRS010000090.1_1011,106,0.9528,0.0000,0.0000,0.9528
JBKVRS010000090.1_1012,112,0.9464,0.0000,0.0000,0.9464
JBKVRS010000091.1_1022,146,0.7671,0.0000,0.0000,0.7671
JBKVRS010000091.1_1026,115,0.9739,0.0050,0.0476,0.9789
JBKVRS010000092.1_1029,136,0.8603,0.0000,0.0000,0.8603
JBKVRS010000092.1_1030,215,0.9302,0.0000,0.0000,0.9302
JBKVRS010000092.1_1031,836,0.8505,0.0000,0.0000,0.8505
JBKVRS010000092.1_1032,386,0.8886,0.0009,0.0476,0.8895
JBKVRS010000092.1_1034,203,0.8079,0.0000,0.0000,0.8079
JBKVRS010000092.1_1035,414,0.4251,0.0000,0.0000,0.4251
JBKVRS010000093.1_1036,158,0.6835,0.0000,0.0000,0.6835
JBKVRS010000093.1_1038,246,0.7967,0.0000,0.0000,0.7967
JBKVRS010000096.1_1058,253,0.8182,0.0000,0.0000,0.8182
JBKVRS010000096.1_1062,369,0.8320,0.0000,0.0000,0.8320
JBKVRS010000099.1_1079,149,0.9060,0.0000,0.0000,0.9060
JBKVRS010000100.1_1086,128,0.8047,0.0000,0.0000,0.8047
JBKVRS010000100.1_1087,139,0.8201,0.0000,0.0000,0.8201
JBKVRS010000105.1_1111,153,0.8758,0.0000,0.0000,0.8758
JBKVRS010000105.1_1113,135,0.8444,0.0000,0.0000,0.8444
JBKVRS010000105.1_1114,208,0.7644,0.0050,0.0476,0.7695
JBKVRS010000105.1_1124,304,0.9178,0.0019,0.0952,0.9196
JBKVRS010000110.1_1152,124,0.9758,0.0000,0.0000,0.9758
JBKVRS010000114.1_1157,150,0.8667,0.0086,0.0476,0.8752
JBKVRS010000114.1_1165,229,0.4672,0.0000,0.0000,0.4672
JBKVRS010000115.1_1169,167,0.8204,0.0000,0.0000,0.8204
JBKVRS010000116.1_1176,206,0.8398,0.0000,0.0000,0.8398
JBKVRS010000116.1_1182,177,0.8249,0.0000,0.0000,0.8249
JBKVRS010000118.1_1186,117,0.9145,0.0000,0.0000,0.9145
JBKVRS010000118.1_1187,136,0.8603,0.0000,0.0000,0.8603
JBKVRS010000121.1_1195,187,0.8930,0.0000,0.0000,0.8930
JBKVRS010000122.1_1200,166,0.8133,0.0000,0.0000,0.8133
JBKVRS010000126.1_1229,136,0.8456,0.0000,0.0000,0.8456
JBKVRS010000126.1_1230,299,0.8595,0.0000,0.0000,0.8595
JBKVRS010000126.1_1231,290,0.8448,0.0000,0.0000,0.8448
JBKVRS010000127.1_1236,152,0.8355,0.0000,0.0000,0.8355
JBKVRS010000128.1_1251,123,0.8780,0.0000,0.0000,0.8780
JBKVRS010000128.1_1253,463,0.8488,0.0000,0.0000,0.8488
JBKVRS010000129.1_1255,155,0.9290,0.0000,0.0000,0.9290
JBKVRS010000129.1_1256,137,0.8686,0.0000,0.0000,0.8686
JBKVRS010000129.1_1262,126,0.9286,0.0000,0.0000,0.9286
JBKVRS010000129.1_1263,144,0.7986,0.0000,0.0000,0.7986
JBKVRS010000142.1_1315,165,0.8061,0.0000,0.0000,0.8061
JBKVRS010000142.1_1316,385,0.8104,0.0000,0.0000,0.8104
JBKVRS010000144.1_1319,121,0.8926,0.0000,0.0000,0.8926
JBKVRS010000144.1_1321,151,0.8477,0.0000,0.0000,0.8477
JBKVRS010000144.1_1322,161,0.8944,0.0000,0.0000,0.8944
JBKVRS010000146.1_1338,205,0.8390,0.0000,0.0000,0.8390
JBKVRS010000147.1_1340,179,0.8827,0.0000,0.0000,0.8827
JBKVRS010000147.1_1343,320,0.8875,0.0000,0.0000,0.8875
JBKVRS010000147.1_1345,329,0.8541,0.0000,0.0000,0.8541
JBKVRS010000147.1_1347,134,0.7463,0.0000,0.0000,0.7463
JBKVRS010000148.1_1352,124,0.8548,0.0000,0.0000,0.8548
JBKVRS010000149.1_1355,215,0.8791,0.0000,0.0000,0.8791
JBKVRS010000149.1_1356,187,0.8128,0.0000,0.0000,0.8128
JBKVRS010000149.1_1357,130,0.8692,0.0000,0.0000,0.8692
JBKVRS010000149.1_1359,173,0.9191,0.0000,0.0000,0.9191
JBKVRS010000149.1_1360,198,0.8636,0.0000,0.0000,0.8636
JBKVRS010000149.1_1366,119,0.9244,0.0000,0.0000,0.9244
JBKVRS010000157.1_1403,143,0.8601,0.0000,0.0000,0.8601
JBKVRS010000158.1_1414,149,0.8188,0.0000,0.0000,0.8188
JBKVRS010000159.1_1419,145,0.8414,0.0000,0.0000,0.8414
JBKVRS010000159.1_1421,210,0.8714,0.0000,0.0000,0.8714
JBKVRS010000159.1_1424,125,0.8960,0.0000,0.0000,0.8960
JBKVRS010000161.1_1429,203,0.9163,0.0000,0.0000,0.9163
JBKVRS010000161.1_1430,138,0.8913,0.0000,0.0000,0.8913
JBKVRS010000161.1_1436,150,0.8133,0.0190,0.0952,0.8324
JBKVRS010000161.1_1437,204,0.8480,0.0000,0.0000,0.8480
JBKVRS010000161.1_1441,286,0.8636,0.0000,0.0000,0.8636
JBKVRS010000162.1_1442,448,0.8415,0.0000,0.0000,0.8415
JBKVRS010000162.1_1446,168,0.9405,0.0000,0.0000,0.9405
JBKVRS010000162.1_1449,134,0.8955,0.0000,0.0000,0.8955
JBKVRS010000165.1_1451,313,0.8722,0.0000,0.0000,0.8722
JBKVRS010000170.1_1499,142,0.8803,0.0000,0.0000,0.8803
JBKVRS010000170.1_1501,141,0.8936,0.0041,0.0476,0.8977
JBKVRS010000171.1_1508,134,0.8060,0.0000,0.0000,0.8060
JBKVRS010000171.1_1510,206,0.7816,0.0000,0.0000,0.7816
JBKVRS010000171.1_1517,125,0.8000,0.0000,0.0000,0.8000
JBKVRS010000173.1_1523,141,0.8369,0.0000,0.0000,0.8369
JBKVRS010000173.1_1525,110,0.9182,0.0000,0.0000,0.9182
JBKVRS010000173.1_1526,180,0.8556,0.0000,0.0000,0.8556
JBKVRS010000173.1_1527,126,0.8651,0.0000,0.0000,0.8651
JBKVRS010000175.1_1541,167,0.8204,0.0000,0.0000,0.8204
JBKVRS010000177.1_1544,206,0.8835,0.0000,0.0000,0.8835
JBKVRS010000177.1_1545,147,0.8231,0.0000,0.0000,0.8231
JBKVRS010000178.1_1550,168,0.8333,0.0000,0.0000,0.8333
JBKVRS010000178.1_1552,191,0.8534,0.0000,0.0000,0.8534
JBKVRS010000178.1_1555,144,0.8611,0.0000,0.0000,0.8611
JBKVRS010000178.1_1556,155,0.6774,0.0000,0.0000,0.6774
JBKVRS010000178.1_1557,216,0.8241,0.0000,0.0000,0.8241
JBKVRS010000179.1_1559,205,0.8439,0.0000,0.0000,0.8439
JBKVRS010000179.1_1560,182,0.9286,0.0000,0.0000,0.9286
JBKVRS010000179.1_1561,125,0.9120,0.0000,0.0000,0.9120
JBKVRS010000182.1_1569,397,0.8060,0.0000,0.0000,0.8060
JBKVRS010000182.1_1573,132,0.9697,0.0000,0.0000,0.9697
JBKVRS010000182.1_1575,118,0.8983,0.0000,0.0000,0.8983
JBKVRS010000185.1_1579,121,0.9339,0.0000,0.0000,0.9339
JBKVRS010000185.1_1582,116,0.8621,0.0000,0.0000,0.8621
JBKVRS010000190.1_1600,138,0.7319,0.0000,0.0000,0.7319
JBKVRS010000193.1_1615,171,0.7895,0.0000,0.0000,0.7895
JBKVRS010000194.1_1616,144,0.8125,0.0000,0.0000,0.8125
JBKVRS010000194.1_1617,168,0.8155,0.0000,0.0000,0.8155
JBKVRS010000194.1_1618,132,0.8864,0.0000,0.0000,0.8864
JBKVRS010000194.1_1619,117,0.8632,0.0000,0.0000,0.8632
JBKVRS010000194.1_1620,259,0.8649,0.0000,0.0000,0.8649
JBKVRS010000197.1_1631,198,0.8535,0.0000,0.0000,0.8535
JBKVRS010000198.1_1632,168,0.8869,0.0000,0.0000,0.8869
JBKVRS010000198.1_1633,523,0.6233,0.0000,0.0000,0.6233
JBKVRS010000198.1_1634,330,0.8788,0.0000,0.0000,0.8788
JBKVRS010000198.1_1635,165,0.8727,0.0000,0.0000,0.8727
JBKVRS010000198.1_1636,231,0.9004,0.0000,0.0000,0.9004
JBKVRS010000198.1_1638,187,0.8824,0.0000,0.0000,0.8824
JBKVRS010000198.1_1640,160,0.8750,0.0000,0.0000,0.8750
JBKVRS010000198.1_1641,135,0.8148,0.0000,0.0000,0.8148
JBKVRS010000199.1_1643,127,0.9291,0.0000,0.0000,0.9291
JBKVRS010000199.1_1644,230,0.7913,0.0000,0.0000,0.7913
JBKVRS010000199.1_1645,442,0.8914,0.0000,0.0000,0.8914
JBKVRS010000199.1_1646,116,0.8621,0.0000,0.0000,0.8621
JBKVRS010000199.1_1647,160,0.9563,0.0000,0.0000,0.9563
JBKVRS010000199.1_1648,165,0.8727,0.0000,0.0000,0.8727
JBKVRS010000199.1_1649,199,0.8844,0.0000,0.0000,0.8844
JBKVRS010000205.1_1653,140,0.8429,0.0000,0.0000,0.8429
JBKVRS010000209.1_1664,166,0.8795,0.0000,0.0000,0.8795
JBKVRS010000210.1_1665,304,0.8191,0.0000,0.0000,0.8191
JBKVRS010000210.1_1667,146,0.8699,0.0000,0.0000,0.8699
JBKVRS010000210.1_1670,163,0.8834,0.0000,0.0000,0.8834
JBKVRS010000210.1_1671,180,0.8167,0.0000,0.0000,0.8167
JBKVRS010000210.1_1672,157,0.8662,0.0000,0.0000,0.8662
JBKVRS010000211.1_1674,158,0.8038,0.0000,0.0000,0.8038
JBKVRS010000211.1_1676,192,0.9219,0.0000,0.0000,0.9219
JBKVRS010000211.1_1677,139,0.7770,0.0000,0.0000,0.7770
JBKVRS010000211.1_1678,144,0.7917,0.0000,0.0000,0.7917
JBKVRS010000212.1_1686,322,0.7671,0.0000,0.0000,0.7671
JBKVRS010000214.1_1697,138,0.8623,0.0000,0.0000,0.8623
JBKVRS010000214.1_1703,132,0.8485,0.0000,0.0000,0.8485
JBKVRS010000218.1_1725,133,0.9774,0.0000,0.0000,0.9774
JBKVRS010000219.1_1728,237,0.8143,0.0000,0.0000,0.8143
JBKVRS010000219.1_1729,104,0.9712,0.0000,0.0000,0.9712
JBKVRS010000223.1_1744,158,0.8481,0.0000,0.0000,0.8481
JBKVRS010000225.1_1763,206,0.9029,0.0109,0.0952,0.9138
JBKVRS010000234.1_1796,132,0.9015,0.0000,0.0000,0.9015
JBKVRS010000236.1_1818,339,0.9056,0.0000,0.0000,0.9056
JBKVRS010000237.1_1820,169,0.8402,0.0000,0.0000,0.8402
