marker,length,identity,coverage,found
5-LYDP01000004.1-88717:89169,452,0.0,0.0,0
0-JH379329.1-375065:375393,328,0.0,0.0,0
0-JH379329.1-510795:511249,454,0.0,0.0,0
0-JH379275.1-11190:11742,552,0.0,0.0,0
1-AVJJ01000030.1-48640:48978,338,0.0,0.0,0
1-AVJJ01000126.1-48403:48820,417,0.0,0.0,0
0-JH379284.1-26152:26518,366,0.0,0.0,0
0-JH379329.1-207467:207749,282,0.0,0.0,0
1-AVJJ01000013.1-12155:12609,454,0.0,0.0,0
0-JH379329.1-375543:375938,395,0.0,0.0,0
0-JH379329.1-422267:422573,306,0.0,0.0,0
5-LYDP01000004.1-53751:54043,292,0.0,0.0,0
0-JH379275.1-90027:90290,263,0.0,0.0,0
0-JH379297.1-93514:93949,435,0.0,0.0,0
0-JH379237.1-10086:10477,391,0.0,0.0,0
0-JH379297.1-245428:245667,239,0.0,0.0,0
0-JH379237.1-77611:78227,616,0.0,0.0,0
0-JH379233.1-26746:27016,270,0.0,0.0,0
0-JH379233.1-29111:29367,256,0.0,0.0,0
0-JH379243.1-6364:6693,329,0.0,0.0,0
5-LYDP01000004.1-89433:90480,1047,0.0,0.0,0
5-LYDP01000004.1-72606:72926,320,0.0,0.0,0
0-JH379261.1-41097:41416,319,0.0,0.0,0
0-JH379308.1-1051:1481,430,0.0,0.0,0
0-JH379272.1-37872:38257,385,0.0,0.0,0
1-AVJJ01000021.1-72703:72995,292,0.0,0.0,0
0-JH379297.1-246781:247240,459,0.0,0.0,0
0-JH379230.1-11460:11705,245,0.0,0.0,0
0-JH379329.1-497280:497649,369,0.0,0.0,0
5-LYDP01000038.1-182060:182296,236,0.0,0.0,0
1-AVJJ01000126.1-46614:47297,683,0.0,0.0,0
0-JH379297.1-270362:270675,313,0.0,0.0,0
5-LYDP01000040.1-17973:18770,797,0.0,0.0,0
0-JH379232.1-4883:5165,282,0.0,0.0,0
1-AVJJ01000021.1-76348:76671,323,0.0,0.0,0
1-AVJJ01000015.1-49683:50511,828,0.0,0.0,0
1-AVJJ01000125.1-14241:14469,228,0.0,0.0,0
0-JH379272.1-45586:45822,236,0.0,0.0,0
0-JH379329.1-274658:275053,395,0.0,0.0,0
1-AVJJ01000017.1-4903:5113,210,0.0,0.0,0
1-AVJJ01000083.1-34916:35143,227,0.0,0.0,0
0-JH379273.1-2321:2935,614,0.0,0.0,0
0-JH379230.1-8912:9182,270,0.0,0.0,0
0-JH379297.1-92151:92620,469,0.0,0.0,0
5-LYDP01000004.1-80967:81478,511,0.0,0.0,0
5-LYDP01000004.1-62387:62675,288,0.0,0.0,0
5-LYDP01000017.1-465715:466628,913,0.0,0.0,0
0-JH379297.1-150664:150873,209,0.0,0.0,0
1-AVJJ01000015.1-2992:3213,221,0.0,0.0,0
5-LYDP01000017.1-473353:473624,271,0.0,0.0,0
0-JH379237.1-20745:20969,224,0.0,0.0,0
0-JH379233.1-33490:33715,225,0.0,0.0,0
1-AVJJ01000017.1-7993:8301,308,0.0,0.0,0
1-AVJJ01000095.1-58019:58393,374,0.0,0.0,0
0-JH379297.1-266005:266263,258,0.0,0.0,0
0-JH379297.1-127371:127637,266,0.0,0.0,0
0-JH379308.1-15384:16005,621,0.0,0.0,0
5-LYDP01000017.1-336500:336960,460,0.0,0.0,0
0-JH379237.1-80878:81109,231,0.0,0.0,0
1-AVJJ01000018.1-5902:6194,292,0.0,0.0,0
1-AVJJ01000013.1-17601:17963,362,0.0,0.0,0
0-JH379239.1-4013:4257,244,0.0,0.0,0
5-LYDP01000004.1-29825:30080,255,0.0,0.0,0
0-JH379240.1-21248:21475,227,0.0,0.0,0
5-LYDP01000017.1-471141:471453,312,0.0,0.0,0
0-JH379272.1-28775:29360,585,0.0,0.0,0
0-JH379329.1-206146:206350,204,0.0,0.0,0
0-JH379329.1-139146:139416,270,0.0,0.0,0
5-LYDP01000038.1-192045:192951,906,0.0,0.0,0
0-JH379272.1-35263:35784,521,0.0,0.0,0
1-AVJJ01000063.1-5086:5336,250,0.0,0.0,0
1-AVJJ01000017.1-1170:1615,445,0.0,0.0,0
0-JH379297.1-197779:198203,424,0.0,0.0,0
5-LYDP01000004.1-55860:56144,284,0.0,0.0,0
0-JH379297.1-111770:112105,335,0.0,0.0,0
5-LYDP01000017.1-470344:470702,358,0.0,0.0,0
1-AVJJ01000048.1-29002:29256,254,0.0,0.0,0
1-AVJJ01000124.1-14633:14887,254,0.0,0.0,0
0-JH379329.1-215128:215428,300,0.0,0.0,0
1-AVJJ01000126.1-44519:44831,312,0.0,0.0,0
0-JH379284.1-12948:13242,294,0.0,0.0,0
1-AVJJ01000017.1-12223:13592,1369,0.0,0.0,0
1-AVJJ01000017.1-9287:9562,275,0.0,0.0,0
1-AVJJ01000017.1-2723:3063,340,0.0,0.0,0
1-AVJJ01000124.1-10980:11301,321,0.0,0.0,0
0-JH379273.1-1193:1515,322,0.0,0.0,0
0-JH379297.1-128456:128745,289,0.0,0.0,0
1-AVJJ01000083.1-30502:30754,252,97.5,47.6,0
1-AVJJ01000124.1-9238:9723,485,0.0,0.0,0
0-JH379240.1-37880:38185,305,0.0,0.0,0
1-AVJJ01000124.1-12392:12881,489,0.0,0.0,0
1-AVJJ01000064.1-1206:1451,245,0.0,0.0,0
0-JH379240.1-36190:36494,304,0.0,0.0,0
0-JH379329.1-232656:232945,289,0.0,0.0,0
0-JH379240.1-37370:37752,382,0.0,0.0,0
0-JH379239.1-2357:2739,382,0.0,0.0,0
0-JH379239.1-7920:8136,216,0.0,0.0,0
5-LYDP01000038.1-190942:191382,440,0.0,0.0,0
0-JH379297.1-66920:67171,251,0.0,0.0,0
1-AVJJ01000116.1-23847:24198,351,0.0,0.0,0
1-AVJJ01000116.1-18342:18912,570,0.0,0.0,0
0-JH379239.1-1313:1813,500,0.0,0.0,0
0-JH379325.1-29696:30105,409,0.0,0.0,0
5-LYDP01000017.1-135294:136029,735,0.0,0.0,0
5-LYDP01000017.1-551656:551893,237,0.0,0.0,0
0-JH379326.1-115543:115745,202,0.0,0.0,0
5-LYDP01000017.1-503886:504114,228,100.0,61.4,0
1-AVJJ01000093.1-42253:42469,216,0.0,0.0,0
0-JH379326.1-70695:71088,393,87.3,42.0,0
0-JH379326.1-130693:130943,250,0.0,0.0,0
1-AVJJ01000023.1-7564:8249,685,95.4,22.2,0
